publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
10 Steps to Mastering Stress	9780199917532	9780190601416							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780199917532.001.0001/med-9780199917532	Barlow	med-9780199917532		fulltext		Oxford University Press	monograph	2014	2015						P	
A Cognitive-Behavioral Approach to the Beginning of the End of Life, Minding the Body, TG	9780195341638	9780190242008							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780195341638.001.0001/med-9780195341638	Satterfield	med-9780195341638		fulltext		Oxford University Press	monograph	2008	2015						P	
A Family Guide to Coping with Substance Use Disorders	9780190926632	9780190926663							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190926632.001.0001/med-9780190926632	Daley	med-9780190926632		fulltext		Oxford University Press	monograph	2019	2019						P	241110998
A Guide to Assessments That Work	9780195310641	9780190241650							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780195310641.001.0001/med-9780195310641	Hunsley	med-9780195310641		fulltext		Oxford University Press	monograph	2008	2015						P	
A Guide to Treatments That Work	9780199342211	9780190244002							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780199342211.001.0001/med-9780199342211	Nathan	med-9780199342211		fulltext		Oxford University Press	monograph	2015	2015						P	
A Guide to Treatments That Work	9780195304145	9780190230036							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780195304145.001.0001/med-9780195304145	Nathan	med-9780195304145		fulltext		Oxford University Press	monograph	2007	2015						P	
A Handbook of Research Methods for Clinical and Health Psychology	9780198527565	9780191808135							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780198527565.001.0001/med-9780198527565	Miles	med-9780198527565		fulltext		Oxford University Press	monograph	2005	2015						P	
A Practitioner's Guide to Rational-Emotive Behavior Therapy	9780199743049	9780190230043							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780199743049.001.0001/med-9780199743049	DiGiuseppe	med-9780199743049		fulltext		Oxford University Press	monograph	2013	2015						P	
A Step-By-Step Guide for Coaching Classroom Teachers in Evidence	9780190609573	9780190609580							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780190609573.001.0001/med-9780190609573	Marchese	med-9780190609573		fulltext		Oxford University Press	monograph		2017						P	230580505
ACT in Steps: A Transdiagnostic Manual for Learning Acceptance and Commitment Therapy	9780190629922	9780190629946							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190629922.001.0001/med-9780190629922	Twohig	med-9780190629922		fulltext		Oxford University Press	monograph	2020	2020						P	249747812
Acceptance of Mental Illness	9780190204273	9780190606176							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780190204273.001.0001/med-9780190204273	Mizock	med-9780190204273		fulltext		Oxford University Press	monograph	2016	2016						P	
Adaptive Mentalization-Based Integrative Treatment: A Guide for Teams to Develop Systems of Care	9780198718673	9780191799662							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780198718673.001.0001/med-9780198718673	Bevington	med-9780198718673		fulltext		Oxford University Press	monograph		2017		1				P	229068820
Addressing Parental Accommodation When Treating Anxiety In Children	9780190869984	9780190870010							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190869984.001.0001/med-9780190869984	Lebowitz	med-9780190869984		fulltext		Oxford University Press	monograph	2019	2019						P	240141040
Adolescents with Autism Spectrum Disorder: A Clinical Handbook	9780190624828	9780190624835							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190624828.001.0001/med-9780190624828		med-9780190624828		fulltext		Oxford University Press	monograph	2017	2017			Gelbar			P	230581080
Advancing Evidence-based Practice through Program Evaluation	9780190609108	9780190609115							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190609108.001.0001/med-9780190609108	Morrison	med-9780190609108		fulltext		Oxford University Press	monograph	2018	2018						P	230580483
Animal Maltreatment: Forensic Issues and Evaluations	9780199360901	9780190275679							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780199360901.001.0001/med-9780199360901	Levitt	med-9780199360901		fulltext		Oxford University Press	monograph	2015	2015						P	
Anxiety Disorders in Adults: An Evidence-Based Approach to Psychological Treatment	9780195116250	9780190261498							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780195116250.001.0001/med-9780195116250	McLean	med-9780195116250		fulltext		Oxford University Press	monograph	2001	2015						P	
Applications of the Unified Protocol for Transdiagnostic Treatme	9780190255541	9780190255565							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190255541.001.0001/med-9780190255541		med-9780190255541		fulltext		Oxford University Press	monograph		2017			Barlow			P	228882834
Assessing Negative Response Bias in Competency to Stand Trial Evaluations	9780190653163	9780190653194							https://www.oxfordclinicalpsych.com/view/10.1093/med-psych/9780190653163.001.0001/med-9780190653163	Rubenzer	med-9780190653163		fulltext		Oxford University Press	monograph	2018	2018						P	231652933
Autism as an Executive Disorder	9780198523499	9780191808128							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780198523499.001.0001/med-9780198523499	Russell	med-9780198523499		fulltext		Oxford University Press	monograph	1998	2015						P	
Becoming Board Certified by the American Board of Professional Psychology	9780195372434	9780190261504							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780195372434.001.0001/med-9780195372434	Nezu	med-9780195372434		fulltext		Oxford University Press	monograph	2009	2015						P	
Best Practices for Teaching Beginnings and Endings in the Psychology Major: Research, Cases, and Recommendations	9780195378214	9780190242015							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780195378214.001.0001/med-9780195378214	Dunn	med-9780195378214		fulltext		Oxford University Press	monograph	2010	2015						P	
Beyond Coping	9780198508144	9780191808104							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780198508144.001.0001/med-9780198508144	Frydenberg	med-9780198508144		fulltext		Oxford University Press	monograph	2002	2015						P	
Biopsychosocial Medicine: An integrated approach to understanding illness	9780198530343	9780191808098							https://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780198530343.001.0001/med-9780198530343	White	med-9780198530343		fulltext		Oxford University Press	monograph	2005	2015						P	
