publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Further Reading	9780198809791	9780191847110							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198809791.001.0001/oxfordhb-9780198809791		oxfordhb-9780198809791		fulltext		Oxford University Press	monograph	2020	2020			Rubery			P	245047158
Oxford Handbook of Epicurus and Epicureanism	9780199744213	9780199983636							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199744213.001.0001/oxfordhb-9780199744213		oxfordhb-9780199744213		fulltext		Oxford University Press	monograph	2020	2020			Mitsis			P	249268582
Oxford Handbook of Humanism	9780190921538	9780190921545							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190921538.001.0001/oxfordhb-9780190921538		oxfordhb-9780190921538		fulltext		Oxford University Press	monograph	2021	2021			Pinn			P	
Oxford Handbook of Online Intermediary Liability	9780198837138	9780191873911							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198837138.001.0001/oxfordhb-9780198837138		oxfordhb-9780198837138		fulltext		Oxford University Press	monograph	2020	2020			Frosio			P	245049258
The Oxf Hdbk of the Soc of Latin America	9780190926557	9780190926564							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190926557.001.0001/oxfordhb-9780190926557	Bada	oxfordhb-9780190926557		fulltext		Oxford University Press	monograph	2020	2020						P	
The Oxford Handbook of 19th-Century Christian Thought	9780198718406	9780191787966							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198718406.001.0001/oxfordhb-9780198718406		oxfordhb-9780198718406		fulltext	Complete Handbook	Oxford University Press	monograph	2017	2017			Rasmussen			P	
The Oxford Handbook of 4E Cognition	9780198735410	9780191860157							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198735410.001.0001/oxfordhb-9780198735410		oxfordhb-9780198735410		fulltext		Oxford University Press	monograph	2018	2018			Newen			P	231651457
The Oxford Handbook of Abrahamic Religions	9780199697762	9780191756948							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199697762.001.0001/oxfordhb-9780199697762		oxfordhb-9780199697762		fulltext	Complete Handbook	Oxford University Press	monograph	2015	2015			Silverstein			P	
The Oxford Handbook of Acculturation and Health	9780190215217	9780190632496							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190215217.001.0001/oxfordhb-9780190215217		oxfordhb-9780190215217		fulltext	Complete Handbook	Oxford University Press	monograph	2017	2016			Schwartz			P	229068901
The Oxford Handbook of Accurate Personality Judgment	9780190912529	9780190912550							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190912529.001.0001/oxfordhb-9780190912529		oxfordhb-9780190912529		fulltext		Oxford University Press	monograph	2019	2019			Letzring			P	
The Oxford Handbook of Adam Smith	9780199605064	9780191750076							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199605064.001.0001/oxfordhb-9780199605064		oxfordhb-9780199605064		fulltext	Complete Handbook	Oxford University Press	monograph	2013	2013			Berry			P	174364628
The Oxford Handbook of Adaptation Studies	9780199331000	9780190657031							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199331000.001.0001/oxfordhb-9780199331000		oxfordhb-9780199331000		fulltext	Complete Handbook	Oxford University Press	monograph	2017	2017			Leitch			P	224344986
The Oxford Handbook of Adolescent Substance Abuse	9780199735662	9780199983049							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199735662.001.0001/oxfordhb-9780199735662		oxfordhb-9780199735662		fulltext		Oxford University Press	monograph	2019	2019			Zucker			P	240141059
The Oxford Handbook of Adult Cognitive Disorders	9780190664121	9780190664152							https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190664121.001.0001/oxfordhb-9780190664121		oxfordhb-9780190664121		fulltext		Oxford University Press	monograph	2019	2019			Alosco			P	237149095
