publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of African Archaeology	9780199569885	9780191750090							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199569885.001.0001/oxfordhb-9780199569885		oxfordhb-9780199569885		fulltext		Oxford University Press	monograph	2013	2013			Peter Mitchell, Paul J. Lane			P	
The Oxford Handbook of Ancient Anatolia	9780195376142	9780199940127							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376142.001.0001/oxfordhb-9780195376142		oxfordhb-9780195376142		fulltext		Oxford University Press	monograph	2011	2012			Gregory McMahon, Sharon Steadman			P	
The Oxford Handbook of Ancient Iran	9780199733309	9780199983926							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199733309.001.0001/oxfordhb-9780199733309		oxfordhb-9780199733309		fulltext		Oxford University Press	monograph	2013	2013			Daniel T. Potts			P	
The Oxford Handbook of Anglo-Saxon Archaeology	9780199212149	9780191743436							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199212149.001.0001/oxfordhb-9780199212149		oxfordhb-9780199212149		fulltext		Oxford University Press	monograph	2011	2012			Sally Crawford, Helena Hamerow, David A. Hinton			P	
The Oxford Handbook of Archaeological Ceramic Analysis	9780199681532	9780191767920							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199681532.001.0001/oxfordhb-9780199681532		oxfordhb-9780199681532		fulltext		Oxford University Press	monograph	2016	2017			Alice Hunt			P	
The Oxford Handbook of Archaeological Theory	9780199567942	9780191750977							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199567942.001.0001/oxfordhb-9780199567942		oxfordhb-9780199567942		fulltext		Oxford University Press	monograph	2017	2013			Andrew Gardner, Mark Lake, Ulrike Sommer			P	
The Oxford Handbook of Archaeology	9780199271016	9780191743443							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199271016.001.0001/oxfordhb-9780199271016		oxfordhb-9780199271016		fulltext		Oxford University Press	monograph	2009	2012			Barry Cunliffe, Chris Gosden, Rosemary A. Joyce			P	
The Oxford Handbook of Caribbean Archaeology	9780195392302	9780199971435							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392302.001.0001/oxfordhb-9780195392302		oxfordhb-9780195392302		fulltext		Oxford University Press	monograph	2013	2013			William F. Keegan, Corinne L. Hofman, Reniel Rodríguez Ramos			P	
The Oxford Handbook of Egyptology	9780199271870	9780191750809							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199271870.001.0001/oxfordhb-9780199271870		oxfordhb-9780199271870		fulltext		Oxford University Press	monograph	2017	2015			Ian Shaw, Elizabeth Bloxam			P	
The Oxford Handbook of Historical Archaeology	9780199562350	9780191751004							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199562350.001.0001/oxfordhb-9780199562350		oxfordhb-9780199562350		fulltext		Oxford University Press	monograph	2017	2014			James Symonds, Vesa-Pekka Herva			P	
The Oxford Handbook of Historical Ecology and Applied Archaeology	9780199672691	9780191810794							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199672691.001.0001/oxfordhb-9780199672691		oxfordhb-9780199672691		fulltext		Oxford University Press	monograph	2017	2015			Christian Isendahl, Daryl Stump			P	
The Oxford Handbook of Light in Archaeology	9780198788218	9780191830174							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198788218.001.0001/oxfordhb-9780198788218		oxfordhb-9780198788218		fulltext		Oxford University Press	monograph	2018	2017			Costas Papadopoulos			P	
The Oxford Handbook of Maritime Archaeology	9780199336005	9780199940493							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199336005.001.0001/oxfordhb-9780199336005		oxfordhb-9780199336005		fulltext		Oxford University Press	monograph	2011	2012			Alexis Catsambis, Ben Ford, Donny L. Hamilton			P	
The Oxford Handbook of Material Culture Studies	9780199218714	9780191743887							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199218714.001.0001/oxfordhb-9780199218714		oxfordhb-9780199218714		fulltext		Oxford University Press	monograph	2010	2012			Mary C. Beaudry, Dan Hicks			P	
The Oxford Handbook of Mesoamerican Archaeology	9780195390933	9780199971183							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390933.001.0001/oxfordhb-9780195390933		oxfordhb-9780195390933		fulltext		Oxford University Press	monograph	2012	2012			Deborah L. Nichols			P	
The Oxford Handbook of Neolithic Europe	9780199545841	9780191750113							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199545841.001.0001/oxfordhb-9780199545841		oxfordhb-9780199545841		fulltext		Oxford University Press	monograph	2015	2014			Chris Fowler, Jan Harding, Daniela Hofmann			P	
The Oxford Handbook of North American Archaeology	9780195380118	9780199940912							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195380118.001.0001/oxfordhb-9780195380118		oxfordhb-9780195380118		fulltext		Oxford University Press	monograph	2012	2012			Timothy R. Pauketat			P	
The Oxford Handbook of Prehistoric Figurines	9780199675616	9780191767913							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199675616.001.0001/oxfordhb-9780199675616		oxfordhb-9780199675616		fulltext		Oxford University Press	monograph	2017	2017			Timothy Insoll			P	229067573
The Oxford Handbook of Prehistoric Oceania	9780199925070	9780199984428							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199925070.001.0001/oxfordhb-9780199925070		oxfordhb-9780199925070		fulltext		Oxford University Press	monograph	2017	2014			Ethan Cochrane, Terry Hunt			P	229067360
