publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Asian Business Systems	9780199654925	9780191749889							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199654925.001.0001/oxfordhb-9780199654925		oxfordhb-9780199654925		fulltext		Oxford University Press	monograph	2014	2013			Michael A. Witt, Gordon Redding			P	
The Oxford Handbook of Banking and Financial History	9780199658626	9780191750922							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199658626.001.0001/oxfordhb-9780199658626		oxfordhb-9780199658626		fulltext		Oxford University Press	monograph	2016	2016			Youssef Cassis, Catherine Schenk, Richard Grossman			P	
The Oxford Handbook of Business Groups	9780199552863	9780191593994							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199552863.001.0001/oxfordhb-9780199552863		oxfordhb-9780199552863		fulltext		Oxford University Press	monograph	2010	2010			Asli M. Colpan, Takashi Hikino, James R. Lincoln			P	159333636
The Oxford Handbook of Business History	9780199263684	9780191577161							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199263684.001.0001/oxfordhb-9780199263684		oxfordhb-9780199263684		fulltext		Oxford University Press	monograph	2008	2009			Geoffrey Jones, Jonathan Zeitlin			P	159343569
The Oxford Handbook of Business and Government	9780199214273	9780191584824							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199214273.001.0001/oxfordhb-9780199214273		oxfordhb-9780199214273		fulltext		Oxford University Press	monograph	2010	2010			David Coen, Wyn Grant, Graham Wilson			P	159340454
The Oxford Handbook of Business and the Natural Environment	9780199584451	9780191735318							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199584451.001.0001/oxfordhb-9780199584451		oxfordhb-9780199584451		fulltext		Oxford University Press	monograph	2011	2012			Pratima Bansal, Andrew J. Hoffman			P	169565033
The Oxford Handbook of Comparative Institutional Analysis	9780199233762	9780191584831							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199233762.001.0001/oxfordhb-9780199233762		oxfordhb-9780199233762		fulltext		Oxford University Press	monograph	2010	2010			John L. Campbell, Colin Crouch, Glenn Morgan, Ove Kaj Pedersen, Richard Whitley			P	159338670
The Oxford Handbook of Conflict Management in Organizations	9780199653676	9780191749834							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199653676.001.0001/oxfordhb-9780199653676		oxfordhb-9780199653676		fulltext		Oxford University Press	monograph	2014	2014			William K. Roche, Paul Teague, Alexander J. S. Colvin			P	
The Oxford Handbook of Corporate Governance	9780199642007	9780191744662							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199642007.001.0001/oxfordhb-9780199642007		oxfordhb-9780199642007		fulltext		Oxford University Press	monograph	2013	2013			Mike Wright, Donald S. Siegel, Kevin Keasey, Igor Filatotchev			P	174240694
The Oxford Handbook of Corporate Reputation	9780199596706	9780191750380							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199596706.001.0001/oxfordhb-9780199596706		oxfordhb-9780199596706		fulltext		Oxford University Press	monograph	2012	2012			Michael L. Barnett, Timothy G. Pollock			P	
