publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Ancient Greek Law	9780199599257	9780191751011							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199599257.001.0001/oxfordhb-9780199599257		oxfordhb-9780199599257		fulltext		Oxford University Press	monograph	2017	2015			Edward M. Harris, Mirko Canevaro			P	
The Oxford Handbook of Ancient Greek Religion	9780199642038	9780191756719							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199642038.001.0001/oxfordhb-9780199642038		oxfordhb-9780199642038		fulltext		Oxford University Press	monograph	2015	2016			Esther Eidinow, Julia Kindt			P	
The Oxford Handbook of Animals in Classical Thought and Life	9780199589425	9780191750106							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199589425.001.0001/oxfordhb-9780199589425		oxfordhb-9780199589425		fulltext		Oxford University Press	monograph	2014	2014			Gordon Lindsay Campbell			P	
The Oxford Handbook of Byzantine Studies	9780199252466	9780191743528							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199252466.001.0001/oxfordhb-9780199252466		oxfordhb-9780199252466		fulltext		Oxford University Press	monograph	2008	2012			Robin Cormack, John Haldon, Elizabeth Jeffreys			P	
The Oxford Handbook of Childhood and Education in the Classical World	9780199781546	9780199983308							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199781546.001.0001/oxfordhb-9780199781546		oxfordhb-9780199781546		fulltext		Oxford University Press	monograph	2013	2013			Judith Evans Grubbs, Tim Parkin			P	
The Oxford Handbook of Classical Chinese Literature	9780199356591	9780199356614							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199356591.001.0001/oxfordhb-9780199356591		oxfordhb-9780199356591		fulltext		Oxford University Press	monograph	2017	2017			Wiebke Denecke, Wai-Yee Li, Xiaofei Tian			P	229067344
The Oxford Handbook of Cuneiform Culture	9780199557301	9780191743597							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199557301.001.0001/oxfordhb-9780199557301		oxfordhb-9780199557301		fulltext		Oxford University Press	monograph	2011	2012			Karen Radner, Eleanor Robson			P	
The Oxford Handbook of Engineering and Technology in the Classical World	9780199734856	9780199940349							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199734856.001.0001/oxfordhb-9780199734856		oxfordhb-9780199734856		fulltext		Oxford University Press	monograph	2006	2012			John Peter Oleson			P	
The Oxford Handbook of Greek Drama in the Americas	9780199661305	9780191756801							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199661305.001.0001/oxfordhb-9780199661305		oxfordhb-9780199661305		fulltext		Oxford University Press	monograph	2015	2015			Kathryn Bosher, Fiona Macintosh, Justine McConnell, Patrice Rankine			P	
The Oxford Handbook of Greek and Roman Art and Architecture	9780199783304	9780199983711							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199783304.001.0001/oxfordhb-9780199783304		oxfordhb-9780199783304		fulltext		Oxford University Press	monograph	2014	2014			Clemente Marconi			P	
The Oxford Handbook of Greek and Roman Coinage	9780195305746	9780199940769							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195305746.001.0001/oxfordhb-9780195305746		oxfordhb-9780195305746		fulltext		Oxford University Press	monograph	2012	2012			William E. Metcalf			P	
The Oxford Handbook of Greek and Roman Comedy	9780199743544	9780199983728							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199743544.001.0001/oxfordhb-9780199743544		oxfordhb-9780199743544		fulltext		Oxford University Press	monograph	2013	2013			Michael Fontaine, Adele C. Scafuro			P	
The Oxford Handbook of Greek and Roman Slaveries	9780199575251	9780191750991							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199575251.001.0001/oxfordhb-9780199575251		oxfordhb-9780199575251		fulltext		Oxford University Press	monograph		2016			Stephen Hodkinson			P	
The Oxford Handbook of Hellenic Studies	9780199286140	9780191743726							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199286140.001.0001/oxfordhb-9780199286140		oxfordhb-9780199286140		fulltext		Oxford University Press	monograph	2009	2012			George Boys-Stones, Barbara Graziosi, Phiroze Vasunia			P	
The Oxford Handbook of Jewish Daily Life in Roman Palestine	9780199216437	9780191743788							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199216437.001.0001/oxfordhb-9780199216437		oxfordhb-9780199216437		fulltext		Oxford University Press	monograph	2010	2012			Catherine Hezser			P	
The Oxford Handbook of Late Antiquity	9780195336931	9780199971046							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195336931.001.0001/oxfordhb-9780195336931		oxfordhb-9780195336931		fulltext		Oxford University Press	monograph	2012	2012			Scott Fitzgerald Johnson			P	
The Oxford Handbook of Medieval Latin Literature	9780195394016	9780199968688							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195394016.001.0001/oxfordhb-9780195394016		oxfordhb-9780195394016		fulltext		Oxford University Press	monograph	2012	2012			Ralph Hexter, David Townsend			P	
The Oxford Handbook of Neo-Latin	9780199948178	9780199984206							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199948178.001.0001/oxfordhb-9780199948178		oxfordhb-9780199948178		fulltext		Oxford University Press	monograph	2015	2015			Sarah Knight, Stefan Tilg			P	
The Oxford Handbook of Papyrology	9780199843695	9780199940585							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199843695.001.0001/oxfordhb-9780199843695		oxfordhb-9780199843695		fulltext		Oxford University Press	monograph	2009	2012			Roger S. Bagnall			P	
The Oxford Handbook of Rhetorical Studies	9780199731596	9780199984626							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199731596.001.0001/oxfordhb-9780199731596		oxfordhb-9780199731596		fulltext		Oxford University Press	monograph	2017	2014			Michael MacDonald			P	229067484
The Oxford Handbook of Roman Britain	9780199697731	9780191767937							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199697731.001.0001/oxfordhb-9780199697731		oxfordhb-9780199697731		fulltext		Oxford University Press	monograph	2016	2016			Martin Millett, Louise Revell, Alison Moore			P	
The Oxford Handbook of Roman Epigraphy	9780195336467	9780199984633							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195336467.001.0001/oxfordhb-9780195336467		oxfordhb-9780195336467		fulltext		Oxford University Press	monograph	2014	2015			Christer Bruun, Jonathan Edmondson			P	
The Oxford Handbook of Roman Law and Society	9780198728689	9780191795466							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198728689.001.0001/oxfordhb-9780198728689		oxfordhb-9780198728689		fulltext		Oxford University Press	monograph	2016	2016			Paul J. du Plessis, Clifford Ando, Kaius Tuori			P	
The Oxford Handbook of Roman Sculpture	9780199921829	9780199984640							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199921829.001.0001/oxfordhb-9780199921829		oxfordhb-9780199921829		fulltext		Oxford University Press	monograph	2015	2015			Elise A. Friedland, Melanie Grunow Sobocinski, Elaine K. Gazda			P	
The Oxford Handbook of Roman Studies	9780199211524	9780191743962							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199211524.001.0001/oxfordhb-9780199211524		oxfordhb-9780199211524		fulltext		Oxford University Press	monograph	2010	2012			Alessandro Barchiesi, Walter Scheidel			P	
The Oxford Handbook of Social Relations in the Roman World	9780195188004	9780199940677							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195188004.001.0001/oxfordhb-9780195188004		oxfordhb-9780195188004		fulltext		Oxford University Press	monograph	2011	2012			Michael Peachin			P	
The Oxford Handbook of State in the Ancient Near East and Mediterranean	9780195188318	9780199971428							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195188318.001.0001/oxfordhb-9780195188318		oxfordhb-9780195188318		fulltext		Oxford University Press	monograph	2013	2013			Peter Fibiger Bang, Walter Scheidel			P	
The Oxford Handbook of The Bronze Age Aegean	9780199873609	9780199968671							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199873609.001.0001/oxfordhb-9780199873609		oxfordhb-9780199873609		fulltext		Oxford University Press	monograph	2010	2012			Eric H. Cline			P	
The Oxford Handbook of Thucydides	9780199340385	9780190647735							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199340385.001.0001/oxfordhb-9780199340385		oxfordhb-9780199340385		fulltext		Oxford University Press	monograph	2017	2017			Sara Forsdyke, Edith Foster, Ryan Balot			P	229068294
The Oxford Handbook of Warfare in the Classical World	9780195304657	9780199971404							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195304657.001.0001/oxfordhb-9780195304657		oxfordhb-9780195304657		fulltext		Oxford University Press	monograph	2013	2013			Brian Campbell, Lawrence A. Tritle			P	
The Oxford Handbook of the Literatures of the Roman Empire	9780199699445	9780191756979							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199699445.001.0001/oxfordhb-9780199699445		oxfordhb-9780199699445		fulltext		Oxford University Press	monograph	2017	2015			Daniel L. Selden, Phiroze Vasunia			P	
