publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Crime Prevention	9780195398823	9780199940783							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195398823.001.0001/oxfordhb-9780195398823		oxfordhb-9780195398823		fulltext		Oxford University Press	monograph	2012	2012			David P. Farrington, Brandon C. Welsh			P	
The Oxford Handbook of Crime and Criminal Justice	9780195395082	9780199940257							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195395082.001.0001/oxfordhb-9780195395082		oxfordhb-9780195395082		fulltext		Oxford University Press	monograph	2011	2012			Michael Tonry			P	
The Oxford Handbook of Crime and Public Policy	9780199844654	9780199940264							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199844654.001.0001/oxfordhb-9780199844654		oxfordhb-9780199844654		fulltext		Oxford University Press	monograph	2011	2012			Michael Tonry			P	
The Oxford Handbook of Criminological Theory	9780199747238	9780199971077							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199747238.001.0001/oxfordhb-9780199747238		oxfordhb-9780199747238		fulltext		Oxford University Press	monograph	2013	2012			Francis T. Cullen, Pamela Wilcox			P	
The Oxford Handbook of Ethnicity, Crime, and Immigration	9780199859016	9780199984558							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199859016.001.0001/oxfordhb-9780199859016		oxfordhb-9780199859016		fulltext		Oxford University Press	monograph	2013	2014			Sandra Bucerius, Michael Tonry			P	
The Oxford Handbook of Gender, Sex, and Crime	9780199838707	9780199983698							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199838707.001.0001/oxfordhb-9780199838707		oxfordhb-9780199838707		fulltext		Oxford University Press	monograph	2014	2014			Rosemary Gartner, Bill McCarthy			P	
The Oxford Handbook of Juvenile Crime and Juvenile Justice	9780195385106	9780199940776							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195385106.001.0001/oxfordhb-9780195385106		oxfordhb-9780195385106		fulltext		Oxford University Press	monograph	2011	2012			Donna M. Bishop, Barry C. Feld			P	
The Oxford Handbook of Offender Decision Making	9780199338801	9780190216276							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199338801.001.0001/oxfordhb-9780199338801		oxfordhb-9780199338801		fulltext		Oxford University Press	monograph	2017	2017			Wim Bernasco, Henk Elffers, Jean-Louis van Gelder			P	229067972
The Oxford Handbook of Organized Crime	9780199730445	9780199984312							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199730445.001.0001/oxfordhb-9780199730445		oxfordhb-9780199730445		fulltext		Oxford University Press	monograph	2014	2014			Letizia Paoli			P	
The Oxford Handbook of Police and Policing	9780199843886	9780199984343							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199843886.001.0001/oxfordhb-9780199843886		oxfordhb-9780199843886		fulltext		Oxford University Press	monograph	2014	2014			Michael D. Reisig, Robert J. Kane			P	
The Oxford Handbook of Prisons and Imprisonment	9780199948154	9780199984442							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199948154.001.0001/oxfordhb-9780199948154		oxfordhb-9780199948154		fulltext		Oxford University Press	monograph	2017	2016			John Wooldredge, Paula Smith			P	229067735
The Oxford Handbook of Sentencing and Corrections	9780199730148	9780199968756							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199730148.001.0001/oxfordhb-9780199730148		oxfordhb-9780199730148		fulltext		Oxford University Press	monograph	2012	2012			Joan Petersilia, Kevin R. Reitz			P	
The Oxford Handbook of White-Collar Crime	9780199925513	9780199984992							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199925513.001.0001/oxfordhb-9780199925513		oxfordhb-9780199925513		fulltext		Oxford University Press	monograph	2016	2016			Shanna R. Van Slyke, Michael L. Benson, Francis T. Cullen			P	
The Oxford Handbook of the History of Crime and Criminal Justice	9780199352333	9780199381906							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199352333.001.0001/oxfordhb-9780199352333		oxfordhb-9780199352333		fulltext		Oxford University Press	monograph	2016	2016			Paul Knepper, Anja Johansen			P	
