publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Adam Smith	9780199605064	9780191750076							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199605064.001.0001/oxfordhb-9780199605064		oxfordhb-9780199605064		fulltext		Oxford University Press	monograph	2013	2013			Christopher J. Berry, Maria Pia Paganelli, Craig Smith			P	174364628
The Oxford Handbook of Africa and Economics: Context and Concepts	9780199687114	9780191767012							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199687114.001.0001/oxfordhb-9780199687114		oxfordhb-9780199687114		fulltext		Oxford University Press	monograph	2015	2015			Célestin Monga, Justin Yifu Lin			P	
The Oxford Handbook of Africa and Economics: Policies and Practices	9780199687107	9780191767005							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199687107.001.0001/oxfordhb-9780199687107		oxfordhb-9780199687107		fulltext		Oxford University Press	monograph	2015	2015			Célestin Monga, Justin Yifu Lin			P	
The Oxford Handbook of Applied Nonparametric and Semiparametric Econometrics and Statistics	9780199857944	9780199351039							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199857944.001.0001/oxfordhb-9780199857944		oxfordhb-9780199857944		fulltext		Oxford University Press	monograph	2013	2014			Jeffrey S. Racine, Liangjun Su, Aman Ullah			P	
The Oxford Handbook of Austrian Economics	9780199811762	9780199983230							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199811762.001.0001/oxfordhb-9780199811762		oxfordhb-9780199811762		fulltext		Oxford University Press	monograph	2015	2015			Christopher J. Coyne, Peter J. Boettke			P	
The Oxford Handbook of Banking	9780199640935	9780191749506							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199640935.001.0001/oxfordhb-9780199640935		oxfordhb-9780199640935		fulltext		Oxford University Press	monograph	2012	2012			Allen N. Berger, Philip Molyneux, John O. S. Wilson			P	174535082
The Oxford Handbook of Banking (2 ed.)	9780199688500	9780191767753							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199688500.001.0001/oxfordhb-9780199688500		oxfordhb-9780199688500		fulltext		Oxford University Press	monograph	2014	2015		2	Allen N. Berger, Philip Molyneux, John O. S. Wilson			P	
The Oxford Handbook of Bayesian Econometrics	9780199559084	9780191743504							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199559084.001.0001/oxfordhb-9780199559084		oxfordhb-9780199559084		fulltext		Oxford University Press	monograph	2011	2012			John Geweke, Gary Koop, Herman Van Dijk			P	174542402
The Oxford Handbook of Behavioral Economics and the Law	9780199945474	9780199388509							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199945474.001.0001/oxfordhb-9780199945474		oxfordhb-9780199945474		fulltext		Oxford University Press	monograph	2014	2014			Eyal Zamir, Doron Teichman			P	
The Oxford Handbook of Capitalism	9780195391176	9780199968725							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391176.001.0001/oxfordhb-9780195391176		oxfordhb-9780195391176		fulltext		Oxford University Press	monograph	2012	2012			Dennis C. Mueller			P	174699956
The Oxford Handbook of Christianity and Economics	9780199729715	9780199983346							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199729715.001.0001/oxfordhb-9780199729715		oxfordhb-9780199729715		fulltext		Oxford University Press	monograph	2014	2014			Paul Oslington			P	
The Oxford Handbook of Credit Derivatives	9780199546787	9780191743580							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199546787.001.0001/oxfordhb-9780199546787		oxfordhb-9780199546787		fulltext		Oxford University Press	monograph	2011	2012			Alexander Lipton, Andrew Rennie			P	17604728X
The Oxford Handbook of Economic Conflict Resolution	9780199730858	9780199971145							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199730858.001.0001/oxfordhb-9780199730858		oxfordhb-9780199730858		fulltext		Oxford University Press	monograph	2012	2012			Gary Bolton, Rachel Croson			P	
The Oxford Handbook of Economic Forecasting	9780195398649	9780199940325							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195398649.001.0001/oxfordhb-9780195398649		oxfordhb-9780195398649		fulltext		Oxford University Press	monograph	2011	2012			Michael P. Clements, David F. Hendry			P	178185221
The Oxford Handbook of Economic Inequality	9780199606061	9780191743627							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199606061.001.0001/oxfordhb-9780199606061		oxfordhb-9780199606061		fulltext		Oxford University Press	monograph	2011	2012			Brian Nolan, Wiemer Salverda, Timothy M. Smeeding			P	178192236
The Oxford Handbook of Economic and Institutional Transparency	9780199917693	9780199394845							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199917693.001.0001/oxfordhb-9780199917693		oxfordhb-9780199917693		fulltext		Oxford University Press	monograph	2014	2014			Jens Forssbæck, Lars Oxelheim			P	
The Oxford Handbook of Economics and Human Biology	9780199389292	9780199389308							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199389292.001.0001/oxfordhb-9780199389292		oxfordhb-9780199389292		fulltext		Oxford University Press	monograph	2016	2016			John Komlos, Inas R. Kelly			P	
The Oxford Handbook of Economics of the Biopharmaceutical Industry	9780199742998	9780199968749							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199742998.001.0001/oxfordhb-9780199742998		oxfordhb-9780199742998		fulltext		Oxford University Press	monograph	2012	2012			Patricia M. Danzon, Sean Nicholson			P	
The Oxford Handbook of Entrepreneurial Finance	9780195391244	9780199940820							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391244.001.0001/oxfordhb-9780195391244		oxfordhb-9780195391244		fulltext		Oxford University Press	monograph	2012	2012			Douglas Cumming			P	178216240
The Oxford Handbook of Health Economics	9780199238828	9780191743719							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199238828.001.0001/oxfordhb-9780199238828		oxfordhb-9780199238828		fulltext		Oxford University Press	monograph	2011	2012			Sherry Glied, Peter C. Smith			P	178219053
The Oxford Handbook of International Antitrust Economics, Volume 1	9780199859191	9780199983889							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199859191.001.0001/oxfordhb-9780199859191		oxfordhb-9780199859191		fulltext		Oxford University Press	monograph	2014	2015	1		Roger D. Blair, D. Daniel Sokol			P	
The Oxford Handbook of International Antitrust Economics, Volume 2	9780199388592	9780199388622							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199388592.001.0001/oxfordhb-9780199388592		oxfordhb-9780199388592		fulltext		Oxford University Press	monograph	2014	2015	2		Roger D. Blair, D. Daniel Sokol			P	
The Oxford Handbook of International Commercial Policy	9780195378047	9780199968817							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195378047.001.0001/oxfordhb-9780195378047		oxfordhb-9780195378047		fulltext		Oxford University Press	monograph	2012	2012			Mordechai E. Kreinin, Michael G. Plummer			P	178421847
The Oxford Handbook of Judaism and Economics	9780195398625	9780199940462							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195398625.001.0001/oxfordhb-9780195398625		oxfordhb-9780195398625		fulltext		Oxford University Press	monograph	2010	2012			Aaron Levine			P	
The Oxford Handbook of Land Economics	9780199763740	9780199983995							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199763740.001.0001/oxfordhb-9780199763740		oxfordhb-9780199763740		fulltext		Oxford University Press	monograph	2014	2014			Joshua M. Duke, JunJie Wu			P	
The Oxford Handbook of Latin American Economics	9780199571048	9780191743825							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199571048.001.0001/oxfordhb-9780199571048		oxfordhb-9780199571048		fulltext		Oxford University Press	monograph	2011	2012			José Antonio Ocampo, Jaime Ros			P	
The Oxford Handbook of Latin American Political Economy	9780199747504	9780199968794							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199747504.001.0001/oxfordhb-9780199747504		oxfordhb-9780199747504		fulltext		Oxford University Press	monograph	2012	2012			Jeff Dayton-Johnson, Javier Santiso			P	
The Oxford Handbook of Law and Economics: Methodology and Concepts	9780199684267	9780191764905							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199684267.001.0001/oxfordhb-9780199684267		oxfordhb-9780199684267		fulltext		Oxford University Press	monograph	2017	2017	1		Francesco Parisi			P	
The Oxford Handbook of Law and Economics: Private and Commercial Law	9780199684205	9780191764738							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199684205.001.0001/oxfordhb-9780199684205		oxfordhb-9780199684205		fulltext		Oxford University Press	monograph	2017	2017	2		Francesco Parisi			P	
The Oxford Handbook of Law and Economics: Public Law and Legal Institutions	9780199684250	9780191764899							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199684250.001.0001/oxfordhb-9780199684250		oxfordhb-9780199684250		fulltext		Oxford University Press	monograph	2017	2017	3		Francesco Parisi			P	
