publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of American Immigration and Ethnicity	9780199766031	9780199983155							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199766031.001.0001/oxfordhb-9780199766031		oxfordhb-9780199766031		fulltext		Oxford University Press	monograph	2016	2016			Ronald H. Bayor			P	
The Oxford Handbook of American Indian History	9780199858897	9780199983162							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199858897.001.0001/oxfordhb-9780199858897		oxfordhb-9780199858897		fulltext		Oxford University Press	monograph	2016	2016			Frederick E. Hoxie			P	
The Oxford Handbook of Asian American History	9780199860463	9780199983216							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199860463.001.0001/oxfordhb-9780199860463		oxfordhb-9780199860463		fulltext		Oxford University Press	monograph	2016	2016			David K. Yoo, Eiichiro Azuma			P	
The Oxford Handbook of Cities in World History	9780199589531	9780191750366							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199589531.001.0001/oxfordhb-9780199589531		oxfordhb-9780199589531		fulltext		Oxford University Press	monograph	2013	2013			Peter Clark			P	176093850
The Oxford Handbook of Contemporary Middle-Eastern and North African History	9780199672530	9780191751387							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199672530.001.0001/oxfordhb-9780199672530		oxfordhb-9780199672530		fulltext		Oxford University Press	monograph	2017	2015			Amal Ghazal, Jens Hanssen			P	
The Oxford Handbook of Early Modern European History, Volume 1	9780199597253	9780191749971							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199597253.001.0001/oxfordhb-9780199597253		oxfordhb-9780199597253		fulltext		Oxford University Press	monograph	2015	2015	1		Hamish Scott			P	
The Oxford Handbook of Early Modern European History, Volume 2	9780199597260	9780191756542							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199597260.001.0001/oxfordhb-9780199597260		oxfordhb-9780199597260		fulltext		Oxford University Press	monograph	2015	2015	2		Hamish Scott			P	
The Oxford Handbook of Environmental History	9780195324907	9780199983629							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195324907.001.0001/oxfordhb-9780195324907		oxfordhb-9780195324907		fulltext		Oxford University Press	monograph	2014	2014			Andrew C. Isenberg			P	
The Oxford Handbook of Europe 1914-1945	9780199695669	9780191749957							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199695669.001.0001/oxfordhb-9780199695669		oxfordhb-9780199695669		fulltext		Oxford University Press	monograph	2016	2016			Nicholas Doumanis			P	
The Oxford Handbook of Fascism	9780199594788	9780191743689							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199594788.001.0001/oxfordhb-9780199594788		oxfordhb-9780199594788		fulltext		Oxford University Press	monograph	2010	2012			R. J. B. Bosworth			P	176095179
The Oxford Handbook of Food History	9780199729937	9780199971268							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199729937.001.0001/oxfordhb-9780199729937		oxfordhb-9780199729937		fulltext		Oxford University Press	monograph	2012	2012			Jeffrey M. Pilcher			P	
The Oxford Handbook of Genocide Studies	9780199232116	9780191743696							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199232116.001.0001/oxfordhb-9780199232116		oxfordhb-9780199232116		fulltext		Oxford University Press	monograph	2010	2012			Donald Bloxham, A. Dirk Moses			P	
The Oxford Handbook of Iranian History	9780199732159	9780199940882							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199732159.001.0001/oxfordhb-9780199732159		oxfordhb-9780199732159		fulltext		Oxford University Press	monograph	2012	2012			Touraj Daryaee			P	176131744
The Oxford Handbook of Latin American History	9780195166217	9780199940479							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195166217.001.0001/oxfordhb-9780195166217		oxfordhb-9780195166217		fulltext		Oxford University Press	monograph	2010	2012			Jose C. Moya			P	176132171
The Oxford Handbook of Medieval Christianity	9780199582136	9780191749933							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199582136.001.0001/oxfordhb-9780199582136		oxfordhb-9780199582136		fulltext		Oxford University Press	monograph	2014	2014			John H. Arnold			P	
The Oxford Handbook of Modern African History	9780199572472	9780191749988							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199572472.001.0001/oxfordhb-9780199572472		oxfordhb-9780199572472		fulltext		Oxford University Press	monograph	2013	2013			John Parker, Richard Reid			P	
The Oxford Handbook of Modern German History	9780199237395	9780191743917							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199237395.001.0001/oxfordhb-9780199237395		oxfordhb-9780199237395		fulltext		Oxford University Press	monograph	2011	2012			Helmut Walser Smith			P	176132821
The Oxford Handbook of Modern Irish History	9780199549344	9780191749995							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199549344.001.0001/oxfordhb-9780199549344		oxfordhb-9780199549344		fulltext		Oxford University Press	monograph	2014	2013			Alvin Jackson			P	
The Oxford Handbook of Modern Russian History	9780199236701	9780191749964							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199236701.001.0001/oxfordhb-9780199236701		oxfordhb-9780199236701		fulltext		Oxford University Press	monograph	2017	2013			Simon Dixon			P	
The Oxford Handbook of Modern Scottish History	9780199563692	9780191750687							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199563692.001.0001/oxfordhb-9780199563692		oxfordhb-9780199563692		fulltext		Oxford University Press	monograph	2012	2012			T. M. Devine, Jenny Wormald			P	176133208
The Oxford Handbook of Oral History	9780195339550	9780199940578							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195339550.001.0001/oxfordhb-9780195339550		oxfordhb-9780195339550		fulltext		Oxford University Press	monograph	2010	2012			Donald A. Ritchie			P	176133909
The Oxford Handbook of Postwar European History	9780199560981	9780191749490							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199560981.001.0001/oxfordhb-9780199560981		oxfordhb-9780199560981		fulltext		Oxford University Press	monograph	2012	2012			Dan Stone			P	176134298
