publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of African American Language	9780199795390	9780199983087							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199795390.001.0001/oxfordhb-9780199795390		oxfordhb-9780199795390		fulltext		Oxford University Press	monograph	2015	2015			Jennifer Bloomquist, Lisa J. Green, Sonja L. Lanehart			P	
The Oxford Handbook of Applied Linguistics (2 ed.)	9780195384253	9780199940158							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195384253.001.0001/oxfordhb-9780195384253		oxfordhb-9780195384253		fulltext		Oxford University Press	monograph	2010	2012		2	Robert B. Kaplan			P	
The Oxford Handbook of Arabic Linguistics	9780199764136	9780199983193							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199764136.001.0001/oxfordhb-9780199764136		oxfordhb-9780199764136		fulltext		Oxford University Press	monograph	2013	2013			Jonathan Owens			P	
The Oxford Handbook of Case	9780199206476	9780191743535							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199206476.001.0001/oxfordhb-9780199206476		oxfordhb-9780199206476		fulltext		Oxford University Press	monograph	2008	2012			Andrej Malchukov, Andrew Spencer			P	
The Oxford Handbook of Chinese Linguistics	9780199856336	9780199983322							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199856336.001.0001/oxfordhb-9780199856336		oxfordhb-9780199856336		fulltext		Oxford University Press	monograph	2015	2015			William S-Y. Wang, Chaofen Sun			P	
The Oxford Handbook of Cognitive Linguistics	9780199738632	9780199940219							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199738632.001.0001/oxfordhb-9780199738632		oxfordhb-9780199738632		fulltext		Oxford University Press	monograph	2010	2012			Hubert Cuyckens, Dirk Geeraerts			P	
The Oxford Handbook of Comparative Syntax	9780195136517	9780199940226							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195136517.001.0001/oxfordhb-9780195136517		oxfordhb-9780195136517		fulltext		Oxford University Press	monograph	2008	2012			Guglielmo Cinque, Richard S. Kayne			P	
The Oxford Handbook of Compositionality	9780199541072	9780191744129							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199541072.001.0001/oxfordhb-9780199541072		oxfordhb-9780199541072		fulltext		Oxford University Press	monograph	2012	2012			Wolfram Hinzen, Edouard Machery, Markus Werning			P	
The Oxford Handbook of Compounding	9780199695720	9780191743566							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199695720.001.0001/oxfordhb-9780199695720		oxfordhb-9780199695720		fulltext		Oxford University Press	monograph	2011	2012			Rochelle Lieber, Pavol Štekauer			P	
The Oxford Handbook of Computational Linguistics	9780199276349	9780191743573							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199276349.001.0001/oxfordhb-9780199276349		oxfordhb-9780199276349		fulltext		Oxford University Press	monograph	2005	2012			Ruslan Mitkov			P	
