publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Adaptation Studies	9780199331000	9780190657031							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199331000.001.0001/oxfordhb-9780199331000		oxfordhb-9780199331000		fulltext		Oxford University Press	monograph	2017	2017			Thomas Leitch			P	224344986
The Oxford Handbook of American Drama	9780199731497	9780199983131							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199731497.001.0001/oxfordhb-9780199731497		oxfordhb-9780199731497		fulltext		Oxford University Press	monograph	2013	2014			Jeffrey H. Richards, Heather S. Nathans			P	
The Oxford Handbook of American Literary Naturalism	9780195368932	9780199940110							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195368932.001.0001/oxfordhb-9780195368932		oxfordhb-9780195368932		fulltext		Oxford University Press	monograph	2011	2012			Keith Newlin			P	
The Oxford Handbook of Ben Jonson	9780199544561	9780191750038							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199544561.001.0001/oxfordhb-9780199544561		oxfordhb-9780199544561		fulltext		Oxford University Press	monograph	2017	2013			Eugene Giddens			P	
The Oxford Handbook of British Poetry, 1660–1800	9780199600809	9780191756580							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199600809.001.0001/oxfordhb-9780199600809		oxfordhb-9780199600809		fulltext		Oxford University Press	monograph	2016	2016			Jack Lynch			P	
The Oxford Handbook of British and Irish War Poetry	9780199559602	9780191743511							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199559602.001.0001/oxfordhb-9780199559602		oxfordhb-9780199559602		fulltext		Oxford University Press	monograph	2009	2012			Tim Kendall			P	
The Oxford Handbook of Canadian Literature	9780199941865	9780190274542							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199941865.001.0001/oxfordhb-9780199941865		oxfordhb-9780199941865		fulltext		Oxford University Press	monograph	2015	2015			Cynthia Sugars			P	
The Oxford Handbook of Children's Literature	9780195379785	9780199940189							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195379785.001.0001/oxfordhb-9780195379785		oxfordhb-9780195379785		fulltext		Oxford University Press	monograph	2011	2012			Julia Mickenberg, Lynne Vallone			P	
The Oxford Handbook of Chinese Cinemas	9780199765607	9780199983315							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199765607.001.0001/oxfordhb-9780199765607		oxfordhb-9780199765607		fulltext		Oxford University Press	monograph	2013	2013			Carlos Rojas			P	
The Oxford Handbook of Cognitive Literary Studies	9780199978069	9780199983377							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199978069.001.0001/oxfordhb-9780199978069		oxfordhb-9780199978069		fulltext		Oxford University Press	monograph	2014	2015			Lisa Zunshine			P	
The Oxford Handbook of Contemporary British and Irish Poetry	9780199596805	9780191751318							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199596805.001.0001/oxfordhb-9780199596805		oxfordhb-9780199596805		fulltext		Oxford University Press	monograph	2013	2013			Peter Robinson			P	
The Oxford Handbook of Cultural Reformations: Medieval and Renaissance in Literary History: Oxford Twenty-First Century Approaches to Literature	9780199212484	9780191792144							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199212484.001.0001/oxfordhb-9780199212484		oxfordhb-9780199212484		fulltext		Oxford University Press	monograph	2010	2015			James Simpson, Brian Cummings			P	
The Oxford Handbook of Early American Literature	9780195187274	9780199940301							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195187274.001.0001/oxfordhb-9780195187274		oxfordhb-9780195187274		fulltext		Oxford University Press	monograph	2008	2012			Kevin J. Hayes			P	
The Oxford Handbook of Early Modern Theatre	9780199697861	9780191743610							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199697861.001.0001/oxfordhb-9780199697861		oxfordhb-9780199697861		fulltext		Oxford University Press	monograph	2011	2012			Richard Dutton			P	
The Oxford Handbook of Early Modern Theatricality	9780199641352	9780191843822							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199641352.001.0001/oxfordhb-9780199641352		oxfordhb-9780199641352		fulltext		Oxford University Press	monograph	2013	2017			Henry S. Turner			P	
The Oxford Handbook of Ecocriticism	9780199742929	9780199983551							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199742929.001.0001/oxfordhb-9780199742929		oxfordhb-9780199742929		fulltext		Oxford University Press	monograph	2014	2014			Greg Garrard			P	
The Oxford Handbook of Edmund Spenser	9780199227365	9780191743634							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199227365.001.0001/oxfordhb-9780199227365		oxfordhb-9780199227365		fulltext		Oxford University Press	monograph	2011	2012			Richard A. McCabe			P	
The Oxford Handbook of Eighteenth Century Novel	9780199566747	9780191749674							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199566747.001.0001/oxfordhb-9780199566747		oxfordhb-9780199566747		fulltext		Oxford University Press	monograph	2016	2013			Alan Downie			P	
The Oxford Handbook of English Prose 1500-1640	9780199580682	9780191750311							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199580682.001.0001/oxfordhb-9780199580682		oxfordhb-9780199580682		fulltext		Oxford University Press	monograph	2013	2013			Andrew Hadfield			P	
The Oxford Handbook of European Romanticism	9780199696383	9780191756900							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199696383.001.0001/oxfordhb-9780199696383		oxfordhb-9780199696383		fulltext		Oxford University Press	monograph	2016	2016			Paul Hamilton			P	
The Oxford Handbook of Film and Media	9780195175967	9780199940370							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195175967.001.0001/oxfordhb-9780195175967		oxfordhb-9780195175967		fulltext		Oxford University Press	monograph	2008	2012			Robert Kolker			P	
The Oxford Handbook of Global Modernisms	9780195338904	9780199968800							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195338904.001.0001/oxfordhb-9780195338904		oxfordhb-9780195338904		fulltext		Oxford University Press	monograph	2012	2012			Matt Eatough, Mark Wollaeger			P	
The Oxford Handbook of Holinshed's Chronicles	9780199565757	9780191750533							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199565757.001.0001/oxfordhb-9780199565757		oxfordhb-9780199565757		fulltext		Oxford University Press	monograph	2012	2013			Ian W. Archer, Felicity Heal, Paulina Kewes			P	
The Oxford Handbook of Indigenous American Literature	9780199914036	9780199983841							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199914036.001.0001/oxfordhb-9780199914036		oxfordhb-9780199914036		fulltext		Oxford University Press	monograph	2014	2014			James H. Cox, Daniel Heath Justice			P	
The Oxford Handbook of Jack London	9780199315178	9780190605490							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199315178.001.0001/oxfordhb-9780199315178		oxfordhb-9780199315178		fulltext		Oxford University Press	monograph	2016	2017			Jay Williams			P	224443844
The Oxford Handbook of Japanese Cinema	9780199731664	9780199983971							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199731664.001.0001/oxfordhb-9780199731664		oxfordhb-9780199731664		fulltext		Oxford University Press	monograph	2014	2012			Daisuke Miyao			P	
The Oxford Handbook of John Donne	9780199218608	9780191743795							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199218608.001.0001/oxfordhb-9780199218608		oxfordhb-9780199218608		fulltext		Oxford University Press	monograph	2011	2012			Dennis Flynn, M. Thomas Hester, Jeanne Shami			P	
The Oxford Handbook of Late Victorian into Modern	9780198704393	9780191837005							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780198704393.001.0001/oxfordhb-9780198704393		oxfordhb-9780198704393		fulltext		Oxford University Press	monograph	2016	2016			Laura Marcus, Michèle Mendelssohn, Kirsten E. Shepherd-Barr			P	
The Oxford Handbook of Literature and the English Revolution	9780199560608	9780191750465							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199560608.001.0001/oxfordhb-9780199560608		oxfordhb-9780199560608		fulltext		Oxford University Press	monograph	2012	2013			Laura Lunger Knoppers			P	
The Oxford Handbook of Literature of the American South	9780199767472	9780199984077							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199767472.001.0001/oxfordhb-9780199767472		oxfordhb-9780199767472		fulltext		Oxford University Press	monograph	2016	2016			Fred Hobson, Barbara Ladd			P	
The Oxford Handbook of Medieval Literature in English	9780199229123	9780191743894							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199229123.001.0001/oxfordhb-9780199229123		oxfordhb-9780199229123		fulltext		Oxford University Press	monograph	2010	2012			Elaine Treharne, Greg Walker			P	
