publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Acculturation and Health	9780190215217	9780190632496							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190215217.001.0001/oxfordhb-9780190215217		oxfordhb-9780190215217		fulltext		Oxford University Press	monograph	2017	2016			Seth J. Schwartz, Jennifer Unger			P	229068901
The Oxford Handbook of Adolescent Substance Abuse	9780199735662	9780199983049							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199735662.001.0001/oxfordhb-9780199735662		oxfordhb-9780199735662		fulltext		Oxford University Press	monograph	2017	2015			Sandra Brown, Robert Zucker			P	
The Oxford Handbook of Affective Computing	9780199942237	9780199373475							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199942237.001.0001/oxfordhb-9780199942237		oxfordhb-9780199942237		fulltext		Oxford University Press	monograph	2014	2014			Rafael Calvo, Sidney D'Mello, Jonathan Gratch, Arvid Kappas			P	
The Oxford Handbook of Anxiety and Related Disorders	9780195307030	9780199940141							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195307030.001.0001/oxfordhb-9780195307030		oxfordhb-9780195307030		fulltext		Oxford University Press	monograph	2008	2012			Martin M. Antony, Murray B. Stein			P	
The Oxford Handbook of Aphasia and Language Disorders	9780199772391	9780199984244							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199772391.001.0001/oxfordhb-9780199772391		oxfordhb-9780199772391		fulltext		Oxford University Press	monograph	2017	2015			Anastasia M. Raymer, Leslie Gonzalez-Rothi			P	229067980
The Oxford Handbook of Attention	9780199675111	9780191753015							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199675111.001.0001/oxfordhb-9780199675111		oxfordhb-9780199675111		fulltext		Oxford University Press	monograph	2013	2014			Anna C. (Kia) Nobre, Sabine Kastner			P	
The Oxford Handbook of Auditory Science: Hearing	9780199233557	9780191743474							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199233557.001.0001/oxfordhb-9780199233557		oxfordhb-9780199233557		fulltext		Oxford University Press	monograph	2010	2012			Christopher J. Plack			P	
The Oxford Handbook of Auditory Science: The Auditory Brain	9780199233281	9780191743481							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199233281.001.0001/oxfordhb-9780199233281		oxfordhb-9780199233281		fulltext		Oxford University Press	monograph	2010	2012			Alan R. Palmer, Adrian Rees			P	
The Oxford Handbook of Auditory Science: The Ear	9780199233397	9780191743498							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199233397.001.0001/oxfordhb-9780199233397		oxfordhb-9780199233397		fulltext		Oxford University Press	monograph	2010	2012			Paul A. Fuchs			P	
The Oxford Handbook of Behavioral Emergencies and Crises	9780199352722	9780199352746							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199352722.001.0001/oxfordhb-9780199352722		oxfordhb-9780199352722		fulltext		Oxford University Press	monograph	2016	2016			Phillip M. Kleespies			P	
The Oxford Handbook of Causal Reasoning	9780199399550	9780190662745							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199399550.001.0001/oxfordhb-9780199399550		oxfordhb-9780199399550		fulltext		Oxford University Press	monograph	2017	2017			Michael R. Waldmann			P	229068162
The Oxford Handbook of Child Psychological Assessment	9780199796304	9780199983292							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199796304.001.0001/oxfordhb-9780199796304		oxfordhb-9780199796304		fulltext		Oxford University Press	monograph	2013	2013			Donald H. Saklofske, Cecil R. Reynolds, Vicki Schwean			P	
The Oxford Handbook of Child and Adolescent Eating Disorders: Developmental Perspectives	9780199744459	9780199940172							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199744459.001.0001/oxfordhb-9780199744459		oxfordhb-9780199744459		fulltext		Oxford University Press	monograph	2011	2012			James Lock			P	
The Oxford Handbook of Chinese Psychology	9780199541850	9780191743542							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199541850.001.0001/oxfordhb-9780199541850		oxfordhb-9780199541850		fulltext		Oxford University Press	monograph	2010	2012			Michael Harris Bond			P	
The Oxford Handbook of Clinical Geropsychology	9780199663170	9780191750892							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199663170.001.0001/oxfordhb-9780199663170		oxfordhb-9780199663170		fulltext		Oxford University Press	monograph	2014	2015			Nancy A. Pachana, Ken Laidlaw			P	
The Oxford Handbook of Clinical Psychology	9780195366884	9780199328710							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195366884.001.0001/oxfordhb-9780195366884		oxfordhb-9780195366884		fulltext		Oxford University Press	monograph	2010	2012			David H. Barlow			P	185459447
The Oxford Handbook of Clinical Psychology, Updated Edition	9780199328710	9780199940202							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199328710.001.0001/oxfordhb-9780199328710		oxfordhb-9780199328710		fulltext		Oxford University Press	monograph	2014	2014			David H. Barlow			P	
The Oxford Handbook of Close Relationships	9780195398694	9780199983353							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195398694.001.0001/oxfordhb-9780195398694		oxfordhb-9780195398694		fulltext		Oxford University Press	monograph	2013	2013			Jeffry Simpson, Lorne Campbell			P	
The Oxford Handbook of Coercive Relationship Dynamics	9780199324552	9780190218034							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199324552.001.0001/oxfordhb-9780199324552		oxfordhb-9780199324552		fulltext		Oxford University Press	monograph	2016	2016			Thomas J. Dishion, James Snyder			P	
The Oxford Handbook of Cognitive Engineering	9780199757183	9780199971466							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199757183.001.0001/oxfordhb-9780199757183		oxfordhb-9780199757183		fulltext		Oxford University Press	monograph	2013	2013			John D. Lee, Alex Kirlik			P	
The Oxford Handbook of Cognitive Neuroscience, Volume 1	9780199988693	9780199325573							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199988693.001.0001/oxfordhb-9780199988693		oxfordhb-9780199988693		fulltext		Oxford University Press	monograph	2013	2013	1		Kevin N. Ochsner, Stephen Kosslyn			P	
The Oxford Handbook of Cognitive Neuroscience, Volume 2	9780199988709	9780199325580							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199988709.001.0001/oxfordhb-9780199988709		oxfordhb-9780199988709		fulltext		Oxford University Press	monograph	2013	2013	2		Kevin N. Ochsner, Stephen Kosslyn			P	
The Oxford Handbook of Cognitive Psychology	9780195376746	9780199978304							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376746.001.0001/oxfordhb-9780195376746		oxfordhb-9780195376746		fulltext		Oxford University Press	monograph	2013	2013			Daniel Reisberg			P	
The Oxford Handbook of Cognitive Science	9780199842193	9780199983391							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199842193.001.0001/oxfordhb-9780199842193		oxfordhb-9780199842193		fulltext		Oxford University Press	monograph	2016	2014			Susan E. F. Chipman			P	229068154
The Oxford Handbook of Cognitive and Behavioral Therapies	9780199733255	9780199983360							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199733255.001.0001/oxfordhb-9780199733255		oxfordhb-9780199733255		fulltext		Oxford University Press	monograph	2015	2015			Christine Maguth Nezu, Arthur M. Nezu			P	
The Oxford Handbook of Comparative Cognition	9780195392661	9780199968701							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392661.001.0001/oxfordhb-9780195392661		oxfordhb-9780195392661		fulltext		Oxford University Press	monograph	2012	2012			Edward A. Wasserman, Thomas R. Zentall			P	
The Oxford Handbook of Comparative Evolutionary Psychology	9780199738182	9780199940943							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199738182.001.0001/oxfordhb-9780199738182		oxfordhb-9780199738182		fulltext		Oxford University Press	monograph	2012	2012			Todd K. Shackelford, Jennifer Vonk			P	
The Oxford Handbook of Computational Perceptual Organization	9780199829347	9780199983438							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199829347.001.0001/oxfordhb-9780199829347		oxfordhb-9780199829347		fulltext		Oxford University Press	monograph	2017	2014			Sergei Gepshtein, Larry Maloney, Manish Singh			P	
The Oxford Handbook of Computational and Mathematical Psychology	9780199957996	9780190233662							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199957996.001.0001/oxfordhb-9780199957996		oxfordhb-9780199957996		fulltext		Oxford University Press	monograph	2015	2015			James T. Townsend, Jerome R. Busemeyer			P	
The Oxford Handbook of Counseling Psychology	9780195342314	9780199940240							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195342314.001.0001/oxfordhb-9780195342314		oxfordhb-9780195342314		fulltext		Oxford University Press	monograph	2011	2012			Elizabeth M. Altmaier, Jo-Ida C. Hansen			P	
The Oxford Handbook of Creativity, Innovation, and Entrepreneurship	9780199927678	9780199983469							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199927678.001.0001/oxfordhb-9780199927678		oxfordhb-9780199927678		fulltext		Oxford University Press	monograph	2015	2015			Christina Shalley, Michael A. Hitt, Jing Zhou			P	
The Oxford Handbook of Cultural Neuroscience	9780199357376	9780199357383							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199357376.001.0001/oxfordhb-9780199357376		oxfordhb-9780199357376		fulltext		Oxford University Press	monograph	2015	2016			Joan Y. Chiao, Shu-Chen Li, Rebecca Seligman, Robert Turner			P	
The Oxford Handbook of Culture and Psychology	9780195396430	9780199968787							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195396430.001.0001/oxfordhb-9780195396430		oxfordhb-9780195396430		fulltext		Oxford University Press	monograph	2012	2012			Jaan Valsiner			P	
