publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Oxford Handbook of Abrahamic Religions	9780199697762	9780191756948							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199697762.001.0001/oxfordhb-9780199697762		oxfordhb-9780199697762		fulltext		Oxford University Press	monograph	2015	2015			Adam J. Silverstein, Guy G. Stroumsa			P	
The Oxford Handbook of African American Islam	9780199929269	9780199983070							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199929269.001.0001/oxfordhb-9780199929269		oxfordhb-9780199929269		fulltext		Oxford University Press	monograph	2099	2014			Aminah McCloud			P	
The Oxford Handbook of African American Theology	9780199755653	9780199983100							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199755653.001.0001/oxfordhb-9780199755653		oxfordhb-9780199755653		fulltext		Oxford University Press	monograph	2014	2014			Anthony B. Pinn, Katie G. Cannon			P	
The Oxford Handbook of American Islam	9780199862634	9780199983179							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199862634.001.0001/oxfordhb-9780199862634		oxfordhb-9780199862634		fulltext		Oxford University Press	monograph	2014	2014			Jane I. Smith, Yvonne Yazbeck Haddad			P	185776965
The Oxford Handbook of Anglican Studies	9780199218561	9780191749698							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199218561.001.0001/oxfordhb-9780199218561		oxfordhb-9780199218561		fulltext		Oxford University Press	monograph	2015	2016			Mark Chapman, Sathianathan Clarke, Ian Douglas, Martyn Percy			P	
The Oxford Handbook of Apocalyptic Literature	9780199856497	9780199367061							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199856497.001.0001/oxfordhb-9780199856497		oxfordhb-9780199856497		fulltext		Oxford University Press	monograph	2014	2014			John J. Collins			P	
The Oxford Handbook of Atheism	9780199644650	9780191756726							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199644650.001.0001/oxfordhb-9780199644650		oxfordhb-9780199644650		fulltext		Oxford University Press	monograph	2013	2013			Stephen Bullivant, Michael Ruse			P	
The Oxford Handbook of Biblical Narrative	9780199967728	9780190217709							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199967728.001.0001/oxfordhb-9780199967728		oxfordhb-9780199967728		fulltext		Oxford University Press	monograph	2016	2016			Danna Nolan Fewell			P	
The Oxford Handbook of Biblical Studies	9780199237777	9780191577130							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199237777.001.0001/oxfordhb-9780199237777		oxfordhb-9780199237777		fulltext		Oxford University Press	monograph	2008	2009			Judith M. Lieu, J. W. Rogerson			P	
The Oxford Handbook of Catholic Theology	9780199566273	9780191749926							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199566273.001.0001/oxfordhb-9780199566273		oxfordhb-9780199566273		fulltext		Oxford University Press	monograph	2017	2015			Lewis Ayres, Medi-Ann Volpe			P	
The Oxford Handbook of Christianity in Asia	9780199329069	9780199358106							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199329069.001.0001/oxfordhb-9780199329069		oxfordhb-9780199329069		fulltext		Oxford University Press	monograph	2014	2014			Felix Wilfred			P	
The Oxford Handbook of Christology	9780199641901	9780191756702							http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199641901.001.0001/oxfordhb-9780199641901		oxfordhb-9780199641901		fulltext		Oxford University Press	monograph	2015	2015			Francesca Aran Murphy			P	
