publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
2030 - The Future of Medicine	9780199600663	9780191768651							https://oxfordmedicine.com/view/10.1093/med/9780199600663.001.0001/med-9780199600663	Barker	med-9780199600663		fulltext		Oxford University Press	monograph	2010	2013		1				P	
4	9780198839248	9780191875410							https://oxfordmedicine.com/view/10.1093/med/9780198839248.001.0001/med-9780198839248		med-9780198839248		fulltext		Oxford University Press	monograph	2020	2019			Verhoeven			P	24186206X
50 Imaging Studies Every Doctor Should Know	9780190223700	9780190223731							https://oxfordmedicine.com/view/10.1093/med/9780190223700.001.0001/med-9780190223700	Lee	med-9780190223700		fulltext		Oxford University Press	monograph	2016	2016		1				P	
50 Studies Every Anesthesiologist Should Know	9780190237691	9780190237721							https://oxfordmedicine.com/view/10.1093/med/9780190237691.001.0001/med-9780190237691		med-9780190237691		fulltext		Oxford University Press	monograph	2019	2019			Gupta			P	23499391X
50 Studies Every Doctor Should Know	9780199343560	9780190235048							https://oxfordmedicine.com/view/10.1093/med/9780199343560.001.0001/med-9780199343560	Hochman	med-9780199343560		fulltext		Oxford University Press	monograph	2013	2014		1				P	
50 Studies Every Intensivist Should Know	9780190467654	9780190467685							https://oxfordmedicine.com/view/10.1093/med/9780190467654.001.0001/med-9780190467654	Bittner	med-9780190467654		fulltext		Oxford University Press	monograph	2018	2018		1				P	230579205
50 Studies Every Internist Should Know	9780199349937	9780199390861							https://oxfordmedicine.com/view/10.1093/med/9780199349937.001.0001/med-9780199349937	Swiger	med-9780199349937		fulltext		Oxford University Press	monograph	2015	2015		1				P	
50 Studies Every Neurologist Should Know	9780199377527	9780199377541							https://oxfordmedicine.com/view/10.1093/med/9780199377527.001.0001/med-9780199377527	Hwang	med-9780199377527		fulltext		Oxford University Press	monograph	2016	2016		1				P	
50 Studies Every Ophthalmologist Should Know	9780190050726	9780190050757							https://oxfordmedicine.com/view/10.1093/med/9780190050726.001.0001/med-9780190050726	Penman	med-9780190050726		fulltext		Oxford University Press	monograph	2020	2020						P	247937126
50 Studies Every Palliative Doctor Should Know	9780190658618	9780190658649							https://oxfordmedicine.com/view/10.1093/med/9780190658618.001.0001/med-9780190658618	Hui	med-9780190658618		fulltext		Oxford University Press	monograph	2018	2018						P	230581838
50 Studies Every Pediatrician Should Know	9780190204037	9780190204051							https://oxfordmedicine.com/view/10.1093/med/9780190204037.001.0001/med-9780190204037	Ashaunta	med-9780190204037		fulltext		Oxford University Press	monograph	2016	2016		1				P	
50 Studies Every Psychiatrist Should Know	9780190625085	9780190625115							https://oxfordmedicine.com/view/10.1093/med/9780190625085.001.0001/med-9780190625085		med-9780190625085		fulltext		Oxford University Press	monograph	2018	2018			Bhalla			P	230581099
50 Studies Every Surgeon Should Know	9780199384075	9780199384099							https://oxfordmedicine.com/view/10.1093/med/9780199384075.001.0001/med-9780199384075		med-9780199384075		fulltext		Oxford University Press	monograph	2017	2017		1	Kuy			P	230579914
A Case a Week: Sleep Disorders from the Cleveland Clinic	9780195377729	9780199322985							https://oxfordmedicine.com/view/10.1093/med/9780195377729.001.0001/med-9780195377729	Foldvary-Schaefer	med-9780195377729		fulltext		Oxford University Press	monograph	2010	2013		1				P	
A Case-Based Approach to Emergency Psychiatry	9780190250843	9780190273873							https://oxfordmedicine.com/view/10.1093/med/9780190250843.001.0001/med-9780190250843	Maloy	med-9780190250843		fulltext		Oxford University Press	monograph	2016	2016						P	
A Case-Based Approach to Public Psychiatry	9780190610999	9780190611026							https://oxfordmedicine.com/view/10.1093/med/9780190610999.001.0001/med-9780190610999		med-9780190610999		fulltext		Oxford University Press	monograph	2017	2017			Tse			P	230580319
A Clinical Guide to Transcranial Magnetic Stimulation	9780199926480	9780199375448							https://oxfordmedicine.com/view/10.1093/med/9780199926480.001.0001/med-9780199926480	Holtzheimer	med-9780199926480		fulltext		Oxford University Press	monograph	2014	2014		1				P	
A Clinician's Guide to Learning Disabilities	9780195383997	9780190856830							https://oxfordmedicine.com/view/10.1093/med/9780195383997.001.0001/med-9780195383997	Franz	med-9780195383997		fulltext		Oxford University Press	monograph	2017	2017		1				P	230576613
A Field Manual for Palliative Care in Humanitarian Crises	9780190066529	9780190066550							https://oxfordmedicine.com/view/10.1093/med/9780190066529.001.0001/med-9780190066529		med-9780190066529		fulltext		Oxford University Press	monograph	2019	2019			Waldman			P	241860806
