publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A Concise Companion to the Jewish Religion	9780192800886	9780191726446							https://www.oxfordreference.com/view/10.1093/acref/9780192800886.001.0001/acref-9780192800886		acref-9780192800886		fulltext		Oxford University Press	monograph	1999	2003		1 rev	Jacobs			P	
A Dictionary of Abbreviations		9780199698295							https://www.oxfordreference.com/view/10.1093/acref/9780199698295.001.0001/acref-9780199698295		acref-9780199698295		fulltext		Oxford University Press	monograph		2011		1	Vance			P	
A Dictionary of Accounting	9780199563050	9780191726477							https://www.oxfordreference.com/view/10.1093/acref/9780199563050.001.0001/acref-9780199563050		acref-9780199563050		fulltext	Philip's	Oxford University Press	monograph	2010	2010		4				P	
A Dictionary of Accounting	9780198743514	9780191803147							https://www.oxfordreference.com/view/10.1093/acref/9780198743514.001.0001/acref-9780198743514		acref-9780198743514		fulltext		Oxford University Press	monograph	2016	2016		5				P	197637442
A Dictionary of African Mythology	9780195124569	9780199891191							https://www.oxfordreference.com/view/10.1093/acref/9780195124569.001.0001/acref-9780195124569		acref-9780195124569		fulltext		Oxford University Press	monograph	2000	2002		1	Scheub			P	
A Dictionary of African Politics		9780191828836							https://www.oxfordreference.com/view/10.1093/acref/9780191828836.001.0001/acref-9780191828836	Cheeseman	acref-9780191828836		fulltext		Oxford University Press	monograph	2019	2019						P	
A Dictionary of Agriculture and Land Management	9780199654406	9780191744327							https://www.oxfordreference.com/view/10.1093/acref/9780199654406.001.0001/acref-9780199654406		acref-9780199654406				Oxford University Press	monograph	2019	2019			Manley			P	237151936
A Dictionary of American Art & Artists		9780191807671							https://www.oxfordreference.com/view/10.1093/acref/9780191807671.001.0001/acref-9780191807671		acref-9780191807671		fulltext		Oxford University Press	monograph		2018		2	Morgan			P	
A Dictionary of Anaesthesia		9780191826054							https://www.oxfordreference.com/view/10.1093/acref/9780191826054.001.0001/acref-9780191826054		acref-9780191826054		fulltext		Oxford University Press	monograph		2017		2	Shorthouse			P	
A Dictionary of Animal Behaviour		9780191761577							https://www.oxfordreference.com/view/10.1093/acref/9780191761577.001.0001/acref-9780191761577		acref-9780191761577		fulltext		Oxford University Press	monograph		2014		2	McFarland			P	187415331
A Dictionary of Animal Behaviour	9780198607212	9780191726453							https://www.oxfordreference.com/view/10.1093/acref/9780198607212.001.0001/acref-9780198607212		acref-9780198607212		fulltext		Oxford University Press	monograph	2006	2006		1	McFarland			P	
A Dictionary of Arabic Literary Terms and Devices		9780191836954							https://www.oxfordreference.com/view/10.1093/acref/9780191836954.001.0001/acref-9780191836954	Hammond	acref-9780191836954		fulltext		Oxford University Press			2018		1				P	
A Dictionary of Architecture and Landscape Architecture	9780198606789	9780191726484							https://www.oxfordreference.com/view/10.1093/acref/9780198606789.001.0001/acref-9780198606789		acref-9780198606789		fulltext		Oxford University Press	monograph	2006	2006		2	Curl			P	
A Dictionary of Asian Mythology	9780195120523	9780199891177							https://www.oxfordreference.com/view/10.1093/acref/9780195120523.001.0001/acref-9780195120523		acref-9780195120523		fulltext		Oxford University Press	monograph	2001	2002		1	Leeming			P	
A Dictionary of Astronomy		9780191851193							https://www.oxfordreference.com/view/10.1093/acref/9780191851193.001.0001/acref-9780191851193		acref-9780191851193		fulltext	Please note this title is no longer available to purchase through OUP. Existing customers will continue to get access.	Bloomsbury	monograph		2018		3	Ridpath			P	
A Dictionary of Astronomy	9780199609055	9780191739439							https://www.oxfordreference.com/view/10.1093/acref/9780199609055.001.0001/acref-9780199609055		acref-9780199609055		fulltext	Philip's	Oxford University Press	monograph	2012	2012		2 rev	Ridpath			P	
A Dictionary of Atheism		9780191816819							https://www.oxfordreference.com/view/10.1093/acref/9780191816819.001.0001/acref-9780191816819		acref-9780191816819		fulltext		Oxford University Press	monograph		2016		1				P	19763821X
A Dictionary of Audiology		9780191830822							https://www.oxfordreference.com/view/10.1093/acref/9780191830822.001.0001/acref-9780191830822		acref-9780191830822		fulltext		Oxford University Press	monograph		2016		2				P	197636993
A Dictionary of Australian Colloquialisms	9780195563160	9780195597196							https://www.oxfordreference.com/view/10.1093/acref/9780195563160.001.0001/acref-9780195563160		acref-9780195563160		fulltext		Oxford University Press	monograph	2008	2014		5	Wilkes			P	
A Dictionary of Biology	9780198821489	9780191860812							https://www.oxfordreference.com/view/10.1093/acref/9780198821489.001.0001/acref-9780198821489		acref-9780198821489		fulltext		Oxford University Press	monograph	2019	2019		8	Hine			P	237150859
A Dictionary of Biology	9780198714378	9780191782770							https://www.oxfordreference.com/view/10.1093/acref/9780198714378.001.0001/acref-9780198714378		acref-9780198714378		fulltext		Oxford University Press	monograph		2015		7				P	
A Dictionary of Biology	9780199204625	9780191726507							https://www.oxfordreference.com/view/10.1093/acref/9780199204625.001.0001/acref-9780199204625		acref-9780199204625		fulltext		Oxford University Press	monograph	2008	2008		6	Martin			P	
A Dictionary of Biomedicine		9780191829116							https://www.oxfordreference.com/view/10.1093/acref/9780191829116.001.0001/acref-9780191829116		acref-9780191829116		fulltext		Oxford University Press	monograph		2017			Nation			P	
A Dictionary of Biomedicine	9780199549351	9780191727948							https://www.oxfordreference.com/view/10.1093/acref/9780199549351.001.0001/acref-9780199549351		acref-9780199549351		fulltext	Philip's	Oxford University Press	monograph	2010	2010		1	Lackie			P	
A Dictionary of British History	9780199550371	9780191726514							https://www.oxfordreference.com/view/10.1093/acref/9780199550371.001.0001/acref-9780199550371		acref-9780199550371		fulltext	Philip's	Oxford University Press	monograph	2009	2009		1 rev	Cannon			P	
A Dictionary of British History		9780191758027							https://www.oxfordreference.com/view/10.1093/acref/9780191758027.001.0001/acref-9780191758027		acref-9780191758027		fulltext		Oxford University Press	monograph		2015		3	Cannon			P	
A Dictionary of British Place-Names	9780199609086	9780191739446							https://www.oxfordreference.com/view/10.1093/acref/9780199609086.001.0001/acref-9780199609086		acref-9780199609086		fulltext	Philip's	Oxford University Press	monograph	2011	2011		1 rev	Mills			P	
A Dictionary of Buddhism	9780198605607	9780191726538							https://www.oxfordreference.com/view/10.1093/acref/9780198605607.001.0001/acref-9780198605607		acref-9780198605607		fulltext		Oxford University Press	monograph	2004	2004		1	Keown			P	
A Dictionary of Business Research Methods		9780191792236							https://www.oxfordreference.com/view/10.1093/acref/9780191792236.001.0001/acref-9780191792236		acref-9780191792236		fulltext		Oxford University Press	monograph		2016		1	Duignan			P	197538266
A Dictionary of Business and Management	9780199234899	9780191726545							https://www.oxfordreference.com/view/10.1093/acref/9780199234899.001.0001/acref-9780199234899		acref-9780199234899		fulltext		Oxford University Press	monograph	2009	2009		5				P	
A Dictionary of Business and Management	9780199684984	9780191765278							https://www.oxfordreference.com/view/10.1093/acref/9780199684984.001.0001/acref-9780199684984		acref-9780199684984		fulltext		Oxford University Press	monograph	2016	2016		6	Law			P	197537405
A Dictionary of Business and Management in China		9780191839023							https://www.oxfordreference.com/view/10.1093/acref/9780191839023.001.0001/acref-9780191839023	Hsu	acref-9780191839023		fulltext		Oxford University Press			2018		1				P	
A Dictionary of Business and Management in India		9780191829000							https://www.oxfordreference.com/view/10.1093/acref/9780191829000.001.0001/acref-9780191829000		acref-9780191829000		fulltext		Oxford University Press	monograph		2017		1	Enderwick			P	
A Dictionary of Business and Management in the Middle East and North Africa		9780191843266							https://www.oxfordreference.com/view/10.1093/acref/9780191843266.001.0001/acref-9780191843266	Neal	acref-9780191843266		fulltext		Oxford University Press	monograph		2019						P	
A Dictionary of Celtic Mythology	9780198609674	9780191726552							https://www.oxfordreference.com/view/10.1093/acref/9780198609674.001.0001/acref-9780198609674		acref-9780198609674		fulltext		Oxford University Press	monograph	2004	2004		1	MacKillop			P	
A Dictionary of Chemical Engineering	9780199651450	9780191744464							https://www.oxfordreference.com/view/10.1093/acref/9780199651450.001.0001/acref-9780199651450		acref-9780199651450		fulltext	Philip's	Oxford University Press	monograph	2014	2014		1	Schaschke			P	
A Dictionary of Chemistry	9780199204632	9780191726569							https://www.oxfordreference.com/view/10.1093/acref/9780199204632.001.0001/acref-9780199204632		acref-9780199204632		fulltext		Oxford University Press	monograph	2008	2008		6	Daintith			P	
A Dictionary of Chemistry	9780198841227	9780191876783							https://www.oxfordreference.com/view/10.1093/acref/9780198841227.001.0001/acref-9780198841227		acref-9780198841227		fulltext		Oxford University Press	monograph	2020	2020		8	Law			P	248841084
A Dictionary of Chemistry	9780198722823	9780191789540							https://www.oxfordreference.com/view/10.1093/acref/9780198722823.001.0001/acref-9780198722823		acref-9780198722823		fulltext		Oxford University Press	monograph	2016	2016		7	Rennie			P	197536387
A Dictionary of Chinese Literature		9780191836183							https://www.oxfordreference.com/view/10.1093/acref/9780191836183.001.0001/acref-9780191836183		acref-9780191836183		fulltext		Oxford University Press	monograph		2017		1	Chang			P	
A Dictionary of Computer Science	9780199688975	9780191768125							https://www.oxfordreference.com/view/10.1093/acref/9780199688975.001.0001/acref-9780199688975		acref-9780199688975		fulltext		Oxford University Press	monograph	2016	2016		7	Butterfield			P	197534910
A Dictionary of Computing	9780199234004	9780191726576							https://www.oxfordreference.com/view/10.1093/acref/9780199234004.001.0001/acref-9780199234004		acref-9780199234004		fulltext		Oxford University Press	monograph	2008	2008		6	Daintith			P	
A Dictionary of Construction, Surveying and Civil Engineering	9780199534463	9780191757624							https://www.oxfordreference.com/view/10.1093/acref/9780199534463.001.0001/acref-9780199534463		acref-9780199534463		fulltext		Oxford University Press	monograph	2012	2013		1	Gorse			P	187450560
A Dictionary of Construction, Surveying, and Civil Engineering	9780198832485	9780191871061							https://www.oxfordreference.com/view/10.1093/acref/9780198832485.001.0001/acref-9780198832485		acref-9780198832485		fulltext		Oxford University Press	monograph	2020	2020		2	Gorse			P	245047190
A Dictionary of Contemporary World History		9780191802997							https://www.oxfordreference.com/view/10.1093/acref/9780191802997.001.0001/acref-9780191802997		acref-9780191802997		fulltext		Oxford University Press	monograph		2016		4	Riches			P	197625509
A Dictionary of Contemporary World History	9780199295678	9780191726583							https://www.oxfordreference.com/view/10.1093/acref/9780199295678.001.0001/acref-9780199295678		acref-9780199295678		fulltext		Oxford University Press	monograph	2008	2008		3	Palmowski			P	
A Dictionary of Contemporary World History		9780191870903							https://www.oxfordreference.com/view/10.1093/acref/9780191870903.001.0001/acref-9780191870903	Riches	acref-9780191870903		fulltext		Oxford University Press	monograph		2019						P	
A Dictionary of Creation Myths	9780195102758	9780191905636							https://www.oxfordreference.com/view/10.1093/acref/9780191905636.001.0001/acref-9780191905636	Leeming	acref-9780191905636		fulltext		Oxford University Press	monograph	1996	2020						P	
A Dictionary of Creation Myths	9780195102758	9780199891139							https://www.oxfordreference.com/view/10.1093/acref/9780195102758.001.0001/acref-9780195102758		acref-9780195102758		fulltext		Oxford University Press	monograph	1994	2009		1	Leeming			P	
A Dictionary of Critical Theory	9780199532919	9780191726590							https://www.oxfordreference.com/view/10.1093/acref/9780199532919.001.0001/acref-9780199532919		acref-9780199532919		fulltext		Oxford University Press	monograph	2010	2010		1	Buchanan			P	
A Dictionary of Critical Theory	9780198794790	9780191836305							https://www.oxfordreference.com/view/10.1093/acref/9780198794790.001.0001/acref-9780198794790	Buchanan	acref-9780198794790		fulltext	Please note this title is no longer available to purchase through OUP. Existing customers will continue to get access.	Bloomsbury	monograph	2018	2018		2				P	235709522
A Dictionary of Cultural Anthropology		9780191836688							https://www.oxfordreference.com/view/10.1093/acref/9780191836688.001.0001/acref-9780191836688	Vivanco	acref-9780191836688		fulltext		Oxford University Press	monograph	2018	2018		1					
A Dictionary of Dentistry	9780199533015	9780191726606							https://www.oxfordreference.com/view/10.1093/acref/9780199533015.001.0001/acref-9780199533015		acref-9780199533015		fulltext		Oxford University Press	monograph	2010	2010		1	Ireland			P	
A Dictionary of Dentistry		9780191828621							https://www.oxfordreference.com/view/10.1093/acref/9780191828621.001.0001/acref-9780191828621		acref-9780191828621		fulltext		Oxford University Press	monograph		2018		2	Yeung			P	
A Dictionary of Disaster Management		9780191829895							https://www.oxfordreference.com/view/10.1093/acref/9780191829895.001.0001/acref-9780191829895		acref-9780191829895		fulltext		Oxford University Press	monograph		2017		1	Rubin			P	
A Dictionary of Earth Sciences	9780199211944	9780191726613							https://www.oxfordreference.com/view/10.1093/acref/9780199211944.001.0001/acref-9780199211944		acref-9780199211944		fulltext		Oxford University Press	monograph	2008	2008		3				P	
A Dictionary of Ecology	9780199567669	9780191740923							https://www.oxfordreference.com/view/10.1093/acref/9780199567669.001.0001/acref-9780199567669		acref-9780199567669		fulltext	Philip's	Oxford University Press	monograph	2010	2010		4	Allaby			P	
A Dictionary of Ecology		9780191793158							https://www.oxfordreference.com/view/10.1093/acref/9780191793158.001.0001/acref-9780191793158		acref-9780191793158		fulltext		Oxford University Press	monograph		2015		5	Allaby			P	
A Dictionary of Economics	9780199696321	9780191759130							https://www.oxfordreference.com/view/10.1093/acref/9780199696321.001.0001/acref-9780199696321		acref-9780199696321		fulltext	Philip's	Oxford University Press	monograph	2012	2013		4				P	175395896
A Dictionary of Economics	9780199237043	9780191726637							https://www.oxfordreference.com/view/10.1093/acref/9780199237043.001.0001/acref-9780199237043		acref-9780199237043		fulltext		Oxford University Press	monograph	2009	2009		3	Black			P	
A Dictionary of Economics	9780198759430	9780191819940							https://www.oxfordreference.com/view/10.1093/acref/9780198759430.001.0001/acref-9780198759430		acref-9780198759430		fulltext		Oxford University Press	monograph	2017	2017		5	Black			P	229067441
A Dictionary of Education	9780199679393	9780191758454							https://www.oxfordreference.com/view/10.1093/acref/9780199679393.001.0001/acref-9780199679393		acref-9780199679393		fulltext	Philip's	Oxford University Press	monograph	2015	2015		2	Wallace			P	
A Dictionary of Education	9780199212064	9780191727443							https://www.oxfordreference.com/view/10.1093/acref/9780199212064.001.0001/acref-9780199212064		acref-9780199212064		fulltext		Oxford University Press	monograph	2009	2009		1	Wallace			P	
A Dictionary of Electronics and Electric Engineering	9780198725725	9780191792717							https://www.oxfordreference.com/view/10.1093/acref/9780198725725.001.0001/acref-9780198725725	Butterfield	acref-9780198725725		fulltext		Oxford University Press	monograph	2018	2018		5				P	230576907
A Dictionary of Energy Science		9780191826276							https://www.oxfordreference.com/view/10.1093/acref/9780191826276.001.0001/acref-9780191826276		acref-9780191826276		fulltext		Oxford University Press	monograph		2017		1	Jelley			P	
A Dictionary of English Folklore	9780198607663	9780191726644							https://www.oxfordreference.com/view/10.1093/acref/9780198607663.001.0001/acref-9780198607663		acref-9780198607663		fulltext		Oxford University Press	monograph	2003	2003		1	Simpson			P	
A Dictionary of English Manuscript Terminology 1450–2000	9780199576128	9780191727955							https://www.oxfordreference.com/view/10.1093/acref/9780199576128.001.0001/acref-9780199576128		acref-9780199576128		fulltext	Philip's	Oxford University Press	monograph	2008	2011		1	Beal			P	
A Dictionary of Environment and Conservation	9780199641666	9780191744471							https://www.oxfordreference.com/view/10.1093/acref/9780199641666.001.0001/acref-9780199641666		acref-9780199641666		fulltext	Philip's	Oxford University Press	monograph		2013		2				P	175397449
A Dictionary of Environment and Conservation		9780191826320							https://www.oxfordreference.com/view/10.1093/acref/9780191826320.001.0001/acref-9780191826320		acref-9780191826320		fulltext		Oxford University Press	monograph		2017		3	Park			P	
A Dictionary of Environment and Conservation	9780198609957	9780191726651							https://www.oxfordreference.com/view/10.1093/acref/9780198609957.001.0001/acref-9780198609957		acref-9780198609957		fulltext		Oxford University Press	monograph	2007	2007		1	Park			P	
A Dictionary of Epidemiology	9780199976720	9780199390069							https://www.oxfordreference.com/view/10.1093/acref/9780199976720.001.0001/acref-9780199976720		acref-9780199976720		fulltext		Oxford University Press	monograph	2014	2016		6	Porta			P	197618588
A Dictionary of Epidemiology	9780195314496	9780199338931							https://www.oxfordreference.com/view/10.1093/acref/9780195314496.001.0001/acref-9780195314496		acref-9780195314496		fulltext		Oxford University Press	monograph	2008	2014		5				P	187411573
A Dictionary of Ethics		9780191835759							https://www.oxfordreference.com/view/10.1093/acref/9780191835759.001.0001/acref-9780191835759	Cuneo	acref-9780191835759		fulltext		Oxford University Press	monograph		2020						P	
A Dictionary of Film Studies	9780199587261	9780191744426							https://www.oxfordreference.com/view/10.1093/acref/9780199587261.001.0001/acref-9780199587261		acref-9780199587261		fulltext	Philip's	Oxford University Press	monograph	2012	2012		1	Kuhn			P	
A Dictionary of Film Studies	9780198832096	9780191870859							https://www.oxfordreference.com/view/10.1093/acref/9780198832096.001.0001/acref-9780198832096	Kuhn	acref-9780198832096		fulltext		Oxford University Press	monograph	2020	2020		2				P	248841165
A Dictionary of Finance & Banking	9780199664931	9780191744501							https://www.oxfordreference.com/view/10.1093/acref/9780199664931.001.0001/acref-9780199664931		acref-9780199664931		fulltext	Philip's	Oxford University Press	monograph	2014	2014		5				P	187423288
A Dictionary of Finance and Banking	9780199229741	9780191726668							https://www.oxfordreference.com/view/10.1093/acref/9780199229741.001.0001/acref-9780199229741		acref-9780199229741		fulltext		Oxford University Press	monograph	2008	2008		4 rev	Law			P	
A Dictionary of Finance and Banking	9780198789741	9780191831430							https://www.oxfordreference.com/view/10.1093/acref/9780198789741.001.0001/acref-9780198789741	Law	acref-9780198789741		fulltext		Oxford University Press		2018	2018		6				P	
A Dictionary of First Names	9780198610601	9780191726675							https://www.oxfordreference.com/view/10.1093/acref/9780198610601.001.0001/acref-9780198610601		acref-9780198610601		fulltext		Oxford University Press	monograph	2006	2006		2	Hanks			P	
A Dictionary of Food and Nutrition		9780191752391							https://www.oxfordreference.com/view/10.1093/acref/9780191752391.001.0001/acref-9780191752391		acref-9780191752391		fulltext		Oxford University Press	monograph		2014		4	Bender			P	187411042
A Dictionary of Food and Nutrition	9780199234875	9780191726682							https://www.oxfordreference.com/view/10.1093/acref/9780199234875.001.0001/acref-9780199234875		acref-9780199234875		fulltext		Oxford University Press	monograph	2009	2009		3				P	
A Dictionary of Forensic Science	9780199594009	9780191757648							https://www.oxfordreference.com/view/10.1093/acref/9780199594009.001.0001/acref-9780199594009		acref-9780199594009		fulltext	Philip's	Oxford University Press	monograph	2012	2013		1	Bell			P	187450889
A Dictionary of Gangs		9780191845611							https://www.oxfordreference.com/view/10.1093/acref/9780191845611.001.0001/acref-9780191845611	Sanders	acref-9780191845611		fulltext		Oxford University Press	monograph	2019	2019						P	
A Dictionary of Gender Studies		9780191834837							https://www.oxfordreference.com/view/10.1093/acref/9780191834837.001.0001/acref-9780191834837		acref-9780191834837		fulltext		Oxford University Press	monograph		2017		1	Griffin			P	
A Dictionary of Genetics	9780195307610	9780199891429							https://www.oxfordreference.com/view/10.1093/acref/9780195307610.001.0001/acref-9780195307610		acref-9780195307610		fulltext		Oxford University Press	monograph	2007	2007		7				P	
A Dictionary of Genetics	9780199766444	9780199376865							https://www.oxfordreference.com/view/10.1093/acref/9780199766444.001.0001/acref-9780199766444		acref-9780199766444		fulltext	Philip's	Oxford University Press	monograph	2013	2014		8	King			P	187410097
A Dictionary of Geography	9780199231805	9780191726699							https://www.oxfordreference.com/view/10.1093/acref/9780199231805.001.0001/acref-9780199231805		acref-9780199231805		fulltext		Oxford University Press	monograph	2009	2009		4	Mayhew			P	
A Dictionary of Geography	9780199680856	9780191761034							https://www.oxfordreference.com/view/10.1093/acref/9780199680856.001.0001/acref-9780199680856		acref-9780199680856		fulltext	Philip's	Oxford University Press	monograph	2015	2015		5	Mayhew			P	
A Dictionary of Geology and Earth Sciences	9780199653065	9780191744334							https://www.oxfordreference.com/view/10.1093/acref/9780199653065.001.0001/acref-9780199653065		acref-9780199653065		fulltext	Philip's	Oxford University Press	monograph	2013	2013		4	Allaby			P	175448345
A Dictionary of Geology and Earth Sciences	9780198839033	9780191874901							https://www.oxfordreference.com/view/10.1093/acref/9780198839033.001.0001/acref-9780198839033	Allaby	acref-9780198839033		fulltext		Oxford University Press	monograph	2020	2020		5				P	245047808
A Dictionary of Hinduism	9780198610250	9780191726705							https://www.oxfordreference.com/view/10.1093/acref/9780198610250.001.0001/acref-9780198610250		acref-9780198610250		fulltext		Oxford University Press	monograph	2009	2009		1	Johnson			P	198372736
A Dictionary of Human Geography	9780199599868	9780191758065							https://www.oxfordreference.com/view/10.1093/acref/9780199599868.001.0001/acref-9780199599868		acref-9780199599868		fulltext	Philip's	Oxford University Press	monograph	2013	2013		1	Castree			P	17544918X
