publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A Commentary on Horace's Epodes	9780199253241	9780191819377							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199253241.book.1/actrade-9780199253241-book-1		actrade-9780199253241-book-1		fulltext		Oxford University Press	monograph	2003	2015			Watson			P	235466182
A Commentary on Horace: OdeNewOxfordShakespeares, Book II	9780198147718	9780191819179							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198147718.book.1/actrade-9780198147718-book-1		actrade-9780198147718-book-1		fulltext		Oxford University Press	monograph	1978	2015			Nisbet			P	235508071
A Commentary on Horace: Odes Book III	9780199288748	9780191819421							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199288748.book.1/actrade-9780199288748-book-1		actrade-9780199288748-book-1		fulltext		Oxford University Press	monograph	2004	2015			Nisbet			P	235065234
A Commentary on Horace: Odes, Book I	9780198149149	9780191819223							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198149149.book.1/actrade-9780198149149-book-1		actrade-9780198149149-book-1		fulltext		Oxford University Press	monograph	1970	2015			Nisbet			P	235433748
A Commentary on Livy Books 38–40	9780199290512	9780191828416							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199290512.book.1/actrade-9780199290512-book-1		actrade-9780199290512-book-1		fulltext		Oxford University Press	monograph	2007	2016			Briscoe			P	235464325
A Commentary on Livy Books 41–45	9780199216642	9780191828348							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199216642.book.1/actrade-9780199216642-book-1		actrade-9780199216642-book-1		fulltext		Oxford University Press	monograph	2012	2016			Briscoe			P	235464511
A Commentary on Livy Books XXXIV–XXXVII	9780198144557	9780191827938							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198144557.book.1/actrade-9780198144557-book-1		actrade-9780198144557-book-1		fulltext		Oxford University Press	monograph	1981	2016			Briscoe			P	235464937
A Commentary on Livy Books XXXI–XXXIII	9780198147381	9780191828225							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198147381.book.1/actrade-9780198147381-book-1		actrade-9780198147381-book-1		fulltext		Oxford University Press	monograph	1973	2016			Briscoe			P	235465488
A Commentary on Livy, Books VI–X, Vol. 1: Introduction and Book VI	9780198152774	9780191828287							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198152774.book.1/actrade-9780198152774-book-1		actrade-9780198152774-book-1		fulltext		Oxford University Press	monograph	1999	2016	1		Oakley			P	235465984
A Commentary on Livy, Books VI–X, Vol. 2: Books VII–VIII	9780198152262	9780191828270							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198152262.book.1/actrade-9780198152262-book-1		actrade-9780198152262-book-1		fulltext		Oxford University Press	monograph	1998	2016	2		Oakley			P	235466794
A Commentary on Livy, Books VI–X, Vol. 3: Book IX	9780199271436	9780191828379							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199271436.book.1/actrade-9780199271436-book-1		actrade-9780199271436-book-1		fulltext		Oxford University Press	monograph	2005	2016	3		Oakley			P	235468789
A Commentary on Livy, Books VI–X, Vol. 4: Book X	9780199237852	9780191827976							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199237852.book.1/actrade-9780199237852-book-1		actrade-9780199237852-book-1		fulltext		Oxford University Press	monograph	2007	2016	4		Oakley			P	23546886X
A Commentary on Livy: Books 1–5	9780198144328	9780191828058							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198144328.book.1/actrade-9780198144328-book-1		actrade-9780198144328-book-1		fulltext		Oxford University Press	monograph	1965	2016			Ogilvie			P	235468940
A Commentary on Martial, Epigrams Book 9	9780199606313	9780191819599							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199606313.book.1/actrade-9780199606313-book-1		actrade-9780199606313-book-1		fulltext		Oxford University Press	monograph	2012	2015			Henriksen			P	235469866
A Commentary on Ovid, Tristia, Book 2	9780199590421	9780191819575							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199590421.book.1/actrade-9780199590421-book-1		actrade-9780199590421-book-1		fulltext		Oxford University Press	monograph	2010	2015			Ingleheart			P	235473596
A Commentary on Ovid: Fasti Book VI	9780199271344	9780191819391							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199271344.book.1/actrade-9780199271344-book-1		actrade-9780199271344-book-1		fulltext		Oxford University Press	monograph	2006	2015			Littlewood			P	235484784
A Commentary on Propertius, Book 3	9780199571482	9780191819551							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199571482.book.1/actrade-9780199571482-book-1		actrade-9780199571482-book-1		fulltext		Oxford University Press	monograph	2011	2015			Heyworth			P	235501484
A Commentary on Silius Italicus' Punica 10	9780198713814	9780191864452							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198713814.book.1/actrade-9780198713814-book-1		actrade-9780198713814-book-1		fulltext		Oxford University Press	monograph	2017	2018			Littlewood			P	233250719
A Commentary on Silius Italicus' Punica 7	9780199570935	9780191819544							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199570935.book.1/actrade-9780199570935-book-1		actrade-9780199570935-book-1		fulltext		Oxford University Press	monograph	2011	2015			Littlewood			P	235502782
A Commentary on The Satyrica of Petronius	9780199567713	9780191838309							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199567713.book.1/actrade-9780199567713-book-1		actrade-9780199567713-book-1		fulltext		Oxford University Press	monograph	2011	2016			Schmeling			P	236664484
A Commentary on Vergil, Aeneid 3	9780198727811	9780191864575							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198727811.book.1/actrade-9780198727811-book-1		actrade-9780198727811-book-1		fulltext		Oxford University Press	monograph	2017	2018			Heyworth			P	231246218
A Commentary on Virgil: Eclogues	9780198150350	9780191819278							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198150350.book.1/actrade-9780198150350-book-1		actrade-9780198150350-book-1		fulltext		Oxford University Press	monograph	1994	2015			Clausen			P	235503541
A Commentary on the Aristotelian Athenaion Politeia	9780198149422	9780191891212							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198149422.book.1/actrade-9780198149422-book-1	Rhodes	actrade-9780198149422.book.1		fulltext		Oxford University Press	monograph	1993	2020						P	
A Commentary on the Rhesus Attributed to Euripides	9780199591688	9780191849893							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199591688.book.1/actrade-9780199591688-book-1		actrade-9780199591688-book-1		fulltext		Oxford University Press	monograph	2012	2017			Liapis			P	237236303
A Companion to Petronius	9780199245529	9780191838286							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780199245529.book.1/actrade-9780199245529-book-1		actrade-9780199245529-book-1		fulltext		Oxford University Press	monograph	2001	2016			Courtney			P	236665324
A Course of Lectures on the English Law: Delivered at the University of Oxford 1767–1773, Vol. 1	9780198701149	9780191786891							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198701149.book.1/actrade-9780198701149-book-1		actrade-9780198701149-book-1		fulltext		Oxford University Press and The University of Wisconsin Press	monograph	1986	2014	1		Curley			P	191708844
A Course of Lectures on the English Law: Delivered at the University of Oxford 1767–1773, Vol. 2	9780198701156	9780191786877							https://www.oxfordscholarlyeditions.com/view/10.1093/actrade/9780198701156.book.1/actrade-9780198701156-book-1		actrade-9780198701156-book-1		fulltext		Oxford University Press and The University of Wisconsin Press	monograph	1986	2014	2		Curley			P	191729620
