publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Comparative Politics	9780198737421	9780191851018							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198737421.001.0001/hepl-9780198737421		hepl-9780198737421		fulltext		Oxford University Press	monograph	2017	2015		4	Caramani			P	229067530
Contemporary Security Studies	9780198708315	9780191850776							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198708315.001.0001/hepl-9780198708315	Collins	hepl-9780198708315		fulltext		Oxford University Press	monograph	2015	2016		4				P	
Democratization	9780199233021	9780191850882							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199233021.001.0001/hepl-9780199233021		hepl-9780199233021		fulltext		Oxford University Press	monograph	2009	2016		1	Haerpfer			P	
European Integration Theory	9780199226092	9780191850875							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199226092.001.0001/hepl-9780199226092	Wiener	hepl-9780199226092		fulltext		Oxford University Press	monograph	2009	2017		2				P	
European Union Politics	9780198708933	9780191850820							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198708933.001.0001/hepl-9780198708933	Cini	hepl-9780198708933		fulltext		Oxford University Press	monograph	2016	2016		5				P	
Global Political Economy	9780198737469	9780191850844							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198737469.001.0001/hepl-9780198737469		hepl-9780198737469		fulltext		Oxford University Press	monograph	2016	2012		5	Ravenhill			P	
International Relations Since 1945	9780199693061	9780191850974							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199693061.001.0001/hepl-9780199693061	Young	hepl-9780199693061		fulltext		Oxford University Press	monograph	2013	2017		2				P	
International Relations of the Middle East	9780198708742	9780191850783							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198708742.001.0001/hepl-9780198708742	Fawcett	hepl-9780198708742		fulltext		Oxford University Press	monograph	2016	2015		4				P	
Introduction to International Relations	9780198707554	9780191850752							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198707554.001.0001/hepl-9780198707554	Jackson	hepl-9780198707554		fulltext		Oxford University Press	monograph	2015	2014		6				P	
Introduction to Politics	9780198704386	9780191850745							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198704386.001.0001/hepl-9780198704386	Garner	hepl-9780198704386		fulltext		Oxford University Press	monograph	2016	2017		3				P	
Issues in Political Theory	9780199680436	9780191850936							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199680436.001.0001/hepl-9780199680436	McKinnon	hepl-9780199680436		fulltext		Oxford University Press	monograph	2014	2012		3				P	
Political Research	9780198702740	9780191850738							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198702740.001.0001/hepl-9780198702740	Halperin	hepl-9780198702740		fulltext		Oxford University Press	monograph	2016	2014		2				P	
Politics in the European Union	9780199689668	9780191850950							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199689668.001.0001/hepl-9780199689668	Bache	hepl-9780199689668		fulltext		Oxford University Press	monograph	2014	2016		4				P	
Strategy in the Contemporary World	9780198708919	9780191850813							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198708919.001.0001/hepl-9780198708919		hepl-9780198708919		fulltext		Oxford University Press	monograph	2015	2015		5	Baylis			P	
The European Union: How does it work?	9780199685370	9780191850943							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199685370.001.0001/hepl-9780199685370		hepl-9780199685370		fulltext		Oxford University Press	monograph	2015	2015		4	Kenealy			P	
The Globalization of World Politics	9780198739852	9780191850851							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780198739852.001.0001/hepl-9780198739852		hepl-9780198739852		fulltext		Oxford University Press	monograph	2016	2016		7	Baylis			P	
The Member States of the European Union	9780199544837	9780191850899							https://www.oxfordpoliticstrove.com/view/10.1093/hepl/9780199544837.001.0001/hepl-9780199544837		hepl-9780199544837		fulltext		Oxford University Press	monograph	2012	2016		2	Bulmer			P	
