publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Abolitionism: A Very Short Introduction	9780190213220	9780190914035							https://www.veryshortintroductions.com/view/10.1093/actrade/9780190213220.001.0001/actrade-9780190213220	Newman	actrade-9780190213220		fulltext		Oxford University Press	monograph	2018	2018		1				P	230269672
Accounting: A Very Short Introduction	9780199684311	9780191779879							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199684311.001.0001/actrade-9780199684311	Nobes	actrade-9780199684311		fulltext		Oxford University Press	monograph	2014	2014		1				P	
Adam Smith: A Very Short Introduction	9780198784456	9780191826962							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198784456.001.0001/actrade-9780198784456	Berry	actrade-9780198784456		fulltext		Oxford University Press	monograph	2018	2018		1				P	231651503
Adolescence: A Very Short Introduction	9780199665563	9780191785245							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199665563.001.0001/actrade-9780199665563	Smith	actrade-9780199665563		fulltext		Oxford University Press	monograph	2016	2016		1				P	
Advertising: A Very Short Introduction	9780199568925	9780191777554							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199568925.001.0001/actrade-9780199568925	Fletcher	actrade-9780199568925		fulltext		Oxford University Press	monograph	2010	2013		1				P	
Aerial Warfare: A Very Short Introduction	9780198804314	9780191842641							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198804314.001.0001/actrade-9780198804314	Ledwidge	actrade-9780198804314		fulltext		Oxford University Press	monograph	2020	2020						P	245047107
Aesthetics: A Very Short Introduction	9780198826613	9780191865633							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198826613.001.0001/actrade-9780198826613	Nanay	actrade-9780198826613		fulltext		Oxford University Press	monograph	2020	2018						P	
African American Religion: A Very Short Introduction	9780195182897	9780199380770							https://www.veryshortintroductions.com/view/10.1093/actrade/9780195182897.001.0001/actrade-9780195182897	Glaude	actrade-9780195182897		fulltext		Oxford University Press	monograph	2014	2014		1				P	
African History: A Very Short Introduction	9780192802484	9780191775567							https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802484.001.0001/actrade-9780192802484	Rathbone	actrade-9780192802484		fulltext		Oxford University Press	monograph	2007	2013		1				P	
African Politics: A Very Short Introduction	9780198806578	9780191844140							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198806578.001.0001/actrade-9780198806578	Taylor	actrade-9780198806578		fulltext		Oxford University Press	monograph	2018	2018						P	230681093
African Religions: A Very Short Introduction	9780199790586	9780199375264							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199790586.001.0001/actrade-9780199790586	Olupona	actrade-9780199790586		fulltext		Oxford University Press	monograph	2014	2014		1				P	
Ageing: A Very Short Introduction	9780198725329	9780191792670							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198725329.001.0001/actrade-9780198725329	Pachana	actrade-9780198725329		fulltext		Oxford University Press	monograph	2016	2016		1				P	
Agnosticism: A Very Short Introduction	9780199575268	9780191777684							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199575268.001.0001/actrade-9780199575268	Le Poidevin	actrade-9780199575268		fulltext		Oxford University Press	monograph	2010	2013		1				P	
Agriculture: A Very Short Introduction	9780198725961	9780191792939							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198725961.001.0001/actrade-9780198725961	Brassley	actrade-9780198725961		fulltext		Oxford University Press	monograph	2016	2016		1				P	
Albert Camus: A Very Short Introduction	9780198792970	9780191834721							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198792970.001.0001/actrade-9780198792970	Gloag	actrade-9780198792970		fulltext		Oxford University Press	monograph	2020	2019						P	245046038
Alexander the Great: A Very Short Introduction	9780198706151	9780191780028							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198706151.001.0001/actrade-9780198706151	Bowden	actrade-9780198706151		fulltext		Oxford University Press	monograph	2014	2014		1				P	
Algebra: A Very Short Introduction	9780198732822	9780191797644							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198732822.001.0001/actrade-9780198732822	Higgins	actrade-9780198732822		fulltext		Oxford University Press	monograph	2015	2015		1				P	
American Business History: A Very Short Introduction	9780190622473	9780190622480							https://www.veryshortintroductions.com/view/10.1093/actrade/9780190622473.001.0001/actrade-9780190622473	Friedman	actrade-9780190622473		fulltext		Oxford University Press	monograph	2020	2020						P	248841300
American Cultural History: A Very Short Introduction	9780190200589	9780190200619							https://www.veryshortintroductions.com/view/10.1093/actrade/9780190200589.001.0001/actrade-9780190200589	Avila	actrade-9780190200589		fulltext		Oxford University Press	monograph	2018	2018		1				P	230109772
American Foreign Relations: A Very Short Introduction	9780199899395	9780190946036							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199899395.001.0001/actrade-9780199899395	Preston	actrade-9780199899395		fulltext		Oxford University Press	monograph	2019	2019						P	235709182
American History: A Very Short Introduction	9780195389142	9780199365715							https://www.veryshortintroductions.com/view/10.1093/actrade/9780195389142.001.0001/actrade-9780195389142	Boyer	actrade-9780195389142		fulltext		Oxford University Press	monograph	2012	2013		1				P	
American Immigration: A Very Short Introduction	9780195331783	9780199365623							https://www.veryshortintroductions.com/view/10.1093/actrade/9780195331783.001.0001/actrade-9780195331783	Gerber	actrade-9780195331783		fulltext		Oxford University Press	monograph	2011	2013		1				P	
American Legal History: A Very Short Introduction	9780199766000	9780199375240							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199766000.001.0001/actrade-9780199766000	White	actrade-9780199766000		fulltext		Oxford University Press	monograph	2013	2013		1				P	
American Military History: A Very Short Introduction	9780199859252	9780197552605							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199859252.001.0001/actrade-9780199859252	Glatthaar	actrade-9780199859252		fulltext		Oxford University Press	monograph	2020	2020						P	
American Naval History: A Very Short Introduction	9780199394760	9780199394777							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199394760.001.0001/actrade-9780199394760	Symonds	actrade-9780199394760		fulltext		Oxford University Press	monograph	2018	2018		1				P	230220312
American Political History: A Very Short Introduction	9780199340057	9780199393725							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199340057.001.0001/actrade-9780199340057	Critchlow	actrade-9780199340057		fulltext		Oxford University Press	monograph	2015	2015		1				P	
American Political Parties and Elections: A Very Short Introduction	9780195301229	9780199365517							https://www.veryshortintroductions.com/view/10.1093/actrade/9780195301229.001.0001/actrade-9780195301229	Maisel	actrade-9780195301229		fulltext		Oxford University Press	monograph	2007	2013						P	
American Political Parties and Elections: A Very Short Introduction	9780190458164	9780190458195							https://www.veryshortintroductions.com/view/10.1093/actrade/9780190458164.001.0001/actrade-9780190458164	Maisel	actrade-9780190458164		fulltext		Oxford University Press	monograph	2016	2016		2				P	
American Politics: A Very Short Introduction	9780195373851	9780199365692							https://www.veryshortintroductions.com/view/10.1093/actrade/9780195373851.001.0001/actrade-9780195373851	Valelly	actrade-9780195373851		fulltext		Oxford University Press	monograph	2013	2013		1				P	
American Slavery: A Very Short Introduction	9780199922680	9780199380787							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199922680.001.0001/actrade-9780199922680	Williams	actrade-9780199922680		fulltext		Oxford University Press	monograph	2014	2014		1				P	
American Women's History: A Very Short Introduction	9780199328338	9780199393794							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199328338.001.0001/actrade-9780199328338	Ware	actrade-9780199328338		fulltext		Oxford University Press	monograph	2015	2015		1				P	
Anaesthesia: A Very Short Introduction	9780199584543	9780191777868							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199584543.001.0001/actrade-9780199584543	O'Donnell	actrade-9780199584543		fulltext		Oxford University Press	monograph	2012	2013		1				P	
Analytic Philosophy: A Very Short Introduction	9780198778028	9780191823442							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198778028.001.0001/actrade-9780198778028	Beaney	actrade-9780198778028		fulltext		Oxford University Press	monograph	2017	2017		1				P	23057730X
Anarchism: A Very Short Introduction	9780192804778	9780191776069							https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804778.001.0001/actrade-9780192804778	Ward	actrade-9780192804778		fulltext		Oxford University Press	monograph	2004	2013		1				P	
Ancient Assyria: A Very Short Introduction	9780198715900	9780191784163							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198715900.001.0001/actrade-9780198715900	Radner	actrade-9780198715900		fulltext		Oxford University Press	monograph	2015	2015		1				P	
Ancient Egypt: A Very Short Introduction	9780192854193	9780191776694							https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854193.001.0001/actrade-9780192854193	Shaw	actrade-9780192854193		fulltext		Oxford University Press	monograph	2004	2013		1				P	
Ancient Egyptian Art and Architecture: A Very Short Introduction	9780199682782	9780191781261							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199682782.001.0001/actrade-9780199682782	Riggs	actrade-9780199682782		fulltext		Oxford University Press	monograph	2014	2014		1				P	
Ancient Greece: A Very Short Introduction	9780199601349	9780191778124							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199601349.001.0001/actrade-9780199601349	Cartledge	actrade-9780199601349		fulltext		Oxford University Press	monograph	2011	2013		1				P	
Ancient Philosophy: A Very Short Introduction	9780192853578	9780191776359							https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853578.001.0001/actrade-9780192853578	Annas	actrade-9780192853578		fulltext		Oxford University Press	monograph	2000	2013		1				P	
Ancient Warfare: A Very Short Introduction	9780192804709	9780191776045							https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804709.001.0001/actrade-9780192804709	Sidebottom	actrade-9780192804709		fulltext		Oxford University Press	monograph	2004	2013		1				P	
Angels: A Very Short Introduction	9780199547302	9780191777301							https://www.veryshortintroductions.com/view/10.1093/actrade/9780199547302.001.0001/actrade-9780199547302	Jones	actrade-9780199547302		fulltext		Oxford University Press	monograph	2011	2013		1				P	
Anglicanism: A Very Short Introduction	9780192806932	9780191776243							https://www.veryshortintroductions.com/view/10.1093/actrade/9780192806932.001.0001/actrade-9780192806932	Chapman	actrade-9780192806932		fulltext		Oxford University Press	monograph	2006	2013		1				P	
Animal Behaviour: A Very Short Introduction	9780198712152	9780191780691							https://www.veryshortintroductions.com/view/10.1093/actrade/9780198712152.001.0001/actrade-9780198712152	Wyatt	actrade-9780198712152		fulltext		Oxford University Press	monograph	2017	2017		1				P	229068030
