publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	Subject(s)	Collection(s)	Year Started at OUP	MARC Control Number	Title History
Acta Biochimica et Biophysica Sinica	1672-9145	1745-7270	2004-01	1	1				https://academic.oup.com/abbs		abbs		fulltext		Oxford University Press	Serial								P	"Life Sciences, Mathematics and Physics"	"Life Sciences, Mathematics & Physical Sciences, STM"	1827	EDZ0001565773	
Adaptation	1755-0637	1755-0645	2008	1	1				https://academic.oup.com/adaptation		adaptation		fulltext		Oxford University Press	Serial								P	Humanities	"HSS, Humanities"	1849	EDZ0001565869	
Aesthetic Surgery Journal	1090-820X	1527-330X	1997-01	17	1				https://academic.oup.com/asj		asj		fulltext		Oxford University Press	Serial								P	Medicine	"Medicine, STM"	1995	EDZ0001562269	Title change: Former titles (until 1997): Aesthetic Surgery Quarterly (United States) (1084-0761); Aesthetic Surgery Journal from 1997-01 on
Aesthetic Surgery Quarterly	1084-0761		1996-03	16	1	1996-12	16	4	https://academic.oup.com/asj		asj		fulltext		Oxford University Press	Serial								P	Medicine	"Medicine, STM"	1995	EDZ0001562269	Title change: Former titles (until 1997): Aesthetic Surgery Quarterly (United States) (1084-0761); Aesthetic Surgery Journal from 1997-01 on
African Affairs	0001-9909	1468-2621	1996-01	95	378				https://academic.oup.com/afraj		afraj		fulltext		Oxford University Press	Serial								P	Social Sciences	"HSS, Policy, Social Sciences"	1901	EDZ0001561532	
Age and Ageing	0002-0729	1468-2834	1996-01	25	1				https://academic.oup.com/ageing		ageing		fulltext		Oxford University Press	Serial								P	Medicine	"Medicine, STM"	1972	EDZ0001561745	
Alcohol and Alcoholism	0735-0414	1464-3502	1996-01	31	1				https://academic.oup.com/alalc		alalc		fulltext		Oxford University Press	Serial								P	"Life Sciences, Medicine, Social Sciences"	"HSS, Life Sciences, Medicine, Social Sciences, STM"	1963	EDZ0001561231	
American Entomologist	1046-2821	2155-9902	1996-01	42	1				https://academic.oup.com/ae		ae		fulltext		Oxford University Press	Serial							besa	P	Life Sciences	"Community Colleges North American Top 50, Life Sciences, STM"	1990	EDZ0001562050	
American Journal of Agricultural Economics	0002-9092	1467-8276	1996-02	78	1				https://academic.oup.com/ajae		ajae		fulltext		Oxford University Press	Serial								P	Social Sciences	"Economics and Finance, HSS, Social Sciences, "	1919	EDZ0001561460	
American Journal of Clinical Pathology	0002-9173	1943-7722	2000-01	113	1				https://academic.oup.com/ajcp		ajcp		fulltext		Oxford University Press	Serial								P	"Life Sciences, Medicine"	"Life Sciences, Medicine, STM"	1931	EDZ0001566064	
American Journal of Epidemiology	0002-9262	1476-6256	1996-01-01	143	1				https://academic.oup.com/aje		aje		fulltext		Oxford University Press	Serial								P	Medicine	"Community Colleges North American Top 50, Medicine, STM"	1921	EDZ0001562002	
American Journal of Hypertension	0895-7061	1941-7225	1996-01	9	1				https://academic.oup.com/ajh		ajh		fulltext		Oxford University Press	Serial								P	Medicine	"Medicine, STM"	1988	EDZ0001566062	
American Law and Economics Review	1465-7252	1465-7260	1999-01	1	1				https://academic.oup.com/aler		aler		fulltext		Oxford University Press	Serial								P	Law	"Economics and Finance, HSS, Law"	1865	EDZ0001561530	
American Literary History	0896-7148	1468-4365	1996-01	8	1				https://academic.oup.com/alh		alh		fulltext		Oxford University Press	Serial								P	Humanities	"Community Colleges North American Top 50, HSS, Humanities"	1989	EDZ0001561912	
American Zoologist	0003-1569	2162-4445	1996-02	36	1	2001-12	41	6	https://academic.oup.com/az		az		fulltext		Oxford University Press	Serial								P	Life Sciences	"Life Sciences, STM"	1961	EDZ0001562032	Title change: American Zoologist is the name for content published within Integrative and Comparative Biology (ICB) prior to 2002
Analysis	0003-2638	1467-8284	1996-01	56	1				https://academic.oup.com/analysis		analysis		fulltext		Oxford University Press	Serial								P	Humanities	"Community Colleges North American Top 50, HSS, Humanities"	1933	EDZ0001561462	
