publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Biochemical Journal	0006-2936		1906	1	1	1972	130	4	https://www.portlandpress.com/biochemj		https://portlandpress.com/biochemj		fulltext	Now: Biochemical Journal (1984) Split into: Biochemical Journal. Molecular Aspects and Biochemical Journal. Cellular Aspects		serial								P	
Biochemical Journal (1984)	0264-6021	1470-8728	1984	217	1				https://www.portlandpress.com/biochemj		https://portlandpress.com/biochemj		fulltext	Formed by union of Biochemical journal. Molecular aspects, (ISSN:0306-3275) and Biochemical journal. Cellular aspects,		serial								P	050929259
Biochemical Journal. Cellular Aspects	0306-3283		1973	131	1	1983	216	3	https://www.portlandpress.com/biochemj		https://portlandpress.com/biochemj		fulltext	Now: Biochemical Journal (1984)		serial								P	
Biochemical Journal. Molecular Aspects	0306-3275		1973	131	1	1983	216	3	https://www.portlandpress.com/biochemj		https://portlandpress.com/biochemj		fulltext	Now: Biochemical Journal (1984)		serial								P	
Biochemical Society Symposia	0067-8694	1744-1439	1995	61		2007	74		https://portlandpress.com/biochemsocsymp		https://portlandpress.com/biochemsocsymp		fulltext	1996 -1998 missing. Symposia now published within Biochemical Society Transactions		serial								P	090139240
Biochemical Society Transactions	0300-5127	1470-8752	1973	1	1				https://www.portlandpress.com/biochemsoctrans		https://portlandpress.com/biochemsoctrans		fulltext			serial								P	050929283
Bioscience Reports	0144-8463	1573-4935	1981	1					https://www.portlandpress.com/bioscirep		https://portlandpress.com/bioscirep		fulltext	Open Access		serial								P	111216745
Clinical Science	0009-9287		1970	38	1	1973	44	6	https://www.portlandpress.com/clinsci		https://portlandpress.com/clinsci		fulltext	Now: Clinical Science (1979) Continues: Clinical Science and Molecular Medicine (1973-78)		serial								P	
Clinical Science (1979)	0143-5221	1470-8736	1979	56	1				https://www.portlandpress.com/clinsci		https://portlandpress.com/clinsci		fulltext	Previously: Clinical Science (1970-73) Clinical Science and Molecular Medicine (1973-78)		serial								P	050929267
Clinical Science and Molecular Medicine	0301-0538		1973	45	1	1978	55	6	https://www.portlandpress.com/clinsci		https://portlandpress.com/clinsci		fulltext	Now: Clinical Science (1979)		serial								P	
Emerging Topics in Life Sciences	2397-8554	2397-8562	2017	1	1				https://www.portlandpress.com/emergtoplifesci		https://portlandpress.com/emergtoplifesci		fulltext			serial								P	223589489
Essays in Biochemistry	0071-1365	1744-1358	1998	33	1				https://www.portlandpress.com/essaysbiochem		https://portlandpress.com/essaysbiochem		fulltext			serial								P	090139232
Neuronal Signaling		2059-6553	2017	1	1				https://www.portlandpress.com/neuronalsignal		https://portlandpress.com/neuronalsignal		fulltext	Open Access		serial								P	232982066
