publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
2nd European Congress on Optics Applied to Metrology	9780892522385								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/0210		210		fulltext		SPIE	monograph	1980	2013	210		Grosmann, Michel 	proc_spie		P	
2nd International Conference on Applied Mathematics, Modelling, and Intelligent Computing (CAMMIC 2022)	9781510655195	9781510655201							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12259		12259		fulltext		SPIE	monograph	2022	2022	12259		Ye, Xuexia	proc_spie		P	
2nd International Conference on Artificial Intelligence, Automation, and High-Performance Computing (AIAHPC 2022)	9781510657717	9781510657724							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12348		12348		fulltext		SPIE	monograph	2022	2022	12348			proc_spie		P	
2nd International Conference on Computer Applications for Management and Sustainable Development of Production and Industry (CMSD-II-2022)	9781510662452	9781510662469							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12564		12564		fulltext		SPIE	monograph		2023	12564		Sadullozoda, Shahriyor	proc_spie		P	
2nd International Conference on Computer Vision, Image, and Deep Learning	9781510646810	9781510646827							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11911		11911		fulltext		SPIE	monograph	2021	2021	11911		bin Ahmad, Badrul Hisham 	proc_spie		P	
2nd International Conference on Information Technology and Intelligent Control (CITIC 2022)	9781510657649	9781510657656							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12346		12346		fulltext		SPIE	monograph	2022	2022	12346		Nikhath, Kousar	proc_spie		P	
2nd International Conference on Internet of Things and Smart City (IoTSC 2022）	9781510654990	9781510655003							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12249		12249		fulltext		SPIE	monograph	2022	2022	12249		Falcone, Francisco	proc_spie		P	
2nd International Conference on Laser, Optics and Optoelectronic Technology (LOPET 2022)	9781510657588	9781510657595							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12343		12343		fulltext		SPIE	monograph	2022	2022	12343		Cen, Fengjie	proc_spie		P	
2nd International Conference on Materials Chemistry and Environmental Engineering (CONF-MCEE 2022)	9781510657205	9781510657212							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12326		12326		fulltext		SPIE	monograph	2022	2022	12326		Chen, Shuai	proc_spie		P	
2nd International Conference on Mechanical, Electronics, and Electrical and Automation Control (METMS 2022)	9781510654778	9781510654785							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12244		12244		fulltext		SPIE	monograph	2022	2022	12244		Ye, Xuexia	proc_spie		P	
2nd International Conference on Signal Image Processing and Communication (ICSIPC 2022)	9781510657694	9781510657700							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12246		12246		fulltext		SPIE	monograph	2022	2022	12246		Cheng, Deqiang	proc_spie		P	
2nd International Conference on UltrafastX 2023	9781510681293	9781510681309							https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13209		13209		fulltext		SPIE	monograph	2024	2024	13209		Zhao, Pan	proc_spie		P	
2nd International Symposium on Advanced Optical Manufacturing and Testing Technologies: Advanced Optical Manufacturing Technologies	9780819461889								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/6149		6149		fulltext		SPIE	monograph	2006	2013	6149		Yang, Li 	proc_spie		P	
2nd International Symposium on Advanced Optical Manufacturing and Testing Technologies: Large Mirrors and Telescopes	9780819461872								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/6148		6148		fulltext		SPIE	monograph	2006	2013	6148		Zhang, Yudong 	proc_spie		P	
2nd International Symposium on Advanced Optical Manufacturing and Testing Technologies: Optical Test and Measurement Technology and Equipment	9780819461896								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/6150		6150		fulltext		SPIE	monograph	2006	2013	6150		Hou, Xun 	proc_spie		P	
2nd International Symposium on Laser Interaction with Matter (LIMIS 2012)	9780819496393								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/8796		8796		fulltext		SPIE	monograph	2013	2013	8796		Kaierle, Stefan 	proc_spie		P	
2nd Intl Conf on Optical Fiber Sensors: OFS'84	3800713845								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/0514		514		fulltext		SPIE	monograph	1984	2013	514		Kersten, Ralf 	proc_spie		P	
2nd Intl Symp of Biomechanics Cinematography and High Speed Photography	9780892523252								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/0291		291		fulltext		SPIE	monograph	1982	2013	291		Terauds, Juris	proc_spie		P	
2nd ISPRS International Conference on Computer Vision in Remote Sensing (CVRS 2015)	9781510601543								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9901		9901		fulltext		SPIE	monograph	2016	2016	9901		Ji, Rongrong 	proc_spie		P	
2nd Workshop on Specialty Optical Fibers and Their Applications (WSOF-2)	9780819483607								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7839		7839		fulltext		SPIE	monograph	2010	2013	7839		Hernández-Cordero, Juan 	proc_spie		P	
30th European Mask and Lithography Conference	9781628412857								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9231		9231		fulltext		SPIE	monograph	2014	2014	9231		Behringer, Uwe	proc_spie		P	
31st European Mask and Lithography Conference	9781628418798								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9661		9661		fulltext		SPIE	monograph	2015	2015	9661		Behringer, Uwe 	proc_spie		P	
Advanced Laser Dentistry	9780819412317								https://www.spiedigitallibrary.org/conference-proceedings-of-spie/1984		1984		fulltext		SPIE	monograph	1995	2013	1984		Altshuler, Gregory 	proc_spie		P	
