publication_title	online_identifier	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Osula - 10 Winning Strategies for Leaders in the Classroom: A Transformational Approach	9781446270288	http://knowledge.sagepub.com/view/10-winning-strategies-for-leaders-in-the-classroom/SAGE.xml	Osula	10-winning-strategies-for-leaders-in-the-classroom				SAGE India	Monograph	15/11/2010	18/01/2013						F
Urofsky - 100 Americans Making Constitutional History: A Biographical History	9781452235400	http://knowledge.sagepub.com/view/100-americans-making-constitutional-history/SAGE.xml		100-americans-making-constitutional-history				CQ Press	Monograph	27/04/2004	19/06/2012			Urofsky			F
"Posamentier - 100 Commonly Asked Questions in Math Class: Answers That Promote Mathematical Understanding, Grades 6-12"	9781483387871	http://knowledge.sagepub.com/view/100-commonly-asked-questions-in-math-class/SAGE.xml	Posamentier	100-commonly-asked-questions-in-math-class				Corwin	Monograph	24/09/2013	24/12/2014						F
Kanji - 100 Methods for Total Quality Management	9781446280164	http://knowledge.sagepub.com/view/100-methods-for-total-quality-management/SAGE.xml	Kanji	100-methods-for-total-quality-management				SAGE Publications Ltd	Monograph	5/03/1996	20/12/2013						F
"Lumby - 14-19 Education: Policy, Leadership and Learning"	9781446211588	http://knowledge.sagepub.com/view/14-19-education/SAGE.xml	Lumby	14-19-education				SAGE Publications Ltd	Monograph	19/04/2005	19/06/2012						F
Wenham - 200 Science Investigations for Young Students: Practical Activities for Science 5 - 11	9781446219119	http://knowledge.sagepub.com/view/200-science-investigations-for-young-students/SAGE.xml	Wenham	200-science-investigations-for-young-students				SAGE Publications Ltd	Monograph	13/12/2000	19/06/2012						F
Birx - 21st Century Anthropology: A Reference Handbook	9781412979283	http://knowledge.sagepub.com/view/21stcenturyanthro/SAGE.xml		21stcenturyanthro				"SAGE Publications, Inc"	Monograph	10/06/2010	30/06/2010			Birx			F
Eadie - 21st Century Communication: A Reference Handbook	9781412964005	http://knowledge.sagepub.com/view/communication/SAGE.xml		communication				"SAGE Publications, Inc"	Monograph	15/05/2009	3/09/2009			Eadie			F
Miller - 21st Century Criminology: A Reference Handbook	9781412971997	http://knowledge.sagepub.com/view/criminology/SAGE.xml		criminology				"SAGE Publications, Inc"	Monograph	6/08/2009	17/09/2009			Miller			F
Free - 21st Century Economics: A Reference Handbook	9781412979290	http://knowledge.sagepub.com/view/21stcenturyecon/SAGE.xml		21stcenturyecon				"SAGE Publications, Inc"	Monograph	14/05/2010	25/05/2010			Free			F
Good - 21st Century Education: A Reference Handbook	9781412964012	http://knowledge.sagepub.com/view/education/SAGE.xml		education				"SAGE Publications, Inc"	Monograph	1/10/2008	7/11/2008			Good			F
Stoltman - 21st Century Geography: A Reference Handbook	9781412995986	http://knowledge.sagepub.com/view/hdbk_geography/SAGE.xml		hdbk_geography				"SAGE Publications, Inc"	Monograph	20/10/2011	17/11/2011			Stoltman			F
Wankel - 21st Century Management: A Reference Handbook	9781412954006	http://knowledge.sagepub.com/view/management/SAGE.xml		management				"SAGE Publications, Inc"	Monograph	17/12/2007	21/04/2008			Wankel			F
Ishiyama - 21st Century Political Science: A Reference Handbook	9781412979351	http://knowledge.sagepub.com/view/21stcenturypolisci/SAGE.xml		21stcenturypolisci				"SAGE Publications, Inc"	Monograph	22/10/2010	23/11/2010			Ishiyama			F
Davis - 21st Century Psychology: A Reference Handbook	9781412956321	http://knowledge.sagepub.com/view/psychology/SAGE.xml		psychology				"SAGE Publications, Inc"	Monograph	17/12/2007	19/02/2008			Davis			F
Bryant - 21st Century Sociology: A Reference Handbook	9781412939645	http://knowledge.sagepub.com/view/sociology/SAGE.xml		sociology				"SAGE Publications, Inc"	Monograph	17/11/2006	15/03/2008			Bryant			F
"McEwan-Adkins - 40 Ways to Support Struggling Readers in Content Classrooms, Grades 6-12"	9781483329703	http://knowledge.sagepub.com/view/40-ways-to-support-struggling-readers-in-content-classrooms-grades-6-12/SAGE.xml	McEwan-Adkins	40-ways-to-support-struggling-readers-in-content-classrooms-grades-6-12				Corwin	Monograph	4/04/2007	20/12/2013						F
Johns - 401 Practical Adaptations for Every Classroom	9781483387390	http://knowledge.sagepub.com/view/401-practical-adaptations-for-every-classroom/SAGE.xml	Johns	401-practical-adaptations-for-every-classroom				Corwin	Monograph	18/10/2010	19/12/2014						F
