publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A Brain for Business – A Brain for Life	978-3-319-49153-0	978-3-319-49154-7							http://link.springer.com/10.1007/978-3-319-49154-7	O'Mara	10.1007/978-3-319-49154-7		fulltext		Springer International Publishing	monograph	2018	2018		1		14428		P	222236256
A Business History of the Bicycle Industry	978-3-030-50562-2	978-3-030-50563-9							http://link.springer.com/10.1007/978-3-030-50563-9	Mari	10.1007/978-3-030-50563-9		fulltext		Springer International Publishing	monograph	2021	2021		1				P	252509528
A Comparative History of Commerce and Industry, Volume I	978-1-137-50325-1	978-1-137-50326-8							http://link.springer.com/10.1057/9781137503268	McNabb	10.1057/9781137503268		fulltext		Palgrave Macmillan US	monograph	2016	2016		1				P	228322189
A Comparative History of Commerce and Industry, Volume II	978-1-137-50328-2	978-1-137-50330-5							http://link.springer.com/10.1057/9781137503305	McNabb	10.1057/9781137503305		fulltext		Palgrave Macmillan US	monograph	2016	2016		1				P	191697664
A Conceptual Framework for Personalised Learning	978-3-658-23094-4	978-3-658-23095-1							http://link.springer.com/10.1007/978-3-658-23095-1	Melzer	10.1007/978-3-658-23095-1		fulltext		Springer Fachmedien Wiesbaden	monograph	2019	2019		1				P	229501133
A Concise Guide to Market Research	978-3-662-56706-7	978-3-662-56707-4							http://link.springer.com/10.1007/978-3-662-56707-4	Sarstedt	10.1007/978-3-662-56707-4		fulltext		Springer Berlin Heidelberg	monograph	2019	2019		3		10099		P	230540368
A Different Approach to Work Discipline	978-3-319-74007-2	978-3-319-74008-9							http://link.springer.com/10.1007/978-3-319-74008-9	Bugdol	10.1007/978-3-319-74008-9		fulltext		Springer International Publishing	monograph	2018	2018		1				P	226698726
A Digital Framework for Industry 4.0	978-3-030-60048-8	978-3-030-60049-5							http://link.springer.com/10.1007/978-3-030-60049-5	Landeta Echeberria	10.1007/978-3-030-60049-5		fulltext		Springer International Publishing	monograph	2020	2020		1				P	252517865
A Discussion on Chinese Road of NGOs	978-981-10-3402-2	978-981-10-3404-6							http://link.springer.com/10.1007/978-981-10-3404-6		10.1007/978-981-10-3404-6		fulltext		Springer Singapore	monograph	2017	2017		1	Wang	13571		P	222231947
A Guide to Systems Research	978-981-10-0262-5	978-981-10-0263-2							http://link.springer.com/10.1007/978-981-10-0263-2		10.1007/978-981-10-0263-2		fulltext		Springer Singapore	monograph	2017	2017	10	1	Edson	11213		P	222235179
A History of Organizational Change	978-3-030-48269-5	978-3-030-48270-1							http://link.springer.com/10.1007/978-3-030-48270-1	Næss	10.1007/978-3-030-48270-1		fulltext		Springer International Publishing	monograph	2020	2020		1				P	
A New Meaning-Mission Fit	978-3-030-41163-3	978-3-030-41164-0							http://link.springer.com/10.1007/978-3-030-41164-0	French-Holloway	10.1007/978-3-030-41164-0		fulltext		Springer International Publishing	monograph	2020	2020		1		16360		P	248396757
A Primer on Process Mining	978-3-319-56426-5	978-3-319-56427-2							http://link.springer.com/10.1007/978-3-319-56427-2	Ferreira	10.1007/978-3-319-56427-2		fulltext		Springer International Publishing	monograph	2017	2017		1		10189		P	222234849
