publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A Beta-return Efficient Portfolio Optimisation Following the CAPM	978-3-658-06633-8	978-3-658-06634-5							http://link.springer.com/10.1007/978-3-658-06634-5	Vollmer	10.1007/978-3-658-06634-5		fulltext		Springer Fachmedien Wiesbaden	monograph	2015	2015		1		13198		P	179925210
A Brain-Focused Foundation for Economic Science	978-3-319-76809-0	978-3-319-76810-6							http://link.springer.com/10.1007/978-3-319-76810-6	McKenzie	10.1007/978-3-319-76810-6		fulltext		Springer International Publishing	monograph	2018	2018		1				P	
A Broad View of Regional Science	978-981-33-4097-8	978-981-33-4098-5							http://link.springer.com/10.1007/978-981-33-4098-5		10.1007/978-981-33-4098-5		fulltext		Springer Singapore	monograph	2021	2021	47	1	Suzuki	13039		P	
A Century of Monetary Policy at the Fed	978-1-137-57858-7	978-1-137-57859-4							http://link.springer.com/10.1007/978-1-137-57859-4	Lindsey	10.1007/978-1-137-57859-4		fulltext		Palgrave Macmillan US	monograph	2016	2016		1				P	
A Century of Sovereign Ratings	978-1-4614-0522-1	978-1-4614-0523-8							http://link.springer.com/10.1007/978-1-4614-0523-8	Gaillard	10.1007/978-1-4614-0523-8		fulltext		Springer New York	monograph	2012	2012		1				P	183084837
A Common Tax Base for Multinational Enterprises in the European Union	978-3-8349-1326-5	978-3-8349-8193-6							http://link.springer.com/10.1007/978-3-8349-8193-6	Wendt	10.1007/978-3-8349-8193-6		fulltext		Gabler Verlag	monograph	2009	2009		1				P	134132289
A Compendium of Italian Economists at Oxbridge	978-3-319-32218-6	978-3-319-32219-3							http://link.springer.com/10.1007/978-3-319-32219-3	Baranzini	10.1007/978-3-319-32219-3		fulltext		Springer International Publishing	monograph	2016	2016		1				P	
A Concise Guide to Market Research	978-3-642-12540-9	978-3-642-12541-6							http://link.springer.com/10.1007/978-3-642-12541-6	Mooi	10.1007/978-3-642-12541-6		fulltext		Springer Berlin Heidelberg	monograph	2011	2011		1				P	149905874
A Concise Guide to Market Research	978-3-642-53964-0	978-3-642-53965-7							http://link.springer.com/10.1007/978-3-642-53965-7	Sarstedt	10.1007/978-3-642-53965-7		fulltext		Springer Berlin Heidelberg	monograph	2014	2014		2		10099		P	179923935
A Contingency-Based View of Chief Executive Officers' Early Warning Behaviour	978-3-8350-0656-0	978-3-8350-5504-9							http://link.springer.com/10.1007/978-3-8350-5504-9	Kirschkamp	10.1007/978-3-8350-5504-9		fulltext		Deutscher Universitätsverlag	monograph	2008	2008		1		12240		P	123743931
A Course in In-Memory Data Management	978-3-642-36523-2	978-3-642-36524-9							http://link.springer.com/10.1007/978-3-642-36524-9	Plattner	10.1007/978-3-642-36524-9		fulltext		Springer Berlin Heidelberg	monograph	2013	2013		1				P	169139409
A Course in In-Memory Data Management	978-3-642-55269-4	978-3-642-55270-0							http://link.springer.com/10.1007/978-3-642-55270-0	Plattner	10.1007/978-3-642-55270-0		fulltext		Springer Berlin Heidelberg	monograph	2014	2014		2				P	178780081
A Critical Analysis of Basic Income Experiments for Researchers, Policymakers, and Citizens	978-3-030-03848-9	978-3-030-03849-6							http://link.springer.com/10.1007/978-3-030-03849-6	Widerquist	10.1007/978-3-030-03849-6		fulltext		Springer International Publishing	monograph	2018	2018		1		14981		P	
A Critical Impulse to e-Governance in the Asia Pacific	978-81-322-1631-5	978-81-322-1632-2							http://link.springer.com/10.1007/978-81-322-1632-2	SINGH	10.1007/978-81-322-1632-2		fulltext		Springer India	monograph	2013	2013		1				P	176126805
A Cross-Border-Only Regulation for Consumer Transactions in the EU	978-1-4614-2046-0	978-1-4614-2047-7							http://link.springer.com/10.1007/978-1-4614-2047-7	Twigg-Flesner	10.1007/978-1-4614-2047-7		fulltext		Springer New York	monograph	2012	2012		1		8860		P	157511561
A Cultural Economic Analysis of Craft	978-3-030-02163-4	978-3-030-02164-1							http://link.springer.com/10.1007/978-3-030-02164-1		10.1007/978-3-030-02164-1		fulltext		Springer International Publishing	monograph	2019	2019		1	Mignosa			P	
A Diary of the Euro Crisis in Cyprus	978-3-319-62222-4	978-3-319-62223-1							http://link.springer.com/10.1007/978-3-319-62223-1	Demetriades	10.1007/978-3-319-62223-1		fulltext		Springer International Publishing	monograph	2017	2017		1				P	
A Fair Share of Tax	978-3-319-69771-0	978-3-319-69772-7							http://link.springer.com/10.1007/978-3-319-69772-7	Björklund Larsen	10.1007/978-3-319-69772-7		fulltext		Springer International Publishing	monograph	2018	2018		1				F	
A Feasible Basic Income Scheme for Germany	978-3-319-24062-6	978-3-319-24064-0							http://link.springer.com/10.1007/978-3-319-24064-0	Sommer	10.1007/978-3-319-24064-0		fulltext		Springer International Publishing	monograph	2016	2016		1		1262		P	
A Genealogy of Self-Interest in Economics	978-981-15-9394-9	978-981-15-9395-6							http://link.springer.com/10.1007/978-981-15-9395-6		10.1007/978-981-15-9395-6		fulltext		Springer Singapore	monograph	2021	2021		1	Egashira			P	
A Guide to Continuous Improvement Transformation	978-3-642-35903-3	978-3-642-35904-0							http://link.springer.com/10.1007/978-3-642-35904-0	van Aartsengel	10.1007/978-3-642-35904-0		fulltext		Springer Berlin Heidelberg	monograph	2013	2013		1		10101		P	168329530
A Guide to Marxian Political Economy	978-3-319-65953-4	978-3-319-65954-1							http://link.springer.com/10.1007/978-3-319-65954-1	Otani	10.1007/978-3-319-65954-1		fulltext		Springer International Publishing	monograph	2018	2018		1				P	
A Guide to the Systems of Provision Approach	978-3-030-54142-2	978-3-030-54143-9							http://link.springer.com/10.1007/978-3-030-54143-9	Bayliss	10.1007/978-3-030-54143-9		fulltext		Springer International Publishing	monograph	2020	2020		1				P	
A Guidebook for Today's Asian Investor	978-981-10-5830-1	978-981-10-5831-8							http://link.springer.com/10.1007/978-981-10-5831-8	VonCannon	10.1007/978-981-10-5831-8		fulltext		Springer Singapore	monograph	2017	2017		1				P	
A Healthcare Economic Policy for Hearing Impairment	978-3-658-08236-9	978-3-658-08237-6							http://link.springer.com/10.1007/978-3-658-08237-6	Boltyenkov	10.1007/978-3-658-08237-6		fulltext		Springer Fachmedien Wiesbaden	monograph	2015	2015		1				P	183090667
