publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Advances in Cognitive Neurodynamics (II)	978-90-481-9694-4	978-90-481-9695-1							http://link.springer.com/10.1007/978-90-481-9695-1		10.1007/978-90-481-9695-1		fulltext		Springer Netherlands	monograph	2011	2011		1	Wang	11163		P	149905424
Alternative Farming Systems, Biotechnology, Drought Stress and Ecological Fertilisation	978-94-007-0185-4	978-94-007-0186-1							http://link.springer.com/10.1007/978-94-007-0186-1		10.1007/978-94-007-0186-1		fulltext		Springer Netherlands	monograph	2011	2011	6	1	Lichtfouse	8380		P	149905653
Antibiotic Discovery and Development	978-1-4614-1399-8	978-1-4614-1400-1							http://link.springer.com/10.1007/978-1-4614-1400-1		10.1007/978-1-4614-1400-1		fulltext		Springer US	monograph	2012	2012		1	Dougherty			P	157511308
Bacteria in Agrobiology: Crop Ecosystems	978-3-642-18356-0	978-3-642-18357-7							http://link.springer.com/10.1007/978-3-642-18357-7		10.1007/978-3-642-18357-7		fulltext		Springer Berlin Heidelberg	monograph	2011	2011		1	Maheshwari			P	153979658
Bacteria in Agrobiology: Stress Management	978-3-642-23464-4	978-3-642-23465-1							http://link.springer.com/10.1007/978-3-642-23465-1		10.1007/978-3-642-23465-1		fulltext		Springer Berlin Heidelberg	monograph	2012	2012		1	Maheshwari			P	159084555
Behavioral Neurobiology of Eating Disorders	978-3-642-15130-9	978-3-642-15131-6							http://link.springer.com/10.1007/978-3-642-15131-6		10.1007/978-3-642-15131-6		fulltext		Springer Berlin Heidelberg	monograph	2011	2011	6	1	Adan	7854		P	149905645
Bergey's Manual® of Systematic Bacteriology	978-0-387-24144-9	978-0-387-28022-6							http://link.springer.com/10.1007/0-387-28022-7		10.1007/0-387-28022-7		fulltext		Springer US	monograph	2005	2005		2	Brenner			P	123716713
Bergey's Manual® of Systematic Bacteriology	978-0-387-24143-2	978-0-387-28021-9							http://link.springer.com/10.1007/0-387-28021-9		10.1007/0-387-28021-9		fulltext		Springer US	monograph	2005	2005		2				P	123071445
Bergey's Manual® of Systematic Bacteriology	978-0-387-24145-6	978-0-387-29298-4							http://link.springer.com/10.1007/0-387-29298-5		10.1007/0-387-29298-5		fulltext		Springer US	monograph	2005	2005		2	Brenner			P	123071453
Bergey's Manual of Systematic Bacteriology	978-0-387-95043-3	978-0-387-68233-4							http://link.springer.com/10.1007/978-0-387-68233-4		10.1007/978-0-387-68233-4		fulltext		Springer New York	monograph	2012	2012		2	Whitman			P	168288532
Bergey's Manual of Systematic Bacteriology	978-0-387-95041-9	978-0-387-68489-5							http://link.springer.com/10.1007/978-0-387-68489-5		10.1007/978-0-387-68489-5		fulltext		Springer New York	monograph	2009	2009		2	Vos			P	149889690
Bergey's Manual of Systematic Bacteriology	978-0-387-95042-6	978-0-387-68572-4							http://link.springer.com/10.1007/978-0-387-68572-4		10.1007/978-0-387-68572-4		fulltext		Springer New York	monograph	2010	2010		2	Krieg			P	151584303
Biodiversity Hotspots	978-3-642-20991-8	978-3-642-20992-5							http://link.springer.com/10.1007/978-3-642-20992-5		10.1007/978-3-642-20992-5		fulltext		Springer Berlin Heidelberg	monograph	2011	2011		1	Zachos			P	156316749
