publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Optima and Equilibria	978-3-642-08446-1	978-3-662-03539-9							https://doi.org/10.1007/978-3-662-03539-9	Jean-Pierre Aubin	10.1007/978-3-662-03539-9		fulltext		Springer	monograph	1998		140	Second Edition				P	238080412
Classical Banach Spaces I	978-3-540-60628-4	978-3-540-37732-0							https://doi.org/10.1007/978-3-540-37732-0	Joram Lindenstrauss	10.1007/978-3-540-37732-0		fulltext		Springer	monograph	1996		338					P	237974347
Classical Banach Spaces I	978-3-642-66559-2	978-3-642-66557-8							https://doi.org/10.1007/978-3-642-66557-8	Joram Lindenstrauss	10.1007/978-3-642-66557-8		fulltext		Springer	monograph	1977		92					P	238092453
Classical Banach Spaces II	978-3-662-35349-3	978-3-662-35347-9							https://doi.org/10.1007/978-3-662-35347-9	Joram Lindenstrauss	10.1007/978-3-662-35347-9		fulltext		Springer	monograph	1979		97					P	237986167
Dirichlet Series	978-94-010-3136-3	978-94-010-3134-9							https://doi.org/10.1007/978-94-010-3134-9	S. Mandelbrojt	10.1007/978-94-010-3134-9		fulltext		Springer	monograph	1972							P	237915960
Review of Progress in Quantitative Nondestructive Evaluation	978-1-4615-7765-2	978-1-4615-7763-8							https://doi.org/10.1007/978-1-4615-7763-8	Donald O. Thompson	10.1007/978-1-4615-7763-8		fulltext		Springer	monograph	1986							P	237937395
Transport Analysis	978-1-4615-8087-4	978-1-4615-8085-0							https://doi.org/10.1007/978-1-4615-8085-0	Daniel Hershey	10.1007/978-1-4615-8085-0		fulltext		Springer	monograph	1973							P	237973731
Network Management	978-94-010-4563-6	978-94-011-1290-1							https://doi.org/10.1007/978-94-011-1290-1	ARPÈGE Group	10.1007/978-94-011-1290-1		fulltext		Springer	monograph	1994							P	237957876
Electronic Government : First International Conference, EGOV 2002 Aix-en-Provence, France, September 2–6, 2002 Proceedings		978-3-540-46138-8							https://doi.org/10.1007/3-540-46138-8		10.1007/3-540-46138-8		fulltext		Springer	monograph		2002						P	155196103
Petri Nets: Central Models and Their Properties : Advances in Petri Nets 1986, Part I Proceedings of an Advanced Course Bad Honnef, 8–19 September 1986		978-3-540-47919-2							https://doi.org/10.1007/BFb0046832		10.1007/BFb0046832		fulltext		Springer	monograph		2006						P	155181114
Logic Synthesis and Verification Algorithms	978-0-387-31004-6	978-0-387-31005-3							https://doi.org/10.1007/0-387-31005-3	Gary D. Hachtel	10.1007/0-387-31005-3		fulltext		Springer	monograph	1996							P	23799187X
Industrial Color Physics	978-1-4419-1196-4	978-1-4419-1197-1							https://doi.org/10.1007/978-1-4419-1197-1	Georg A. Klein	10.1007/978-1-4419-1197-1		fulltext		Springer	monograph	2010	2009	154					P	149080174
Kobordismentheorie		978-3-540-36449-8							https://doi.org/10.1007/BFb0059314	Bröcker	10.1007/BFb0059314		fulltext		Springer	monograph		2006						P	155219979
Nonlinear Systems	978-1-4612-8506-9	978-1-4613-1193-5							https://doi.org/10.1007/978-1-4613-1193-5	A. J. Fossard	10.1007/978-1-4613-1193-5		fulltext		Springer	monograph	1996							P	23793101X
Nonlinear Systems	978-1-4613-5849-7	978-1-4615-2047-4							https://doi.org/10.1007/978-1-4615-2047-4	A. J. Fossard	10.1007/978-1-4615-2047-4		fulltext		Springer	monograph	1995							P	238056228
Nonlinear Systems	978-1-4613-7938-6	978-1-4615-6395-2							https://doi.org/10.1007/978-1-4615-6395-2	A. J. Fossard	10.1007/978-1-4615-6395-2		fulltext		Springer	monograph	1997							P	237940140
Nonlinear Time Series: Nonparametric and Parametric Methods	978-0-387-95170-6	978-0-387-22432-9							https://doi.org/10.1007/b97702	Jianqing Fan	10.1007/b97702		fulltext		Springer	monograph	2003							P	237988399
Spectral Theory of Dynamical Systems	978-3-0348-9796-9	978-3-0348-8841-7							https://doi.org/10.1007/978-3-0348-8841-7	M. G. Nadkarni	10.1007/978-3-0348-8841-7		fulltext		Springer	monograph	1998							P	238080560
Structure of Dynamical Systems	978-1-4612-6692-1	978-1-4612-0281-3							https://doi.org/10.1007/978-1-4612-0281-3	Jean-Marie Souriau	10.1007/978-1-4612-0281-3		fulltext		Springer	monograph	1997		149					P	23800693X
Automata, Languages and Programming : 2nd Colloquium, University of Saarbrücken July 29–August 2, 1974		978-3-540-37778-8							https://doi.org/10.1007/3-540-06841-4		10.1007/3-540-06841-4		fulltext		Springer	monograph		2005						P	155191403
Spectroscopy		978-3-540-35219-8							https://doi.org/10.1007/BFb0010358	Dewar	10.1007/BFb0010358		fulltext		Springer	monograph		2005						P	155216414
Image Reconstruction from Projections : Implementation and Applications		978-3-540-35236-5							https://doi.org/10.1007/3-540-09417-2		10.1007/3-540-09417-2		fulltext		Springer	monograph		2005						P	155199064
Physiological Optics	978-3-662-13501-3	978-3-540-39053-4							https://doi.org/10.1007/978-3-540-39053-4	Sami G. Hage	10.1007/978-3-540-39053-4		fulltext		Springer	monograph	1980		13					P	23796967X
Renormalization Group Theory	978-3-642-02486-3	978-3-642-02487-0							https://doi.org/10.1007/978-3-642-02487-0	Ulrich Köbler	10.1007/978-3-642-02487-0		fulltext		Springer	monograph	2010	2009	127					P	149080484
Time Series Analysis and Its Applications	978-1-4419-7864-6	978-1-4419-7865-3							https://doi.org/10.1007/978-1-4419-7865-3	Robert H. Shumway	10.1007/978-1-4419-7865-3		fulltext		Springer	monograph	2011	2010	0					P	149899610
GI Gesellschaft für Informatik e. V. 3. Jahrestagung Hamburg, 8.–10. Oktober 1973		978-3-540-37797-9							https://doi.org/10.1007/3-540-06473-7		10.1007/3-540-06473-7		fulltext		Springer	monograph		2005						P	155199986
Series of Irregular Observations	978-1-4612-9357-6	978-1-4612-4912-2							https://doi.org/10.1007/978-1-4612-4912-2	Robert Azencott	10.1007/978-1-4612-4912-2		fulltext		Springer	monograph	1986		2					P	238057607
Wavelets from Math to Practice	978-3-642-00613-5	978-3-642-00614-2							https://doi.org/10.1007/978-3-642-00614-2	Desanka P. Radunovi?	10.1007/978-3-642-00614-2		fulltext		Springer	monograph	2009	2009						P	149044143
Toeplitz Matrices, Asymptotic Linear Algebra, and Functional Analysis	978-3-0348-9548-4	978-3-0348-8395-5							https://doi.org/10.1007/978-3-0348-8395-5	Albrecht Böttcher	10.1007/978-3-0348-8395-5		fulltext		Springer	monograph	2000							P	238068900
Selected Works of A. N. Kolmogorov	978-94-010-5347-1	978-94-011-3030-1							https://doi.org/10.1007/978-94-011-3030-1	V. M. Tikhomirov	10.1007/978-94-011-3030-1		fulltext		Springer	monograph	1991		25					P	237987155
The Solar System	978-3-662-03166-7	978-3-662-03164-3							https://doi.org/10.1007/978-3-662-03164-3	Thérèse Encrenaz	10.1007/978-3-662-03164-3		fulltext		Springer	monograph	1995			2nd, Corrected and Revised Edition				P	238072118
Possibility Theory	978-1-4684-5289-1	978-1-4684-5287-7							https://doi.org/10.1007/978-1-4684-5287-7	Didier Dubois	10.1007/978-1-4684-5287-7		fulltext		Springer	monograph	1988							P	237977680
PARLE '91 Parallel Architectures and Languages Europe : Volume I: Parallel Architectures and Algorithms Eindhoven, The Netherlands, June 10–13, 1991 Proceedings		978-3-540-47471-5							https://doi.org/10.1007/BFb0035091		10.1007/BFb0035091		fulltext		Springer	monograph		2005						P	155180460
Crystallographic Book List	978-90-277-9033-0	978-1-4613-4620-3							https://doi.org/10.1007/978-1-4613-4620-3	Helen D. Megaw	10.1007/978-1-4613-4620-3		fulltext		Springer	monograph	1965							P	238049833
Phase Locked Loops	978-1-4613-6337-8	978-1-4615-3064-0							https://doi.org/10.1007/978-1-4615-3064-0	J. B. Encinas	10.1007/978-1-4615-3064-0		fulltext		Springer	monograph	1993		6					P	237940213
Stereochemistry II	978-3-540-06682-8	978-3-540-37943-0							https://doi.org/10.1007/BFb0111428	A. Davison	10.1007/BFb0111428		fulltext		Springer	monograph	1974	2005	48					P	155226517
X-Rays and Their Applications	978-1-4899-5689-7	978-1-4899-5687-3							https://doi.org/10.1007/978-1-4899-5687-3	J. G. Brown	10.1007/978-1-4899-5687-3		fulltext		Springer	monograph	1966							P	237944731
Exercises in Number Theory	978-1-4419-3071-2	978-1-4757-5194-9							https://doi.org/10.1007/978-1-4757-5194-9	D. P. Parent	10.1007/978-1-4757-5194-9		fulltext		Springer	monograph	1984							P	238047431
Exercises in Integration	978-1-4684-6322-4	978-1-4684-6320-0							https://doi.org/10.1007/978-1-4684-6320-0	Claude George	10.1007/978-1-4684-6320-0		fulltext		Springer	monograph	1984							P	238000087
Heisenberg’s Uncertainties and the Probabilistic Interpretation of Wave Mechanics	978-94-010-7457-5	978-94-009-2127-6							https://doi.org/10.1007/978-94-009-2127-6	Louis Broglie	10.1007/978-94-009-2127-6		fulltext		Springer	monograph	1990		40					P	238011143
Electronic Noise and Interfering Signals	978-3-540-40741-6	978-3-540-26510-8							https://doi.org/10.1007/b137720	Gabriel Vasilescu	10.1007/b137720		fulltext		Springer	monograph	2005	2005						P	123099412
Electronic Noses & Sensors for the Detection of Explosives	978-1-4020-2317-0	978-1-4020-2319-4							https://doi.org/10.1007/1-4020-2319-7	Julian W. Gardner	10.1007/1-4020-2319-7		fulltext		Springer	monograph	2004		159					P	237955911
Transitions in Engineering	978-3-0348-9987-1	978-3-0348-9304-6							https://doi.org/10.1007/978-3-0348-9304-6	Tom Frank Peters	10.1007/978-3-0348-9304-6		fulltext		Springer	monograph	1987							P	237912090
Physical Acoustics in the Solid State	978-3-540-22910-0	978-3-540-27279-3							https://doi.org/10.1007/b138867	Bruno Lüthi	10.1007/b138867		fulltext		Springer	monograph	2005	2005	148					P	123087457
Matter, Dark Matter, and Anti-Matter	978-1-4419-8821-8	978-1-4419-8822-5							https://doi.org/10.1007/978-1-4419-8822-5	Alain Mazure	10.1007/978-1-4419-8822-5		fulltext		Springer	monograph	2012	2011						P	157511472
Mathematics of Random Phenomena	978-94-010-8618-9	978-94-009-4770-2							https://doi.org/10.1007/978-94-009-4770-2	Paul Krée	10.1007/978-94-009-4770-2		fulltext		Springer	monograph	1986		32					P	237917505
Telecommunication in the 21st Century	978-3-540-76190-7	978-1-4471-3429-9							https://doi.org/10.1007/978-1-4471-3429-9	Michel Feneyrol	10.1007/978-1-4471-3429-9		fulltext		Springer	monograph	1996							P	238005216
Underpinning and Retention	978-0-7514-0094-6	978-1-4899-7094-7							https://doi.org/10.1007/978-1-4899-7094-7	S. Thorburn	10.1007/978-1-4899-7094-7		fulltext		Springer	monograph	1993							P	237938227
Programming for Mathematicians	978-3-540-66422-2	978-3-642-57129-9							https://doi.org/10.1007/978-3-642-57129-9	Raymond Séroul	10.1007/978-3-642-57129-9		fulltext		Springer	monograph	2000							P	238073564
The Physics of Phase Transitions	978-3-540-33389-0	978-3-540-33390-6							https://doi.org/10.1007/3-540-33390-8	Pierre Papon	10.1007/3-540-33390-8		fulltext		Springer	monograph	2006	2006						P	123133491
Sediment Acoustics		978-0-387-34795-0							https://doi.org/10.1007/BFb0050060	Stoll	10.1007/BFb0050060		fulltext		Springer	monograph		2005						P	15521229X
Laser Speckle and Related Phenomena	978-3-540-07498-4	978-3-540-38013-9							https://doi.org/10.1007/BFb0111434	John Christopher Dainty	10.1007/BFb0111434		fulltext		Springer	monograph	1975	2007	9					P	155186477
Explosions	978-3-642-67749-6	978-3-642-67747-2							https://doi.org/10.1007/978-3-642-67747-2	Wolfgang Bartknecht	10.1007/978-3-642-67747-2		fulltext		Springer	monograph	1981							P	238083772
Magnetism	978-0-387-23000-9	978-0-387-23063-4							https://doi.org/10.1007/978-0-387-23063-4	Étienne Trémolet de Lacheisserie	10.1007/978-0-387-23063-4		fulltext		Springer	monograph	2005	2005						P	149015402
Elements of the History of Mathematics	978-3-540-64767-6	978-3-642-61693-8							https://doi.org/10.1007/978-3-642-61693-8	Nicolas Bourbaki	10.1007/978-3-642-61693-8		fulltext		Springer	monograph	1994							P	238040011
Composite Materials	978-1-4612-6803-1	978-1-4612-0527-2							https://doi.org/10.1007/978-1-4612-0527-2	Jean-Marie Berthelot	10.1007/978-1-4612-0527-2		fulltext		Springer	monograph	1999							P	238006727
A New Foundation of Physical Theories	978-3-540-30832-4	978-3-540-30833-1							https://doi.org/10.1007/3-540-30833-4	Günther Ludwig	10.1007/978-3-540-30833-1		fulltext		Springer	monograph	2006	2006						P	123129885
Mathematical Analysis and Numerical Methods for Science and Technology	978-3-540-66102-3	978-3-642-58004-8							https://doi.org/10.1007/978-3-642-58004-8	Robert Dautray	10.1007/978-3-642-58004-8		fulltext		Springer	monograph	2000							P	237923815
Mathematical Analysis and Numerical Methods for Science and Technology	978-3-540-66101-6	978-3-642-58090-1							https://doi.org/10.1007/978-3-642-58090-1	Robert Dautray	10.1007/978-3-642-58090-1		fulltext		Springer	monograph	2000							P	237919311
Magnetism and Superconductivity	978-3-642-08595-6	978-3-662-04271-7							https://doi.org/10.1007/978-3-662-04271-7	Laurent-Patrick Lévy	10.1007/978-3-662-04271-7		fulltext		Springer	monograph	2000							P	237962551
