publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Interface Science	0927-7056	1573-2746	1993	1		1996	12	4	https://rd.springer.com/journal/10793		10793		fulltext		Springer	serial								P	111374537
Il Cimento	1124-1845	1827-5672	1843	1		1847	5		https://rd.springer.com/journal/11584		11584		fulltext		Springer	serial								P	104899573
Nuovo cimento. A	0369-3546		1965	40	1	1970	70	4	https://rd.springer.com/journal/11539		11539		fulltext		Springer	serial								P	
Nuovo cimento. B	0369-3554		1965	40	1	1970	70	2	https://rd.springer.com/journal/11542		11542		fulltext		Springer	serial								P	
Il Nuovo cimento della Società italiana di fisica. B	1594-9982	1826-9877	1985			1996			https://rd.springer.com/journal/40764		40764		fulltext		Springer	serial								P	104905034
Il Nuovo cimento della Società italiana di fisica. C. Geophysics and space physics	1124-1896	2385-2119	1982			1996			https://rd.springer.com/journal/11543		11543		fulltext		Springer	serial								P	182546934
Il Nuovo Cimento	0029-6341	1827-6121	1855	1	1	1867	28	1	https://rd.springer.com/journal/11583		11583		fulltext		Springer	serial								P	116262486
Nuovo cimento della Società italiana di fisica. D Condensed matter, atomic, molecular and chemical physics, biophysics	0392-6737	1826-9893	1982	1		1998	20		https://rd.springer.com/journal/11544		11544		fulltext		Springer	serial								P	104905050
Zeitschrift für die gesamte Neurologie und Psychiatrie	0303-4194		1910			1944			https://rd.springer.com/journal/12359		12359		fulltext		Springer	serial								P	
Dynamics and Control	0925-4668	1573-8450	1991	1		2002	11		https://rd.springer.com/journal/10638		10638		fulltext		Springer	serial								P	111375150
MOCT-MOST: Economic Policy in Transitional Economies	1120-7388	1573-7063	1991	1	1	2001	11	4	https://rd.springer.com/journal/11039		11039		fulltext		Springer	serial								P	114199329
Journal of Child and Adolescent Group Therapy	1053-0800	1573-3467	1991	1		2001	11		https://rd.springer.com/journal/10821		10821		fulltext		Springer	serial								P	132494310
Geriatric Nephrology and Urology	0924-8455	1573-7306	1991	1		1999	9		https://rd.springer.com/journal/10715		10715		fulltext		Springer	serial								P	107973561
The Forum	0732-0426		1971	1		1976			https://rd.springer.com/journal/12143		12143		fulltext		Springer	serial								P	
Orthopedics and Traumatology	0941-2530	1617-3538	1992	1		1996	10		https://rd.springer.com/journal/65		65		fulltext		Springer	serial								P	136980821
Dublin Journal of Medical and Chemical Science	0332-1029		1832	1		1836	9		https://rd.springer.com/journal/12629		12629		fulltext		Springer	serial								P	
Somatic cell genetics	0098-0366		1975	1	1	1983	9	6	https://rd.springer.com/journal/11188		11188		fulltext		Springer	serial								P	
Bulletin of General Relativity and Gravitation	0573-049X	1662-5390	1962			1969			https://rd.springer.com/journal/12366		12366		fulltext		Springer	serial								P	155486152
