publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Technologietransfer durch Unternehmensgründungen	978-3-8350-0676-8	978-3-8350-9513-7							https://link.springer.com/10.1007/978-3-8350-9513-7	Baumgartner	10.1007/978-3-8350-9513-7		fulltext		Deutscher Universitätsverlag	monograph	2007	2007		1		12226		P	
Absatzorientiertes Handeln von Unternehmensgründern im Internet	978-3-8350-0611-9	978-3-8350-9457-4							https://link.springer.com/10.1007/978-3-8350-9457-4	Schmengler	10.1007/978-3-8350-9457-4		fulltext		Deutscher Universitätsverlag	monograph	2007	2007		1		12226		P	
Der Realoptionsansatz als Controllinginstrument in jungen Wachstumsunternehmen	978-3-8350-0794-9	978-3-8350-9608-0							https://link.springer.com/10.1007/978-3-8350-9608-0	Faaß	10.1007/978-3-8350-9608-0		fulltext		Deutscher Universitätsverlag	monograph	2007	2007		1		12226		P	
Soziologische Ästhetik	978-3-531-16287-4	978-3-531-91352-0							https://link.springer.com/10.1007/978-3-531-91352-0	Simmel	10.1007/978-3-531-91352-0		fulltext		VS Verlag für Sozialwissenschaften	monograph	2009	2009		1	Lichtblau	12284		P	
Internet-Marketing und -Fundraising für Nonprofit-Organisationen	978-3-8244-7527-8	978-3-322-81403-6							https://link.springer.com/10.1007/978-3-322-81403-6	Hohn	10.1007/978-3-322-81403-6		fulltext		Deutscher Universitätsverlag	monograph	2001	2001		1		12702		P	
Gewässerschutz in Kärnten	978-3-211-80660-9	978-3-7091-5554-7							https://link.springer.com/10.1007/978-3-7091-5554-7	Wedenig	10.1007/978-3-7091-5554-7		fulltext		Springer Vienna	monograph	1963	1963	45	1		414		P	
Experience from the DARPA Urban Challenge	978-0-85729-771-6	978-0-85729-772-3							https://link.springer.com/10.1007/978-0-85729-772-3		10.1007/978-0-85729-772-3		fulltext		Springer London	monograph	2012	2012		1	Rouff			P	277386829
Anatomie für die mündliche Prüfung	978-3-540-42102-3	978-3-642-56069-9							https://link.springer.com/10.1007/978-3-642-56069-9	Wennemuth	10.1007/978-3-642-56069-9		fulltext		Springer Berlin Heidelberg	monograph	2002	2002		2		2923		P	
design is a journey	978-3-540-61896-6	978-3-642-59076-4							https://link.springer.com/10.1007/978-3-642-59076-4	Bruns	10.1007/978-3-642-59076-4		fulltext		Springer Berlin Heidelberg	monograph	1997	1997		1	Rat für Formgebung/German Design Council			P	
The HACCP Training Resource Pack Trainer’s Manual	978-1-4684-7137-3	978-1-4615-1731-3							https://link.springer.com/10.1007/978-1-4615-1731-3		10.1007/978-1-4615-1731-3		fulltext		Springer US	monograph	2001	2001		1	Mortimore			P	238058352
Anatomie für die mündliche Prüfung	978-3-540-61977-2	978-3-642-97965-1							https://link.springer.com/10.1007/978-3-642-97965-1	Wennemuth	10.1007/978-3-642-97965-1		fulltext		Springer Berlin Heidelberg	monograph	1997	1997		1		2923		P	
Handbook of Developmental Psychopathology	978-0-306-46275-7	978-1-4615-4163-9							https://link.springer.com/10.1007/978-1-4615-4163-9		10.1007/978-1-4615-4163-9		fulltext		Springer US	monograph	2000	2000		2	Sameroff			P	
Jus Cogens and the Vienna Convention on the Law of Treaties	978-3-211-81247-1	978-3-7091-8368-7							https://link.springer.com/10.1007/978-3-7091-8368-7	Sztucki	10.1007/978-3-7091-8368-7		fulltext		Springer Vienna	monograph	1974	1974	3	1		368		P	
Auseinandersetzungen zur Reinen Rechtslehre	978-3-211-81950-0	978-3-7091-8881-1							https://link.springer.com/10.1007/978-3-7091-8881-1	Kelsen	10.1007/978-3-7091-8881-1		fulltext		Springer Vienna	monograph	1987	1987	9	1	Ringhofer	368		P	
Die Rechtsstellung der Oberösterreichischen Landes-Hypothekenbank	978-3-211-81446-8	978-3-7091-8493-6							https://link.springer.com/10.1007/978-3-7091-8493-6	Binder	10.1007/978-3-7091-8493-6		fulltext		Springer Vienna	monograph	1977	1977	3	1		2507		P	
Landrechte als Verfassung	978-3-211-81403-1	978-3-7091-8465-3							https://link.springer.com/10.1007/978-3-7091-8465-3	Floßmann	10.1007/978-3-7091-8465-3		fulltext		Springer Vienna	monograph	1976	1976	2	1		2507		P	
Rechtsgeschichte und Rechtsdogmatik	978-3-211-81457-4	978-3-7091-8504-9							https://link.springer.com/10.1007/978-3-7091-8504-9		10.1007/978-3-7091-8504-9		fulltext		Springer Vienna	monograph	1977	1977	1	1	Floßmann	2507		P	
Beiträge zum Medienrecht	978-3-211-81471-0	978-3-7091-8512-4							https://link.springer.com/10.1007/978-3-7091-8512-4		10.1007/978-3-7091-8512-4		fulltext		Springer Vienna	monograph	1978	1978	4	1	Popper	2507		P	
Agrarpolitik, Landentwicklung und Umweltschutz	978-3-211-81709-4	978-3-7091-8684-8							https://link.springer.com/10.1007/978-3-7091-8684-8		10.1007/978-3-7091-8684-8		fulltext		Springer Vienna	monograph	1982	1982	2	1	Malinsky	2507		P	
Economic Theory, Political Power and Social Justice	978-3-211-81981-4	978-3-7091-8896-5							https://link.springer.com/10.1007/978-3-7091-8896-5	Fink	10.1007/978-3-7091-8896-5		fulltext		Springer Vienna	monograph	1987	1987	7	1		2507		P	
Philosophie — Wissenschaft — Politik	978-3-211-81849-7	978-3-7091-8787-6							https://link.springer.com/10.1007/978-3-7091-8787-6		10.1007/978-3-7091-8787-6		fulltext		Springer Vienna	monograph	1985	1985	5	1	Born	2507		P	
Personenrecht	978-3-211-81732-2	978-3-7091-8698-5							https://link.springer.com/10.1007/978-3-7091-8698-5	Eichler	10.1007/978-3-7091-8698-5		fulltext		Springer Vienna	monograph	1983	1983	9	1		2507		P	
Die Optimumhypothese	978-3-211-81730-8	978-3-7091-8696-1							https://link.springer.com/10.1007/978-3-7091-8696-1		10.1007/978-3-7091-8696-1		fulltext		Springer Vienna	monograph	1982	1982	3	1	Sageder	2507		P	
Beiträge zum Zivilprozeßrecht IV	978-3-211-82308-8	978-3-7091-9182-8							https://link.springer.com/10.1007/978-3-7091-9182-8		10.1007/978-3-7091-9182-8		fulltext		Springer Vienna	monograph	1991	1991	4	1	Buchegger	2507		P	
Genossenschaftsrevision und Europarecht	978-3-211-82908-0	978-3-7091-9474-4							https://link.springer.com/10.1007/978-3-7091-9474-4	Keinert	10.1007/978-3-7091-9474-4		fulltext		Springer Vienna	monograph	1997	1997	2	1		2507		P	
Blätter für Technikgeschichte	978-3-211-80084-3	978-3-7091-5521-9							https://link.springer.com/10.1007/978-3-7091-5521-9	Schützenhofer	10.1007/978-3-7091-5521-9		fulltext		Springer Vienna	monograph	1949	1949	11	1		66		P	
Blätter für Technikgeschichte	978-3-211-81073-6	978-3-7091-7980-2							https://link.springer.com/10.1007/978-3-7091-7980-2		10.1007/978-3-7091-7980-2		fulltext		Springer Vienna	monograph	1972	1972	32/33	1		66		P	
Blätter für Technikgeschichte	978-3-211-80248-9	978-3-7091-5524-0							https://link.springer.com/10.1007/978-3-7091-5524-0	Nagler	10.1007/978-3-7091-5524-0		fulltext		Springer Vienna	monograph	1952	1952	14	1		66		P	
Blätter für Technikgeschichte	978-3-211-80410-0	978-3-7091-5528-8							https://link.springer.com/10.1007/978-3-7091-5528-8	Nagler	10.1007/978-3-7091-5528-8		fulltext		Springer Vienna	monograph	1956	1956	18	1		66		P	
Blätter für Technikgeschichte	978-3-211-80535-0	978-3-7091-5539-4							https://link.springer.com/10.1007/978-3-7091-5539-4	Nagler	10.1007/978-3-7091-5539-4		fulltext		Springer Vienna	monograph	1960	1960	22	1		66		P	
Blätter für Technikgeschichte	978-3-211-80436-0	978-3-7091-5534-9							https://link.springer.com/10.1007/978-3-7091-5534-9	Nagler	10.1007/978-3-7091-5534-9		fulltext		Springer Vienna	monograph	1957	1957	19	1		66		P	
Zur Problematik der Währungsbeziehungen zwischen Ost und West	978-3-211-81244-0	978-3-7091-8363-2							https://link.springer.com/10.1007/978-3-7091-8363-2	Zwass	10.1007/978-3-7091-8363-2		fulltext		Springer Vienna	monograph	1974	1974	5	1		434		P	
Der technologische Fortschritt in Österreich und in der Tschechoslowakei	978-3-211-81042-2	978-3-7091-3435-1							https://link.springer.com/10.1007/978-3-7091-3435-1	Kosta	10.1007/978-3-7091-3435-1		fulltext		Springer Vienna	monograph	1971	1971	2	1		434		P	
Energie, Umwelt und Zusammenarbeit in Europa	978-3-211-81965-4	978-3-7091-8886-6							https://link.springer.com/10.1007/978-3-7091-8886-6		10.1007/978-3-7091-8886-6		fulltext		Springer Vienna	monograph	1987	1987	14	1	Dietz	434		P	
Organisationsprobleme der Wirtschaftsreformen in der UdSSR und der DDR	978-3-211-81046-0	978-3-7091-4073-4							https://link.springer.com/10.1007/978-3-7091-4073-4	Kade	10.1007/978-3-7091-4073-4		fulltext		Springer Vienna	monograph	1971	1971	3	1		434		P	
Blätter für Technikgeschichte	978-3-211-80851-1	978-3-7091-5580-6							https://link.springer.com/10.1007/978-3-7091-5580-6	Niederhuemer	10.1007/978-3-7091-5580-6		fulltext		Springer Vienna	monograph	1968	1968	30	1		66		P	
Blätter für Technikgeschichte	978-3-211-80801-6	978-3-7091-5575-2							https://link.springer.com/10.1007/978-3-7091-5575-2	Niederhuemer	10.1007/978-3-7091-5575-2		fulltext		Springer Vienna	monograph	1967	1967	29	1		66		P	
Blätter für Technikgeschichte	978-3-211-80672-2	978-3-7091-5555-4							https://link.springer.com/10.1007/978-3-7091-5555-4	Nagler	10.1007/978-3-7091-5555-4		fulltext		Springer Vienna	monograph	1963	1963	25	1		66		P	
Blätter für Technikgeschichte	978-3-211-80710-1	978-3-7091-5744-2							https://link.springer.com/10.1007/978-3-7091-5744-2	Nagler	10.1007/978-3-7091-5744-2		fulltext		Springer Vienna	monograph	1965	1965	27	1		66		P	
Blätter für Technikgeschichte	978-3-211-80469-8	978-3-7091-2315-7							https://link.springer.com/10.1007/978-3-7091-2315-7	Nagler	10.1007/978-3-7091-2315-7		fulltext		Springer Vienna	monograph	1958	1958	20	1		66		P	
Blätter für Technikgeschichte	978-3-211-80195-6	978-3-7091-5746-6							https://link.springer.com/10.1007/978-3-7091-5746-6	Nagler	10.1007/978-3-7091-5746-6		fulltext		Springer Vienna	monograph	1951	1951	13	1		66		P	
Blätter für Technikgeschichte	978-3-211-80298-4	978-3-7091-2291-4							https://link.springer.com/10.1007/978-3-7091-2291-4	Nagler	10.1007/978-3-7091-2291-4		fulltext		Springer Vienna	monograph	1953	1953	15	1		66		P	
Blätter für Technikgeschichte	978-3-211-80673-9	978-3-7091-5752-7							https://link.springer.com/10.1007/978-3-7091-5752-7	Nagler	10.1007/978-3-7091-5752-7		fulltext		Springer Vienna	monograph	1964	1964	26	1		66		P	
Nikola Tesla-Kongreß für Wechsel- und Drehstromtechnik	978-3-211-80297-7	978-3-7091-4461-9							https://link.springer.com/10.1007/978-3-7091-4461-9		10.1007/978-3-7091-4461-9		fulltext		Springer Vienna	monograph	1953	1953	1953	1		66		P	
Blätter für Technikgeschichte	978-3-211-80044-7	978-3-7091-2312-6							https://link.springer.com/10.1007/978-3-7091-2312-6	Schüt?enhofer	10.1007/978-3-7091-2312-6		fulltext		Springer Vienna	monograph	1948	1948	10	1		66		P	
Blätter für Technikgeschichte	978-3-211-81005-7	978-3-7091-2279-2							https://link.springer.com/10.1007/978-3-7091-2279-2	Niederhuemer	10.1007/978-3-7091-2279-2		fulltext		Springer Vienna	monograph	1969	1969	31	1		66		P	
The Ombudsman, Good Governance and the International Human Rights System	978-90-04-13903-9	978-94-017-5932-8							https://link.springer.com/10.1007/978-94-017-5932-8	Reif	10.1007/978-94-017-5932-8		fulltext		Springer Netherlands	monograph	2004	2004		1		1347		P	237959453
Urheberrecht und Urhebervertragsrecht	978-3-211-80494-0	978-3-7091-8050-1							https://link.springer.com/10.1007/978-3-7091-8050-1	Rintelen	10.1007/978-3-7091-8050-1		fulltext		Springer Vienna	monograph	1958	1958	17	1		394		P	
Handbuch des Österreichischen Verfassungsrechts	978-3-211-80921-1	978-3-7091-3411-5							https://link.springer.com/10.1007/978-3-7091-3411-5	Adamovich	10.1007/978-3-7091-3411-5		fulltext		Springer Vienna	monograph	1957	1957	3	5		394		P	
Handbuch des österreichischen Verfassungsrechts	978-3-211-81008-8	978-3-7091-8265-9							https://link.springer.com/10.1007/978-3-7091-8265-9	Adamovich	10.1007/978-3-7091-8265-9		fulltext		Springer Vienna	monograph	1971	1971	3	6		394		P	
Der Rechtsstaat und Sein Heer	978-3-211-80694-4	978-3-7091-8114-0							https://link.springer.com/10.1007/978-3-7091-8114-0	Pernthaler	10.1007/978-3-7091-8114-0		fulltext		Springer Vienna	monograph	1964	1964	19	1		394		P	
Grundriss des Österreichischen Bürgerlichen Rechts	978-3-7091-3611-9	978-3-7091-3610-2							https://link.springer.com/10.1007/978-3-7091-3610-2	Wolff	10.1007/978-3-7091-3610-2		fulltext		Springer Vienna	monograph	1946	1946	2	3		394		P	
Grundriss des österreichischen Verfassungsrechts	978-A-211-00085-	978-3-7091-3504-4							https://link.springer.com/10.1007/978-3-7091-3504-4	Adamovich	10.1007/978-3-7091-3504-4		fulltext		Springer Vienna	monograph	1947	1947	3	4		394		P	
Grundriss des österreichischen bürgerlichen Rechts	978-3-7091-3519-8	978-3-7091-3518-1							https://link.springer.com/10.1007/978-3-7091-3518-1	Wolff	10.1007/978-3-7091-3518-1		fulltext		Springer Vienna	monograph	1946	1946	2	2		394		P	
Grundriss des Österreichischen Bürgerlichen Rechts	978-3-7091-3487-0	978-3-7091-3486-3							https://link.springer.com/10.1007/978-3-7091-3486-3	Wolff	10.1007/978-3-7091-3486-3		fulltext		Springer Vienna	monograph	1948	1948	2	4		394		P	
Deutsches (Österreichisches) Versicherungs-Vertragsrecht	978-3-211-80273-1	978-3-7091-4014-7							https://link.springer.com/10.1007/978-3-7091-4014-7	Ehrenzweig	10.1007/978-3-7091-4014-7		fulltext		Springer Vienna	monograph	1952	1952	11	1		394		P	
Studienreform und die Zukunft der Juristenausbildung	978-3-211-83181-6	978-3-7091-6825-7							https://link.springer.com/10.1007/978-3-7091-6825-7		10.1007/978-3-7091-6825-7		fulltext		Springer Vienna	monograph	1998	1998	1	1	Funk	4018		P	
Agil im Wettbewerb	978-3-540-60644-4	978-3-642-61101-8							https://link.springer.com/10.1007/978-3-642-61101-8	Goldman	10.1007/978-3-642-61101-8		fulltext		Springer Berlin Heidelberg	monograph	1996	1996		1				P	
Vereinheitlichung von Planzeichen für Flächenwidmungspläne	978-3-211-81536-6	978-3-7091-5630-8							https://link.springer.com/10.1007/978-3-7091-5630-8		10.1007/978-3-7091-5630-8		fulltext		Springer Vienna	monograph	1979	1979	24	1		2328		P	
Arbeitsrechtskodifikation und allgemeines Zivilrecht	978-3-211-80901-3	978-3-7091-8215-4							https://link.springer.com/10.1007/978-3-7091-8215-4	Bydlinski	10.1007/978-3-7091-8215-4		fulltext		Springer Vienna	monograph	1969	1969		1		40		P	
Windkraftanlagen	978-3-8348-1460-9	978-3-8348-8193-9							https://link.springer.com/10.1007/978-3-8348-8193-9		10.1007/978-3-8348-8193-9		fulltext		Vieweg+Teubner Verlag	monograph	2011	2011		7	Gasch			P	277362717
Authorware Attain Praxis	978-3-540-62886-6	978-3-642-59579-0							https://link.springer.com/10.1007/978-3-642-59579-0	Schifman	10.1007/978-3-642-59579-0		fulltext		Springer Berlin Heidelberg	monograph	2000	2000		1		3923		P	
Typographie interaktiv!	978-3-540-62879-8	978-3-642-60286-3							https://link.springer.com/10.1007/978-3-642-60286-3	Kiehn	10.1007/978-3-642-60286-3		fulltext		Springer Berlin Heidelberg	monograph	1998	1998		1		2927		P	
Technology of Breadmaking	978-0-7514-0345-9	978-1-4615-2199-0							https://link.springer.com/10.1007/978-1-4615-2199-0	Cauvain	10.1007/978-1-4615-2199-0		fulltext		Springer US	monograph	1998	1998		1				P	237924978
Urteilsbildung bei Laienrichtern	978-3-211-82470-2	978-3-7091-9295-5							https://link.springer.com/10.1007/978-3-7091-9295-5	Kette	10.1007/978-3-7091-9295-5		fulltext		Springer Vienna	monograph	1994	1994		1		1233		P	
The Principles of Clinical Cytogenetics	978-0-89603-553-9	978-1-59259-643-0							https://link.springer.com/10.1007/978-1-59259-643-0		10.1007/978-1-59259-643-0		fulltext		Humana Press	monograph	1999	1999		1	Gersen			P	
Ecoregions	978-0-387-98305-9	978-1-4612-2200-2							https://link.springer.com/10.1007/978-1-4612-2200-2	Bailey	10.1007/978-1-4612-2200-2		fulltext		Springer New York	monograph	1998	1998		1				P	
Sozialpsychologie junger Angestellter	978-3-211-81040-8	978-3-7091-5605-6							https://link.springer.com/10.1007/978-3-7091-5605-6	Neubauer	10.1007/978-3-7091-5605-6		fulltext		Springer Vienna	monograph	1972	1972	4	1		340		P	
Ruhen des Verfahrens und Rechtsschutzbedürfnis	978-3-211-81285-3	978-3-7091-5755-8							https://link.springer.com/10.1007/978-3-7091-5755-8	Dolinar	10.1007/978-3-7091-5755-8		fulltext		Springer Vienna	monograph	1974	1974	7	1		340		P	
