publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
3D Research		2092-6731	2010	1					https://link.springer.com/journal/13319		13319		fulltext			serial								P
4OR: A Quarterly Journal of Operations Research	1619-4500	1614-2411	2003	1					https://link.springer.com/journal/10288		10288		fulltext			serial								P
AAPS Open		2364-9534	2015	1	1				https://link.springer.com/journal/41120		41120		fulltext	New (2015). Open Access.		serial								F
AAPS PharmSciTech		1530-9932	2000	1					https://link.springer.com/journal/12249		12249		fulltext			serial								P
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	2009	1					https://link.springer.com/journal/12402		12402		fulltext			serial								P
AI & Society	0951-5666	1435-5655	1987	1					https://link.springer.com/journal/146		146		fulltext			serial								P
AIDS and Behavior	1090-7165	1573-3254	1997	1					https://link.springer.com/journal/10461		10461		fulltext			serial								P
ALTEX	1868-596X	1868-8551							https://link.springer.com/1868-596X		1868-596X		fulltext	Electronic version of ALTEX freely available on www.altex.ch. Order through Spektrum Akademischer Verlag. Not available in electronic format.		serial								P
AMBIO: A Journal of the Human Environment	0044-7447	1654-7209	2010	39					https://link.springer.com/journal/13280		13280		fulltext			serial								P
AMS Review	1869-814X	1869-8182	2011	1					https://link.springer.com/journal/13162		13162		fulltext			serial								P
ARI - An International Journal for Physical and Engineering Sciences	1434-5641	1434-565X	1997	50		1998	51		https://link.springer.com/journal/777		777		fulltext			serial								P
AStA Wirtschafts- und Sozialstatistisches Archiv	1863-8155	1863-8163	2007	1					https://link.springer.com/journal/11943		11943		fulltext			serial								P
ATZ - Automobiltechnische Zeitschrift	0001-2785	2192-8800	1998	100					https://link.springer.com/journal/35148		35148		fulltext			serial								P
ATZ worldwide		2192-9076	2001	103					https://link.springer.com/journal/38311		38311		fulltext			serial								P
ATZagenda	2194-9174	2194-9182	2012	1		2013	2	1	https://link.springer.com/journal/40357		40357		fulltext	Ceased (2013)		serial								P
ATZautotechnology	1865-6536	2192-886X	2001	1		2012	12	3	https://link.springer.com/journal/35595		35595		fulltext	Ceased (2012)		serial								P
ATZelektronik	1862-1791	2192-8878	2006	1					https://link.springer.com/journal/35658		35658		fulltext			serial								P
ATZelektronik worldwide		2192-9092	2006	1					https://link.springer.com/journal/38314		38314		fulltext			serial								P
ATZextra	2195-1454	2195-1462	2007	12					https://link.springer.com/journal/35778		35778		fulltext	Included in subscription of ATZ - Automobiltechnische Zeitschrift and MTZ Motortechnische Zeitschrift		serial								P
ATZextra worldwide	2195-1470	2195-1489	2007	12					https://link.springer.com/journal/40111		40111		fulltext			serial								P
ATZoffhighway	2191-1843	2192-8819	2008	1					https://link.springer.com/journal/35746		35746		fulltext			serial								P
ATZproduktion	1865-4908	2192-8886	2008	1		2012	5		https://link.springer.com/journal/35726		35726		fulltext	Ceased (2012)		serial								P
ATZproduktion worldwide		2192-9106	2008	1		2012	5		https://link.springer.com/journal/38312		38312		fulltext			serial								P
Abdominal Radiology	2366-004X	2366-0058	2016	41	1				https://link.springer.com/journal/261		261		fulltext	Previously: Abdominal Imaging.		serial								P
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	1922	1					https://link.springer.com/journal/12188		12188		fulltext			serial								P
Academic Psychiatry	1042-9670	1545-7230	1989	13					https://link.springer.com/journal/40596		40596		fulltext	Take-over in 2014. Former publisher: American Psychiatric Publishing		serial								P
Academic Questions	0895-4852	1936-4709	1988	1					https://link.springer.com/journal/12129		12129		fulltext			serial								P
Accreditation and Quality Assurance	0949-1775	1432-0517	1996	1					https://link.springer.com/journal/769		769		fulltext			serial								P
Acoustical Physics	1063-7710	1562-6865	2000	46					https://link.springer.com/journal/11441		11441		fulltext			serial								P
Acoustics Australia	0814-6039		2015	43	1				https://link.springer.com/journal/40857		40857		fulltext	Transfer in (2015): Australian Acoustical Society		serial								P
Acta Analytica	0353-5150	1874-6349	2002	17					https://link.springer.com/journal/12136		12136		fulltext			serial								P
Acta Applicandae Mathematicae: An International Survey Journal on Applying Mathematics and Mathematical Applications	0167-8019	1572-9036	1983	1					https://link.springer.com/journal/10440		10440		fulltext			serial								P
