publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Erkenntnis	0165-0106	1572-8420	1930-12-01	1	1				https://www.springer.com/journal/10670		10670		fulltext		Springer Netherlands	serial								P	111956757
Transportation	0049-4488	1572-9435	1972-05-01	1	1				https://www.springer.com/journal/11116		11116		fulltext		Springer US	serial								P	115381538
Quality & Quantity	0033-5177	1573-7845	1967	1	1				https://www.springer.com/journal/11135		11135		fulltext		Springer Netherlands	serial								P	111375126
Flexible Services and Manufacturing Journal	1936-6582	1936-6590	1988-09-01	1	1				https://www.springer.com/journal/10696		10696		fulltext		Springer US	serial								P	146844874
Solar Physics	0038-0938	1573-093X	1967	1	1				https://www.springer.com/journal/11207		11207		fulltext		Springer Netherlands	serial								P	111374219
Documenta Ophthalmologica	0012-4486	1573-2622	1938	1	1				https://www.springer.com/journal/10633		10633		fulltext		Springer Berlin Heidelberg	serial								P	111216680
Investigational New Drugs	0167-6997	1573-0646	1983-03-01	1	1				https://www.springer.com/journal/10637		10637		fulltext		Springer US	serial								P	106957317
Journal of Neuro-Oncology	0167-594X	1573-7373	1983-03-01	1	1				https://www.springer.com/journal/11060		11060		fulltext		Springer US	serial								P	114165823
The Journal of Real Estate Finance and Economics	0895-5638	1573-045X	1988-03-01	1	1				https://www.springer.com/journal/11146		11146		fulltext		Springer US	serial								P	113292627
Theory and Society	0304-2421	1573-7853	1974-03-01	1	1				https://www.springer.com/journal/11186		11186		fulltext		Springer Netherlands	serial								P	111688574
International Ophthalmology		1573-2630	1978-09-01	1	1				https://www.springer.com/journal/10792		10792		fulltext		Springer Netherlands	serial								P	107982153
Hydrobiologia	0018-8158	1573-5117	1948-03-01	1	1				https://www.springer.com/journal/10750		10750		fulltext		Springer International Publishing	serial								P	112365604
The Journal of Value Inquiry	0022-5363	1573-0492	1967-03-01	1	1				https://www.springer.com/journal/10790		10790		fulltext		Springer Netherlands	serial								P	111373956
Journal of Intelligent Manufacturing	0956-5515	1572-8145	1990-03-01	1	1				https://www.springer.com/journal/10845		10845		fulltext		Springer US	serial								P	111373298
Journal of Global Optimization	0925-5001	1573-2916	1991-03-01	1	1				https://www.springer.com/journal/10898		10898		fulltext		Springer US	serial								P	11137457X
Law and Philosophy	0167-5249	1573-0522	1982-04-01	1	1				https://www.springer.com/journal/10982		10982		fulltext		Springer Netherlands	serial								P	111373980
Journal of Logic, Language and Information	0925-8531	1572-9583	1992-03-01	1	1				https://www.springer.com/journal/10849		10849		fulltext		Springer Netherlands	serial								P	111216524
Public Choice	0048-5829	1573-7101	1966-12-01	1	1				https://www.springer.com/journal/11127		11127		fulltext		Springer US	serial								P	111374863
Biotechnology Letters	0141-5492	1573-6776	1979	1	1				https://www.springer.com/journal/10529		10529		fulltext		Springer Netherlands	serial								P	111216788
Tribology Letters	1023-8883	1573-2711	1995-06-01	1	1				https://www.springer.com/journal/11249		11249		fulltext		Springer US	serial								P	11168854X
Journal of Paleolimnology	0921-2728	1573-0417	1988-07-01	1	1				https://www.springer.com/journal/10933		10933		fulltext		Springer Netherlands	serial								P	111373891
Boundary-Layer Meteorology	0006-8314	1573-1472	1970-03-01	1	1				https://www.springer.com/journal/10546		10546		fulltext		Springer Netherlands	serial								P	11158499X
Journal of Computer-Aided Molecular Design	0920-654X	1573-4951	1987-04-01	1	1				https://www.springer.com/journal/10822		10822		fulltext		Springer International Publishing	serial								P	117264377
Journal of Biomolecular NMR	0925-2738	1573-5001	1991-05-01	1	1				https://www.springer.com/journal/10858		10858		fulltext		Springer Netherlands	serial								P	107985586
GeoJournal		1572-9893	1977	1	1				https://www.springer.com/journal/10708		10708		fulltext		Springer Netherlands	serial								P	111216532
Analog Integrated Circuits and Signal Processing	0925-1030	1573-1979	1991-03-01	1	1				https://www.springer.com/journal/10470		10470		fulltext		Springer US	serial								P	111298792
Statistics and Computing	0960-3174	1573-1375	1991-09-01	1	1				https://www.springer.com/journal/11222		11222		fulltext		Springer US	serial								P	111688485
Aquaculture International	0967-6120	1573-143X	1993-09-01	1	1				https://www.springer.com/journal/10499		10499		fulltext		Springer International Publishing	serial								P	111359619
Policy Sciences	0032-2687	1573-0891	1970-03-01	1	1				https://www.springer.com/journal/11077		11077		fulltext		Springer US	serial								P	111374197
Transition Metal Chemistry	0340-4285	1572-901X	1975-10-01	1	1				https://www.springer.com/journal/11243		11243		fulltext		Springer International Publishing	serial								P	111688302
Review of Industrial Organization	0889-938X	1573-7160	1984-03-01	1	1				https://www.springer.com/journal/11151		11151		fulltext		Springer US	serial								P	111374898
Theory and Decision	0040-5833	1573-7187	1970-10-01	1	1				https://www.springer.com/journal/11238		11238		fulltext		Springer US	serial								P	11137491X
Extremes	1386-1999	1572-915X	1998	1	1				https://www.springer.com/journal/10687		10687		fulltext		Springer US	serial								P	112089321
International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique	0952-8059	1572-8722	1988-02-01	1	1				https://www.springer.com/journal/11196		11196		fulltext		Springer Netherlands	serial								P	11137345X
Foundations of Chemistry	1386-4238	1572-8463	1999-03-01	1	1				https://www.springer.com/journal/10698		10698		fulltext		Springer Netherlands	serial								P	111373379
Glass and Ceramics	0361-7610	1573-8515	1956	13	1				https://www.springer.com/journal/10717		10717		fulltext		Springer US	serial								P	110670019
Environment, Development and Sustainability		1573-2975	1999-03-01	1	1				https://www.springer.com/journal/10668		10668		fulltext		Springer Netherlands	serial								P	111374596
The Journal of Economic Inequality	1569-1721	1573-8701	2003-04-01	1	1				https://www.springer.com/journal/10888		10888		fulltext		Springer US	serial								P	11314797X
Journal of Educational Change	1389-2843	1573-1812	2000	1	1				https://www.springer.com/journal/10833		10833		fulltext		Springer Netherlands	serial								P	099438828
Fuzzy Optimization and Decision Making	1568-4539	1573-2908	2002-02-01	1	1				https://www.springer.com/journal/10700		10700		fulltext		Springer US	serial								P	112130275
Genetic Programming and Evolvable Machines	1389-2576	1573-7632	2000-04-01	1	1				https://www.springer.com/journal/10710		10710		fulltext		Springer US	serial								P	112139868
Optimization and Engineering	1389-4420	1573-2924	2000-06-01	1	1				https://www.springer.com/journal/11081		11081		fulltext		Springer US	serial								P	114388482
Journal of Mining Science	1062-7391	1573-8736	1965	1	1				https://www.springer.com/journal/10913		10913		fulltext		Pleiades Publishing	serial								P	113722575
Chemistry and Technology of Fuels and Oils	0009-3092	1573-8310	1965	1	1				https://www.springer.com/journal/10553		10553		fulltext		Springer US	serial								P	111715067
High Temperature Corrosion of Materials	2731-8397	2731-8400	1969-03-01	1	1				https://www.springer.com/journal/11085		11085		fulltext		Springer US	serial								P	269306579
Quality of Life Research	0962-9343	1573-2649	1992-02-01	1	1				https://www.springer.com/journal/11136		11136		fulltext		Springer International Publishing	serial								P	111374472
