publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AAPS Open		2364-9534	2015	1	1				https://link.springer.com/journal/41120		41120		fulltext	New (2015). Open Access.		serial								F	190735694
AAPS PharmSciTech		1530-9932	2000	1	1				https://link.springer.com/journal/12249		12249		fulltext			serial								P	058401326
Abdominal Radiology	2366-004X	2366-0058	2016	41	1				https://link.springer.com/journal/261		261		fulltext	Previously: Abdominal Imaging.		serial								P	243374593
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	1922	1					https://link.springer.com/journal/12188		12188		fulltext			serial								P	150071906
aBIOTECH	2096-6326	2662-1738	2020	1	1				https://link.springer.com/journal/42994		42994		fulltext			serial								P	25228156X
Academic Psychiatry	1042-9670	1545-7230	1989	13					https://link.springer.com/journal/40596		40596		fulltext	Take-over in 2014. Former publisher: American Psychiatric Publishing		serial								P	076878597
Academic Questions	0895-4852	1936-4709	1988	1					https://link.springer.com/journal/12129		12129		fulltext			serial								P	121372472
Accreditation and Quality Assurance	0949-1775	1432-0517	1996	1					https://link.springer.com/journal/769		769		fulltext			serial								P	083248536
Acoustical Physics	1063-7710	1562-6865	2000	46	3				https://link.springer.com/journal/11441		11441		fulltext			serial								P	048906387
Acoustics Australia	0814-6039		2015	43	1				https://link.springer.com/journal/40857		40857		fulltext	Transfer in (2015): Australian Acoustical Society		serial								P	
Acta Analytica	0353-5150	1874-6349	2002	17	1				https://link.springer.com/journal/12136		12136		fulltext			serial								P	131022202
Acta Applicandae Mathematicae: An International Survey Journal on Applying Mathematics and Mathematical Applications	0167-8019	1572-9036	1983	1					https://link.springer.com/journal/10440		10440		fulltext			serial								P	110936841
Acta Biotheoretica	0001-5342	1572-8358	1935	1					https://link.springer.com/journal/10441		10441		fulltext			serial								P	111078946
Acta Diabetologica Latina	0001-5563	2385-2631	1964	1	1	1991	28	1	https://link.springer.com/journal/592		592		fulltext	Now: Acta Diabetologica		serial								P	182547019
Acta Endoscopica	0240-642X	1958-5454	1971	1		2017	47	5	https://link.springer.com/journal/10190		10190		fulltext	ceased		serial								P	120432145
