publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
3 Biotech		2190-5738	2011	1					https://link.springer.com/journal/13205		13205		fulltext	Open Access		serial								F
3D-Printed Materials and Systems		2363-8389							https://printedmaterialssystems.springeropen.com/		printedmaterialssystems		fulltext	Open Access Content not yet available		serial								F
AIDS Research and Therapy		1742-6405	2004	1	1				https://link.springer.com/journal/12981		12981		fulltext	Open Access		serial								F
AMB Express		2191-0855	2011	1					https://link.springer.com/journal/13568		13568		fulltext	Open Access		serial								F
Acta Geophysica	1895-6572	1895-7455	2006	54		2014	62	6	https://link.springer.com/journal/11600		11600		fulltext	transfer out(2014): Walter de Gruyter		serial								F
Acta Neuropathologica Communications		2051-5960	2013	1	1				https://link.springer.com/journal/40478		40478		fulltext	Open Access		serial								F
Acta Veterinaria Scandinavica	0044-605X	1751-0147	2001	42	1				https://link.springer.com/journal/13028		13028		fulltext	Open Access		serial								F
Addiction Science & Clinical Practice	1940-0632	1940-0640	2012	7	1				https://link.springer.com/journal/13722		13722		fulltext	Open Access		serial								F
Advanced Modeling and Simulation in Engineering Sciences		2213-7467	2014	1	1				https://link.springer.com/journal/40323		40323		fulltext	Open Access		serial								F
Advanced Structural and Chemical Imaging		2198-0926	2015	1					https://link.springer.com/journal/40679		40679		fulltext	Open Access		serial								F
Advances in Difference Equations		1687-1847	2011						https://link.springer.com/journal/13662		13662		fulltext	Open Access		serial								F
Advances in Simulation		2059-0628	2016	1	1				https://link.springer.com/journal/41077		41077		fulltext	Open Access		serial								F
Agricultural and Food Economics		2193-7532	2013	1	1				https://link.springer.com/journal/40100		40100		fulltext	Open Access		serial								F
Agriculture & Food Security		2048-7010	2012	1	1				https://link.springer.com/journal/40066		40066		fulltext	Open Access		serial								F
Algorithms for Molecular Biology		1748-7188	2006	1	1				https://link.springer.com/journal/13015		13015		fulltext	Open Access		serial								F
Allergy, Asthma & Clinical Immunology		1710-1492	2004	1	1				https://link.springer.com/journal/13223		13223		fulltext	Open Access		serial								F
Alzheimer's Research & Therapy		1758-9193	2015	1	1				https://link.springer.com/journal/13195		13195		fulltext	Open Access		serial								F
Animal Biotelemetry		2050-3385	2013	1	1				https://link.springer.com/journal/40317		40317		fulltext	Open Access		serial								F
Annals of Clinical Microbiology and Antimicrobials		1476-0711	2002	1	1				https://link.springer.com/journal/12941		12941		fulltext	Open Access		serial								F
Annals of General Psychiatry		1744-859X	2002	1	1				https://link.springer.com/journal/12991		12991		fulltext	Open Access		serial								F
Annals of Intensive Care		2110-5820	2011	1	1				https://link.springer.com/journal/13613		13613		fulltext	Open Access		serial								F
Annals of Occupational and Environmental Medicine		2052-4374	2013	25	1				https://link.springer.com/journal/40557		40557		fulltext	Open Access		serial								F
Annals of Surgical Innovation and Research		1750-1164	2007	1	1				https://link.springer.com/journal/13022		13022		fulltext	transfer out (2017): (The Editorial team will continue the journal )		serial								F
Antimicrobial Resistance and Infection Control		2047-2994	2012	1	1				https://link.springer.com/journal/13756		13756		fulltext	Open Access		serial								F
Applied Adhesion Science		2196-4351	2013	1	1				https://link.springer.com/journal/40563		40563		fulltext	Open Access		serial								F
Applied Cancer Research	1980-5578		2016	36	3				http://www.springer.com/medicine/oncology/journal/41241		41241		fulltext	Transfer in(2017): Biomed Central		serial								F
Applied Informatics		2196-0089	2014	1	1				https://link.springer.com/journal/40535		40535		fulltext	Chinese Library of Science. Open Access		serial								F
Applied Nanoscience		2190-5517	2011	1					https://link.springer.com/journal/13204		13204		fulltext	Open Access		serial								F
Applied Network Science		2364-8228	2015	1					https://appliednetsci.springeropen.com/		appliednetsci		fulltext	open access		serial								F
