publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Evolutionary Genomics	978-1-4939-9073-3	978-1-4939-9074-0							https://link.springer.com/book/10.1007/978-1-4939-9074-0		10.1007/978-1-4939-9074-0		fulltext	Fully Open Access	Springer New York	monograph	2019	2019	1910	2	Anisimova, Maria			F	238485935
The Gene Ontology Handbook	978-1-4939-3741-7	978-1-4939-3743-1							https://link.springer.com/book/10.1007/978-3-031-46417-1		10.1007/978-1-4939-3743-1		fulltext	Fully Open Access	Springer New York	monograph	2017	2017	1446	1	Dessimoz, Christophe			F	197134343
All-Optical Methods to Study Neuronal Function	978-1-0716-2763-1	978-1-0716-2764-8							https://link.springer.com/book/10.1007/978-1-0716-2764-8		10.1007/978-1-0716-2764-8		fulltext	Fully Open Access	Springer US	monograph	2023	2023	191	1	Papagiakoumou, Eirini			F	268205760
Preclinical MRI of the Kidney	978-1-0716-0977-4	978-1-0716-0978-1							https://link.springer.com/book/10.1007/978-1-0716-0978-1		10.1007/978-1-0716-0978-1		fulltext	Fully Open Access	Springer US	monograph	2021	2021	2216	1	Pohlmann, Andreas			F	253256658
Statistical Population Genomics	978-1-0716-0198-3	978-1-0716-0199-0							https://link.springer.com/book/10.1007/978-1-0716-0199-0		10.1007/978-1-0716-0199-0		fulltext	Fully Open Access	Springer US	monograph	2020	2020	2090	1	Dutheil, Julien Y.			F	242849229
Antisense RNA Design, Delivery, and Analysis	978-1-0716-2009-0	978-1-0716-2010-6							https://link.springer.com/book/10.1007/978-1-0716-2010-6		10.1007/978-1-0716-2010-6		fulltext	Fully Open Access	Springer US	monograph	2022	2022	2434	1	Arechavala-Gomeza, Virginia			F	260826472
Immunogenetics	978-1-0716-2114-1	978-1-0716-2115-8							https://link.springer.com/book/10.1007/978-1-0716-2115-8		10.1007/978-1-0716-2115-8		fulltext	Fully Open Access	Springer US	monograph	2022	2022	2453	1	Langerak, Anton W.			F	277393418
Whole-Body Regeneration	978-1-0716-2171-4	978-1-0716-2172-1							https://link.springer.com/book/10.1007/978-1-0716-2172-1		10.1007/978-1-0716-2172-1		fulltext	Fully Open Access	Springer US	monograph	2022	2022	2450	1	Blanchoud, Simon			F	261519360
Ribosome Biogenesis	978-1-0716-2500-2	978-1-0716-2501-9							https://link.springer.com/book/10.1007/978-1-0716-2501-9		10.1007/978-1-0716-2501-9		fulltext	Fully Open Access	Springer US	monograph	2022	2022	2533	1	Entian, Karl-Dieter			F	263898113
Machine Learning for Brain Disorders	978-1-0716-3194-2	978-1-0716-3195-9							https://link.springer.com/book/10.1007/978-1-0716-3195-9		10.1007/978-1-0716-3195-9		fulltext	Fully Open Access	Springer US	monograph	2023	2023	197	1	Colliot, Olivier			F	272251526
