publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
AGE	0161-9152	1574-4647	1978-01	1	1	2015-12	38	1	http://link.springer.com/journal/11357		11357		fulltext		Springer International Publishing	Serial							
AI & SOCIETY	0951-5666	1435-5655	1987-07	1	1	2015-12	30	4	http://link.springer.com/journal/146		146		fulltext		Springer London	Serial							
ANNALI DELL'UNIVERSITA' DI FERRARA	0430-3202	1827-1510	1950-12	1	1	2015-12	61	2	http://link.springer.com/journal/11565		11565		fulltext		Springer Milan	Serial							
Abdominal Radiology	2366-004X	2366-0058	1976-12	1	1	2015-12	40	8	http://link.springer.com/journal/261		261		fulltext		Springer US	Serial							
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	1922-12	1	1	2015-12	85	2	http://link.springer.com/journal/12188		12188		fulltext		Springer Berlin Heidelberg	Serial							
Academic Psychiatry	1042-9670	1545-7230	1989-03	13	1	2015-12	39	6	http://link.springer.com/journal/40596		40596		fulltext		Springer International Publishing	Serial							
Academic Questions	0895-4852	1936-4709	1988-03	1	1	2015-12	28	4	http://link.springer.com/journal/12129		12129		fulltext		Springer US	Serial							
Accreditation and Quality Assurance	0949-1775	1432-0517	1996-01	1	1	2015-12	20	6	http://link.springer.com/journal/769		769		fulltext		Springer Berlin Heidelberg	Serial							
Acta Applicandae Mathematicae	0167-8019	1572-9036	1983-03	1	1	2015-12	140	1	http://link.springer.com/journal/10440		10440		fulltext		Springer Netherlands	Serial							
Acta Biotheoretica	0001-5342	1572-8358	1935-12	1	1	2015-12	63	4	http://link.springer.com/journal/10441		10441		fulltext		Springer Netherlands	Serial							
Acta Diabetologica	0940-5429	1432-5233	1964-01	1	1	2015-12	52	6	http://link.springer.com/journal/592		592		fulltext		Springer Milan	Serial							
Acta Endoscopica	0240-642X	1958-5454	1971-04	1	1	2015-12	45	6	http://link.springer.com/journal/10190		10190		fulltext		Lavoisier	Serial							
Acta Geochimica	2096-0956	2365-7499	1982-01	1	1	2015-12	34	4	http://link.springer.com/journal/11631		11631		fulltext		Science Press	Serial							
Acta Informatica	0001-5903	1432-0525	1971-03	1	1	2015-12	52	7	http://link.springer.com/journal/236		236		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mathematica	0001-5962	1871-2509	1882-12	1	1	2015-09	215	1	http://link.springer.com/journal/11511		11511		fulltext		Springer Netherlands	Serial							
Acta Mathematica Hungarica	0236-5294	1588-2632	1950-03	1	1	2015-12	147	2	http://link.springer.com/journal/10474		10474		fulltext		Springer Netherlands	Serial							
Acta Mathematica Sinica, English Series	1439-8516	1439-7617	1985-03	1	1	2016-01	32	1	http://link.springer.com/journal/10114		10114		fulltext		Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society	Serial							
Acta Mathematicae Applicatae Sinica, English Series	0168-9673	1618-3932	1984-03	1	1	2015-10	31	4	http://link.springer.com/journal/10255		10255		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mechanica	0001-5970	1619-6937	1965-03	1	1	2015-12	226	12	http://link.springer.com/journal/707		707		fulltext		Springer Vienna	Serial							
Acta Mechanica Sinica	0567-7718	1614-3116	1985-03	1	1	2015-12	31	6	http://link.springer.com/journal/10409		10409		fulltext		The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences	Serial							
Acta Neurochirurgica	0001-6268	0942-0940	1950-02	1	1	2016-01	158	1	http://link.springer.com/journal/701		701		fulltext		Springer Vienna	Serial							
Acta Neuropathologica	0001-6322	1432-0533	1961-01	1	1	2015-12	130	6	http://link.springer.com/journal/401		401		fulltext		Springer Berlin Heidelberg	Serial							
Acta Physica Academiae Scientiarum Hungaricae	0001-6705		1951-06	1	1	1982-10	53	3	http://link.springer.com/journal/12658		12658		fulltext		Springer-Verlag	Serial							
Acta Physica Hungarica	0231-4428		1983-06	54	1	1994-12	75	1	http://link.springer.com/journal/12242		12242		fulltext		Springer-Verlag	Serial							
Acta Physica Hungarica Series A, Heavy Ion Physics	1219-7580	1588-2675	1995-02	1	1	2006-04	27	4	http://link.springer.com/journal/12656		12656		fulltext		Springer-Verlag	Serial							
Administration and Policy in Mental Health and Mental Health Services Research	0894-587X	1573-3289	1973-09	1	1	2015-12	42	6	http://link.springer.com/journal/10488		10488		fulltext		Springer US	Serial							
Adsorption	0929-5607	1572-8757	1995-03	1	1	2015-12	21	8	http://link.springer.com/journal/10450		10450		fulltext		Springer US	Serial							
Advanced Performance Materials	0929-1881	1572-8765	1994-01	1	1	1999-10	6	2	http://link.springer.com/journal/10491		10491		fulltext		Kluwer Academic Publishers	Serial							
Advances in Atmospheric Sciences	0256-1530	1861-9533	1984-05	1	1	2016-02	33	2	http://link.springer.com/journal/376		376		fulltext		Science Press	Serial							
Advances in Computational Mathematics	1019-7168	1572-9044	1993-02	1	1	2015-12	41	6	http://link.springer.com/journal/10444		10444		fulltext		Springer US	Serial							
Advances in Contraception	0267-4874	1573-7195	1985-03	1	1	1999-12	15	4	http://link.springer.com/journal/10451		10451		fulltext		Kluwer Academic Publishers	Serial							
Advances in Health Sciences Education	1382-4996	1573-1677	1996-01	1	1	2015-12	20	5	http://link.springer.com/journal/10459		10459		fulltext		Springer Netherlands	Serial							
Aequationes mathematicae	0001-9054	1420-8903	1968-02	1	1	2015-12	89	6	http://link.springer.com/journal/10		10		fulltext		Springer International Publishing	Serial							
Aerobiologia	0393-5965	1573-3025	1985-12	1	1	2015-12	31	4	http://link.springer.com/journal/10453		10453		fulltext		Springer Netherlands	Serial							
Aesthetic Plastic Surgery	0364-216X	1432-5241	1976-12	1	1	2015-12	39	6	http://link.springer.com/journal/266		266		fulltext		Springer US	Serial							
African Archaeological Review	0263-0338	1572-9842	1983-12	1	1	2015-12	32	4	http://link.springer.com/journal/10437		10437		fulltext		Springer US	Serial							
Ageing International	0163-5158	1936-606X	1974-03	1	1	2015-12	40	4	http://link.springer.com/journal/12126		12126		fulltext		Springer US	Serial							
Aging Clinical and Experimental Research	1720-8319	1720-8319	1989-09	1	1	2015-12	27	6	http://link.springer.com/journal/40520		40520		fulltext		Springer International Publishing	Serial							
Agriculture and Human Values	0889-048X	1572-8366	1984-03	1	1	2015-12	32	4	http://link.springer.com/journal/10460		10460		fulltext		Springer Netherlands	Serial							
Agroforestry Systems	0167-4366	1572-9680	1982-03	1	1	2015-12	89	6	http://link.springer.com/journal/10457		10457		fulltext		Springer Netherlands	Serial							
Algebra and Logic	0002-5232	1573-8302	1968-01	7	1	2015-12	54	5	http://link.springer.com/journal/10469		10469		fulltext		Springer US	Serial							
Algebra universalis	0002-5240	1420-8911	1971-12	1	1	2015-12	74	3	http://link.springer.com/journal/12		12		fulltext		Springer International Publishing	Serial							
Algorithmica	0178-4617	1432-0541	1986-11	1	1	2015-12	73	4	http://link.springer.com/journal/453		453		fulltext		Springer US	Serial							
American Journal of Community Psychology	0091-0562	1573-2770	1973-01	1	1	2015-12	56	3	http://link.springer.com/journal/10464		10464		fulltext		Springer US	Serial							
American Journal of Criminal Justice	1066-2316	1936-1351	1975-06	1	1	2015-12	40	4	http://link.springer.com/journal/12103		12103		fulltext		Springer US	Serial							
American Journal of Dance Therapy	0146-3721	1573-3262	1977-03	1	1	2015-12	37	2	http://link.springer.com/journal/10465		10465		fulltext		Springer US	Serial							
American Journal of Potato Research	1099-209X	1874-9380	1923-11	1	1	2015-12	92	6	http://link.springer.com/journal/12230		12230		fulltext		Springer US	Serial							
Amino Acids	0939-4451	1438-2199	1991-02	1	1	2015-12	47	12	http://link.springer.com/journal/726		726		fulltext		Springer Vienna	Serial							
