publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
3 Biotech	2190-572X	2190-5738	2011-07	1	1	2015-12	6	1	http://link.springer.com/journal/13205		13205		fulltext		Springer Berlin Heidelberg	Serial							
3D Printing in Medicine		2365-6271	2015-11	1	1	2015-11	1	1	http://link.springer.com/journal/41205		41205		fulltext		Springer International Publishing	Serial							
3D Research		2092-6731	2010-03	1	1	2015-12	6	4	http://link.springer.com/journal/13319		13319		fulltext		3D Display Research Center	Serial							
4OR	1619-4500	1614-2411	2003-03	1	1	2015-12	13	4	http://link.springer.com/journal/10288		10288		fulltext		Springer Berlin Heidelberg	Serial							
AAPS Open		2364-9534	2015-11	1	1	2015-11	1	1	http://link.springer.com/journal/41120		41120		fulltext		Springer International Publishing	Serial							
AAPS PharmSciTech		1530-9932	2000-03	1	1	2015-12	16	6	http://link.springer.com/journal/12249		12249		fulltext		Springer US	Serial							
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	2009-05	1	1	2015-12	7	4	http://link.springer.com/journal/12402		12402		fulltext		Springer Vienna	Serial							
ADHESION ADHESIVES&SEALANTS	2192-2624	2195-6545	2009-02	6	1	2015-12	12	4	http://link.springer.com/journal/35784		35784		fulltext		Springer Fachmedien Wiesbaden	Serial							
AIDS Research and Therapy		1742-6405	2004-12	1	1	2015-12	12	1	http://link.springer.com/journal/12981		12981		fulltext		BioMed Central	Serial							
AIDS and Behavior	1090-7165	1573-3254	1997-03	1	1	2015-12	19	12	http://link.springer.com/journal/10461		10461		fulltext		Springer US	Serial							
AMB Express		2191-0855	2011-03	1	1	2015-12	5	1	http://link.springer.com/journal/13568		13568		fulltext		Springer Berlin Heidelberg	Serial							
AMS Review	1869-814X	1869-8182	2011-03	1	1	2015-12	5	3	http://link.springer.com/journal/13162		13162		fulltext		Springer US	Serial							
ARI - An International Journal for Physical and Engineering Sciences	1434-5641	1434-565X	1997-02	50	2	1999-03	51	4	http://link.springer.com/journal/777		777		fulltext		Springer-Verlag	Serial							
AStA Advances in Statistical Analysis	1863-8171	1863-818X	2004-02	88	1	2015-12	99	4	http://link.springer.com/journal/10182		10182		fulltext		Springer Berlin Heidelberg	Serial							
AStA Wirtschafts- und Sozialstatistisches Archiv	1863-8155	1863-8163	2007-06	1	1	2015-12	9	3	http://link.springer.com/journal/11943		11943		fulltext		Springer Berlin Heidelberg	Serial							
ATZ - Automobiltechnische Zeitschrift	0001-2785	2192-8800	1998-01	100	1	2015-12	118	1	http://link.springer.com/journal/35148		35148		fulltext		Springer Fachmedien Wiesbaden	Serial							
ATZ worldwide		2192-9076	2001-01	103	1	2016-01	118	1	http://link.springer.com/journal/38311		38311		fulltext		Springer Fachmedien Wiesbaden	Serial							
ATZagenda	2194-9174	2194-9182	2012-10	1	1	2013-11	2	1	http://link.springer.com/journal/40357		40357		fulltext		Vieweg Verlag	Serial							
ATZautotechnology	1616-8216	2192-886X	2001-01	1	1	2012-06	12	3	http://link.springer.com/journal/35595		35595		fulltext		Springer Automotive Media	Serial							
ATZelektronik	1862-1791	2192-8878	2006-03	1	1	2015-11	10	7	http://link.springer.com/journal/35658		35658		fulltext		Springer Fachmedien Wiesbaden	Serial							
