publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
2-D PAGE Map Analysis	978-1-4939-3254-2	978-1-4939-3255-9							http://link.springer.com/10.1007/978-1-4939-3255-9		10.1007/978-1-4939-3255-9		fulltext		Springer New York	Monograph	2016		1384	1st ed. 2016	Marengo	7651	
2-D Proteome Analysis Protocols	978-0-89603-524-9	978-1-59259-584-6							http://link.springer.com/10.1385/1592595847		10.1385/1592595847		fulltext		Humana Press	Monograph	1999		112		Link	7651	
2D PAGE: Sample Preparation and Fractionation	978-1-58829-722-8	978-1-60327-064-9							http://link.springer.com/10.1007/978-1-60327-064-9		10.1007/978-1-60327-064-9		fulltext		Humana Press	Monograph	2008		424		Posch	7651	
2D PAGE: Sample Preparation and Fractionation	978-1-60327-209-4	978-1-60327-210-0							http://link.springer.com/10.1007/978-1-60327-210-0		10.1007/978-1-60327-210-0		fulltext		Humana Press	Monograph	2008		425		Posch	7651	
3D Cell Culture	978-1-60761-983-3	978-1-60761-984-0							http://link.springer.com/10.1007/978-1-60761-984-0		10.1007/978-1-60761-984-0		fulltext		Humana Press	Monograph	2011		695	1	Haycock	7651	
Adeno-Associated Virus	978-1-61779-369-1	978-1-61779-370-7							http://link.springer.com/10.1007/978-1-61779-370-7		10.1007/978-1-61779-370-7		fulltext		Humana Press	Monograph	2011		807		Snyder	7651	
Adenovirus	978-1-62703-678-8	978-1-62703-679-5							http://link.springer.com/10.1007/978-1-62703-679-5		10.1007/978-1-62703-679-5		fulltext		Humana Press	Monograph	2014		1089	3rd ed. 2014	Chillón	7651	
Adenovirus Methods and Protocols	978-0-89603-551-5	978-1-59259-603-4							http://link.springer.com/10.1385/0896035514		10.1385/0896035514		fulltext		Springer New York	Monograph	1999		21		Wold	7652	
Adenovirus Methods and Protocols	978-1-58829-598-9	978-1-59745-166-6							http://link.springer.com/10.1385/1597451665		10.1385/1597451665		fulltext		Humana Press	Monograph	2007		130	Second Edition	Wold	7652	
Adenovirus Methods and Protocols	978-1-58829-901-7	978-1-59745-277-9							http://link.springer.com/10.1007/978-1-59745-277-9		10.1007/978-1-59745-277-9		fulltext		Humana Press	Monograph	2007		131	Second Edition	Wold	7652	
Adhesion Protein Protocols	978-0-89603-417-4	978-1-59259-258-6							http://link.springer.com/10.1385/1592592589		10.1385/1592592589		fulltext		Humana Press	Monograph	1999		96		Dejana	7651	
Adhesion Protein Protocols	978-1-58829-533-0	978-1-59745-353-0							http://link.springer.com/10.1007/978-1-59745-353-0		10.1007/978-1-59745-353-0		fulltext		Humana Press	Monograph	2007		370	Second Edition	Coutts	7651	
Adhesion Protein Protocols	978-1-62703-537-8	978-1-62703-538-5							http://link.springer.com/10.1007/978-1-62703-538-5		10.1007/978-1-62703-538-5		fulltext		Humana Press	Monograph	2013		1046	3rd ed. 2013	Coutts	7651	
Adipose Tissue Protocols	978-0-89603-747-2	978-1-59259-231-9							http://link.springer.com/10.1385/1592592317		10.1385/1592592317		fulltext		Springer New York	Monograph	2001		155		Ailhaud	7651	
Adipose Tissue Protocols	978-1-58829-916-1	978-1-59745-245-8							http://link.springer.com/10.1007/978-1-59745-245-8		10.1007/978-1-59745-245-8		fulltext		Humana Press	Monograph	2008		456		Yang	7651	
Adipose-Derived Stem Cells	978-1-61737-959-8	978-1-61737-960-4							http://link.springer.com/10.1007/978-1-61737-960-4		10.1007/978-1-61737-960-4		fulltext		Humana Press	Monograph	2011		702		Gimble	7651	
Adoptive Immunotherapy: Methods and Protocols	978-1-58829-406-7	978-1-59259-862-5							http://link.springer.com/10.1385/1592598625		10.1385/1592598625		fulltext		Humana Press	Monograph	2005		109		Ludewig	7652	
Adrenergic Receptor Protocols	978-0-89603-602-4	978-1-59259-684-3							http://link.springer.com/10.1385/1592596843		10.1385/1592596843		fulltext		Humana Press	Monograph	2000		126		Machida	7651	
Advanced Fluorescence Microscopy	978-1-4939-2079-2	978-1-4939-2080-8							http://link.springer.com/10.1007/978-1-4939-2080-8		10.1007/978-1-4939-2080-8		fulltext		Springer New York	Monograph	2015		1251	2015	Verveer	7651	
Advanced Patch-Clamp Analysis for Neuroscientists	978-1-4939-3409-6	978-1-4939-3411-9							http://link.springer.com/10.1007/978-1-4939-3411-9		10.1007/978-1-4939-3411-9		fulltext		Springer New York	Monograph	2016		113	1st ed. 2016	Korngreen	7657	
Advanced Protocols for Animal Transgenesis	978-3-642-20791-4	978-3-642-20792-1							http://link.springer.com/10.1007/978-3-642-20792-1		10.1007/978-3-642-20792-1		fulltext		Springer Berlin Heidelberg	Monograph	2011				Pease	8623	
