publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Abdominal Imaging	978-3-642-13326-8	978-3-642-13327-5							http://link.springer.com/10.1007/978-3-642-13327-5		10.1007/978-3-642-13327-5		fulltext		Springer Berlin Heidelberg	Monograph	2013				Hamm		
Applied Geology	978-0-442-22537-7	978-0-387-30842-5							http://link.springer.com/10.1007/0-387-30842-3		10.1007/0-387-30842-3		fulltext		Springer US	Monograph	1984		3		Finkl	5898	
Atlas of Epilepsies	978-1-84882-127-9	978-1-84882-128-6							http://link.springer.com/10.1007/978-1-84882-128-6		10.1007/978-1-84882-128-6		fulltext		Springer London	Monograph	2010				Panayiotopoulos		
Atlas of Forensic Pathology	978-1-61779-057-7	978-1-61779-058-4							http://link.springer.com/10.1007/978-1-61779-058-4		10.1007/978-1-61779-058-4		fulltext		Humana Press	Monograph	2012				Prahlow		
Atlas of Genetic Diagnosis and Counseling		978-1-4614-6430-3							http://link.springer.com/10.1007/978-1-4614-6430-3	Chen	10.1007/978-1-4614-6430-3		fulltext		Springer New York	Monograph	2016						
Atlas of Genetic Diagnosis and Counseling	978-1-4614-1036-2	978-1-4614-1037-9							http://link.springer.com/10.1007/978-1-4614-1037-9		10.1007/978-1-4614-1037-9		fulltext		Springer US	Monograph	2012			2	Chen		
Beaches and Coastal Geology	978-0-87933-213-6	978-0-387-30843-2							http://link.springer.com/10.1007/0-387-30843-1		10.1007/0-387-30843-1		fulltext		Springer US	Monograph	1982					5898	
Biographical Encyclopedia of Astronomers	978-1-4419-9916-0	978-1-4419-9917-7							http://link.springer.com/10.1007/978-1-4419-9917-7		10.1007/978-1-4419-9917-7		fulltext		Springer New York	Monograph	2014				Hockey		
Biological Toxins and Bioterrorism		978-94-007-6645-7							http://link.springer.com/10.1007/978-94-007-6645-7		10.1007/978-94-007-6645-7		fulltext		Springer Netherlands	Monograph	2014				Gopalakrishnakone		
Biological Toxins and Bioterrorism	978-94-007-5868-1	978-94-007-5869-8							http://link.springer.com/10.1007/978-94-007-5869-8		10.1007/978-94-007-5869-8		fulltext		Springer Netherlands	Monograph	2015		1	2015	Gopalakrishnakone	13330	
Biomarkers in Cancer		978-94-007-7744-6							http://link.springer.com/10.1007/978-94-007-7744-6		10.1007/978-94-007-7744-6		fulltext		Springer Netherlands	Monograph	2014				Preedy		
Biomarkers in Cancer	978-94-007-7680-7	978-94-007-7681-4							http://link.springer.com/10.1007/978-94-007-7681-4		10.1007/978-94-007-7681-4		fulltext		Springer Netherlands	Monograph	2015			2015	Preedy	13842	
Biomarkers in Cardiovascular Disease		978-94-007-7741-5							http://link.springer.com/10.1007/978-94-007-7741-5		10.1007/978-94-007-7741-5		fulltext		Springer Netherlands	Monograph	2015				Patel		
Biomarkers in Kidney Disease		978-94-007-7743-9							http://link.springer.com/10.1007/978-94-007-7743-9		10.1007/978-94-007-7743-9		fulltext		Springer Netherlands	Monograph	2015				Patel		
Blaustein’s Pathology of the Female Genital Tract	978-1-4419-0488-1	978-1-4419-0489-8							http://link.springer.com/10.1007/978-1-4419-0489-8		10.1007/978-1-4419-0489-8		fulltext		Springer US	Monograph	2011			6	Kurman		
CIRP Encyclopedia of Production Engineering		978-3-642-35950-7							http://link.springer.com/10.1007/978-3-642-35950-7		10.1007/978-3-642-35950-7		fulltext		Springer Berlin Heidelberg	Monograph	2016				The International Academy for Produ		
CIRP Encyclopedia of Production Engineering	978-3-642-20616-0	978-3-642-20617-7							http://link.springer.com/10.1007/978-3-642-20617-7		10.1007/978-3-642-20617-7		fulltext		Springer Berlin Heidelberg	Monograph	2014				Laperrière		
