publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
41es Journées nationales de la Société Française de Médecine Périnatale (Grenoble 12–14 octobre 2011)	978-2-8178-0256-5	978-2-8178-0257-2							http://link.springer.com/10.1007/978-2-8178-0257-2		10.1007/978-2-8178-0257-2		fulltext		Springer Paris	Monograph	2011						
42es Journées nationales de la Société Française de Médecine Périnatale (Montpellier 17–19 octobre 2012)	978-2-8178-0384-5	978-2-8178-0385-2							http://link.springer.com/10.1007/978-2-8178-0385-2		10.1007/978-2-8178-0385-2		fulltext		Springer Paris	Monograph	2013						
A History of the Philosophy of Law from the Ancient Greeks to the Scholastics	978-1-4020-4950-7	978-1-4020-4951-4							http://link.springer.com/10.1007/978-1-4020-4951-4		10.1007/978-1-4020-4951-4		fulltext		Springer Netherlands	Monograph	2007			1	Miller		
Abord Clinique De L’Hypertension Artérielle	978-2-287-22085-2	978-2-287-31015-7							http://link.springer.com/10.1007/978-2-287-31015-7	Lemaire	10.1007/978-2-287-31015-7		fulltext		Springer Paris	Monograph	2009					5190	
Abord Clinique Du Patient Coronarien	978-2-8178-0401-9	978-2-8178-0402-6							http://link.springer.com/10.1007/978-2-8178-0402-6	Perlot	10.1007/978-2-8178-0402-6		fulltext		Springer Paris	Monograph	2013					5190	
Abord Clinique Du Patient Obèse	978-2-287-79956-3	978-2-287-79958-7							http://link.springer.com/10.1007/978-2-287-79958-7	Ritz	10.1007/978-2-287-79958-7		fulltext		Springer Paris	Monograph	2009					5190	
Abord Clinique D’une Mission Humanitaire	978-2-287-99175-2	978-2-287-99176-9							http://link.springer.com/10.1007/978-2-287-99176-9	Hébert	10.1007/978-2-287-99176-9		fulltext		Springer Paris	Monograph	2010					5190	
Abord Clinique EN Urologie	978-2-287-25253-2	978-2-287-48614-2							http://link.springer.com/10.1007/978-2-287-48614-2	Cortesse	10.1007/978-2-287-48614-2		fulltext		Springer Paris	Monograph	2006					5190	
Abord Clinique des Malades de L’alcool	978-2-287-59769-5	978-2-287-28577-6							http://link.springer.com/10.1007/2-287-28577-6	Huas	10.1007/2-287-28577-6		fulltext		Springer Paris	Monograph	2005					5190	
Abord Clinique des Troubles du Sommeil	978-2-8178-0278-7	978-2-8178-0279-4							http://link.springer.com/10.1007/978-2-8178-0279-4	Senninger	10.1007/978-2-8178-0279-4		fulltext		Springer Paris	Monograph	2012					5190	
Abord Clinique des Urgences Traumatiques AU Cabinet du Généraliste	978-2-287-25170-2	978-2-287-28164-8							http://link.springer.com/10.1007/2-287-28164-9	Pire	10.1007/2-287-28164-9		fulltext		Springer Paris	Monograph	2005					5190	
Abord Clinique des Urgences au Domicile du Patient	978-2-287-72097-0	978-2-287-72098-7							http://link.springer.com/10.1007/978-2-287-72098-7	Bouet	10.1007/978-2-287-72098-7		fulltext		Springer Paris	Monograph	2008					5190	
Abord Clinique du Malade Âgé	978-2-287-22084-5	978-2-287-31016-4							http://link.springer.com/10.1007/978-2-287-31016-4		10.1007/978-2-287-31016-4		fulltext		Springer Paris	Monograph	2007				Moulias	5190	
Abord Clinique en Neurologie	978-2-8178-0040-0	978-2-8178-0041-7							http://link.springer.com/10.1007/978-2-8178-0041-7	Turpin	10.1007/978-2-8178-0041-7		fulltext		Springer Paris	Monograph	2010					5190	
Abord Clinique en Obstétrique	978-2-287-75725-9	978-2-287-75726-6							http://link.springer.com/10.1007/978-2-287-75726-6	Bretelle	10.1007/978-2-287-75726-6		fulltext		Springer Paris	Monograph	2008					5190	
Abord Clinique en Ophtalmologie	978-2-8178-0090-5	978-2-8178-0091-2							http://link.springer.com/10.1007/978-2-8178-0091-2	Bot-Escluse	10.1007/978-2-8178-0091-2		fulltext		Springer Paris	Monograph	2013					5190	
Abord clinique des affections du rachis	978-2-287-72101-4	978-2-287-72102-1							http://link.springer.com/10.1007/978-2-287-72102-1		10.1007/978-2-287-72102-1		fulltext		Springer Paris	Monograph	2009					5190	
Abrégé de physiologie à l’usage des acupuncteurs et des réflexothérapeutes	978-2-8178-0360-9	978-2-8178-0361-6							http://link.springer.com/10.1007/978-2-8178-0361-6	Rouxeville	10.1007/978-2-8178-0361-6		fulltext		Springer Paris	Monograph	2013		2			7426	
Abschlußprüfung für Rechtsanwalts- und Notarfachangestellte	978-3-409-19788-5	978-3-322-87133-6							http://link.springer.com/10.1007/978-3-322-87133-6	Dannenberg-Mletzko	10.1007/978-3-322-87133-6		fulltext		Gabler Verlag	Monograph	1995						
Accident vasculaire cérébral et médecine physique et de réadaptation: Actualités en 2010	978-2-8178-0108-7	978-2-8178-0109-4							http://link.springer.com/10.1007/978-2-8178-0109-4	Davenne	10.1007/978-2-8178-0109-4		fulltext		Springer Paris	Monograph	2010						
Accident vasculaire cérébral et réanimation	978-2-287-99030-4	978-2-287-99031-1							http://link.springer.com/10.1007/978-2-287-99031-1	Albanèse	10.1007/978-2-287-99031-1		fulltext		Springer Paris	Monograph	2013					4668	
Acquis et limites en sénologie / Assets and limits in breast diseases	978-2-8178-0395-1	978-2-8178-0396-8							http://link.springer.com/10.1007/978-2-8178-0396-8	Fourquet	10.1007/978-2-8178-0396-8		fulltext		Springer Paris	Monograph	2013						
Actualités en rééducation des maladies neuro-musculaires de l’adulte	978-2-287-79012-6	978-2-287-79013-3							http://link.springer.com/10.1007/978-2-287-79013-3	Thoumie	10.1007/978-2-287-79013-3		fulltext		Springer Paris	Monograph	2008						
Actualités thérapeutiques dans les lymphomes	978-2-8178-0370-8	978-2-8178-0371-5							http://link.springer.com/10.1007/978-2-8178-0371-5	Brice	10.1007/978-2-8178-0371-5		fulltext		Springer Paris	Monograph	2013						
Adreßbuch Erziehungswissenschaft 1998	978-3-322-92274-8	978-3-322-92273-1							http://link.springer.com/10.1007/978-3-322-92273-1		10.1007/978-3-322-92273-1		fulltext		VS Verlag für Sozialwissenschaften	Monograph	1998						
Aider á vivre aprés un cancer	978-2-287-79500-8	978-2-287-79501-5							http://link.springer.com/10.1007/978-2-287-79501-5	Zelek	10.1007/978-2-287-79501-5		fulltext		Springer Paris	Monograph	2010					5181	
Algebra · Invariantentheorie Geometrie	978-3-662-24586-6	978-3-662-26737-0							http://link.springer.com/10.1007/978-3-662-26737-0	Hilbert	10.1007/978-3-662-26737-0		fulltext		Springer Berlin Heidelberg	Monograph	1970			Zweite Auflage			
Algebraic Numbers and Algebraic Functions	978-0-412-36190-6	978-1-4899-3444-4							http://link.springer.com/10.1007/978-1-4899-3444-4	Cohn	10.1007/978-1-4899-3444-4		fulltext		Springer US	Monograph	1991						
Algorithmes d’approximation	978-2-287-00677-7	978-2-287-31020-1							http://link.springer.com/10.1007/2-287-31020-7	Vazirani	10.1007/2-287-31020-7		fulltext		Springer Paris	Monograph	2006					4667	
Algorithms for Approximation II	978-0-412-34580-7	978-1-4899-3442-0							http://link.springer.com/10.1007/978-1-4899-3442-0		10.1007/978-1-4899-3442-0		fulltext		Springer US	Monograph	1990				Mason		
Alter, ist das herrlich!	978-3-8349-0528-4	978-3-8349-9204-8							http://link.springer.com/10.1007/978-3-8349-9204-8	Hauser	10.1007/978-3-8349-9204-8		fulltext		Gabler	Monograph	2007						
An Ecosystem Approach to Aquatic Ecology	978-1-4613-8559-2	978-1-4613-8557-8							http://link.springer.com/10.1007/978-1-4613-8557-8		10.1007/978-1-4613-8557-8		fulltext		Springer New York	Monograph	1985				Likens		
An Introduction to Abstract Analysis	978-0-412-31090-4	978-1-4899-7254-5							http://link.springer.com/10.1007/978-1-4899-7254-5	Light	10.1007/978-1-4899-7254-5		fulltext		Springer US	Monograph	1990						
An Introduction to Generalized Linear Models	978-0-412-31100-0	978-1-4899-7252-1							http://link.springer.com/10.1007/978-1-4899-7252-1	Dobson	10.1007/978-1-4899-7252-1		fulltext		Springer US	Monograph	1990						
An Introduction to Linear Algebra	978-0-216-93159-6	978-1-4615-3670-3							http://link.springer.com/10.1007/978-1-4615-3670-3	Whitelaw	10.1007/978-1-4615-3670-3		fulltext		Springer US	Monograph	1991			Second Edition			
Analgésie et sédation en réanimation	978-2-287-99028-1	978-2-287-99029-8							http://link.springer.com/10.1007/978-2-287-99029-8	Bonnet	10.1007/978-2-287-99029-8		fulltext		Springer Paris	Monograph	2010					4668	
Analyse céphalométrique fonctionnelle et esthétique de profil	978-2-287-33476-4	978-2-287-33478-8							http://link.springer.com/10.1007/978-2-287-33478-8	Gola	10.1007/978-2-287-33478-8		fulltext		Springer Paris	Monograph	2006						
