publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
'Altern ja – aber gesundes Altern'	978-3-658-04335-3	978-3-658-04336-0							http://link.springer.com/10.1007/978-3-658-04336-0	Spindler	10.1007/978-3-658-04336-0		fulltext		Springer Fachmedien Wiesbaden	Monograph	2014			2014			
'Auf Stalin, Sieg und Vaterland!'	978-3-658-00821-5	978-3-658-00822-2							http://link.springer.com/10.1007/978-3-658-00822-2	Lutz-Auras	10.1007/978-3-658-00822-2		fulltext		Springer Fachmedien Wiesbaden	Monograph	2013			2013			
'Die kann ich nicht ab!' - Ablehnung, Diskriminierung und Gewalt bei Jugendlichen in der (Post-) Migrationsgesellschaft	978-3-658-02301-0	978-3-658-02302-7							http://link.springer.com/10.1007/978-3-658-02302-7	Möller	10.1007/978-3-658-02302-7		fulltext		Springer Fachmedien Wiesbaden	Monograph	2016					12569	
'Ein Anzug aus Strom'	978-3-658-09574-1	978-3-658-09575-8							http://link.springer.com/10.1007/978-3-658-09575-8	Feustel	10.1007/978-3-658-09575-8		fulltext		Springer Fachmedien Wiesbaden	Monograph	2015			2015			
'GreenTool' als Grundlage für das CO2-Management	978-3-662-45520-3	978-3-662-45521-0							http://link.springer.com/10.1007/978-3-662-45521-0	Gogolin	10.1007/978-3-662-45521-0		fulltext		Springer Berlin Heidelberg	Monograph	2015		5	2015		8869	
'Ihre Werte, bitte!'	978-3-8349-3008-8	978-3-8349-6842-5							http://link.springer.com/10.1007/978-3-8349-6842-5		10.1007/978-3-8349-6842-5		fulltext		Gabler Verlag	Monograph	2012			2., akt. Aufl. 2012	Korndörffer		
$\mathcal{H}_\infty$ Control for Nonlinear Descriptor Systems	978-1-84628-289-8	978-1-84628-348-2							http://link.springer.com/10.1007/11576228	Wang	10.1007/11576228		fulltext		Springer London	Monograph	2006		326			642	
'Archaeologizing' Heritage?	978-3-642-35869-2	978-3-642-35870-8							http://link.springer.com/10.1007/978-3-642-35870-8		10.1007/978-3-642-35870-8		fulltext		Springer Berlin Heidelberg	Monograph	2013			2013	Falser	8753	
'Deficient in Commercial Morality'?	978-1-137-58681-0	978-1-137-58682-7							http://link.springer.com/10.1057/978-1-137-58682-7	Hunter	10.1057/978-1-137-58682-7		fulltext		Palgrave Macmillan UK	Monograph	2016					14632	
'Ndrangheta	978-3-319-32584-2	978-3-319-32585-9							http://link.springer.com/10.1007/978-3-319-32585-9	Sergi	10.1007/978-3-319-32585-9		fulltext		Springer International Publishing	Monograph	2016						
(De)Standardisierung von Bildungsverläufen und -strukturen	978-3-658-07765-5	978-3-658-07766-2							http://link.springer.com/10.1007/978-3-658-07766-2		10.1007/978-3-658-07766-2		fulltext		Springer Fachmedien Wiesbaden	Monograph	2016			1. Aufl. 2016	Makrinus		
(Dia)Logbuch Sachsen	978-3-658-01149-9	978-3-658-01150-5							http://link.springer.com/10.1007/978-3-658-01150-5		10.1007/978-3-658-01150-5		fulltext		Springer Fachmedien Wiesbaden	Monograph	2013			2013			
(Dys-)Functionalities of Corruption	978-3-658-04632-3	978-3-658-04633-0							http://link.springer.com/10.1007/978-3-658-04633-0		10.1007/978-3-658-04633-0		fulltext		Springer Fachmedien Wiesbaden	Monograph	2014				Debiel		
(En)Countering Native-speakerism	978-1-349-55208-5	978-1-137-46350-0							http://link.springer.com/10.1057/9781137463500		10.1057/9781137463500		fulltext		Palgrave Macmillan UK	Monograph	2015				Swan	14718	
