publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	onlineidentifier
Aequationes mathematicae	0001-9054								http://link.springer.com/journal/10		10														1420-8903
Oral and Maxillofacial Surgery	1865-1550								http://link.springer.com/journal/10006		10006														1865-1569
International Journal on Software Tools for Technology Transfer	1433-2779								http://link.springer.com/journal/10009		10009														1433-2787
Forschung im Ingenieurwesen	0015-7899								http://link.springer.com/journal/10010		10010														1434-0860
Algebra Colloquium	1005-3867								http://link.springer.com/journal/10011		10011														0219-1733
Southeast Asian Bulletin of Mathematics	0129-2021								http://link.springer.com/journal/10012		10012														0219-175X
Brain Tumor Pathology	1433-7398								http://link.springer.com/journal/10014		10014														1861-387X
Artificial Life and Robotics	1433-5298								http://link.springer.com/journal/10015		10015														1614-7456
Annals of Vascular Surgery	0890-5096								http://link.springer.com/journal/10016		10016														1615-5947
Environmental Economics and Policy Studies	1432-847X								http://link.springer.com/journal/10018		10018														1867-383X
Materials Research Innovations	1432-8917								http://link.springer.com/journal/10019		10019														1433-075X
Ecosystems	1432-9840								http://link.springer.com/journal/10021		10021														1435-0629
Environmental Engineering and Policy	1433-6618								http://link.springer.com/journal/10022		10022														1434-0852
Pediatric and Developmental Pathology	1093-5266								http://link.springer.com/journal/10024		10024														1615-5742
Hernia	1265-4906								http://link.springer.com/journal/10029		10029														1248-9204
International Journal on Document Analysis and Recognition (IJDAR)	1433-2833								http://link.springer.com/journal/10032		10032														1433-2825
Chinese Journal of Mechanical Engineering	1000-9345								http://link.springer.com/journal/10033		10033														2192-8258
Granular Matter	1434-5021								http://link.springer.com/journal/10035		10035														1434-7636
Review of Regional Research	0173-7600								http://link.springer.com/journal/10037		10037														1613-9836
Journal of Human Genetics	1434-5161								http://link.springer.com/journal/10038		10038														1435-232X
Trauma und Berufskrankheit	1436-6274								http://link.springer.com/journal/10039		10039														1436-6282
Hydrogeology Journal	1431-2174								http://link.springer.com/journal/10040		10040														1435-0157
Deutsches und Europäisches Familienrecht	1435-9499								http://link.springer.com/journal/10041		10041														1435-9502
Optical Review	1340-6000								http://link.springer.com/journal/10043		10043														1349-9432
Pattern Analysis and Applications	1433-7541								http://link.springer.com/journal/10044		10044														1433-755X
Journal of Artificial Organs	1434-7229								http://link.springer.com/journal/10047		10047														1619-0904
neurogenetics	1364-6745								http://link.springer.com/journal/10048		10048														1364-6753
Notfall +  Rettungsmedizin	1434-6222								http://link.springer.com/journal/10049		10049														1436-0578
The European Physical Journal A	1434-6001								http://link.springer.com/journal/10050		10050														1434-601X
The European Physical Journal B	1434-6028								http://link.springer.com/journal/10051		10051														1434-6036
The European Physical Journal C	1434-6044								http://link.springer.com/journal/10052		10052														1434-6052
The European Physical Journal D	1434-6060								http://link.springer.com/journal/10053		10053														1434-6079
Virtual Reality	1359-4338								http://link.springer.com/journal/10055		10055														1434-9957
Annals of Diagnostic Paediatric Pathology	1427-4426								http://link.springer.com/journal/10057		10057														1509-5762
Review of Economic Design	1434-4742								http://link.springer.com/journal/10058		10058														1434-4750
