publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
C R C Critical Reviews in Analytical Chemistry	0007-8980		1970-01-01	1	1	1989-12-31	20	6	http://www.tandfonline.com/openurl?genre=journal&stitle=batc19		openurl?genre=journal&stitle=batc19		fulltext			serial										0007-8980		
C R C Critical Reviews in Environmental Control	0007-8999		1970-01-01	1	01-Apr	1984-12-31	13	4	http://www.tandfonline.com/openurl?genre=journal&stitle=best18		openurl?genre=journal&stitle=best18		fulltext			serial										0007-8999		
Critical Reviews in Environmental Control	1040-838X		1984-01-01	14	1	1984-12-31	14	4	http://www.tandfonline.com/openurl?genre=journal&stitle=best19		openurl?genre=journal&stitle=best19		fulltext			serial										1040-838X		
C R C Critical Reviews in Food Technology	0007-9006		1970-01-01	1	1	1975-12-31	5	4	http://www.tandfonline.com/openurl?genre=journal&stitle=bfsn18		openurl?genre=journal&stitle=bfsn18		fulltext			serial										0007-9006		
C R C Critical Reviews in Food Science and Nutrition	0099-0248		1975-01-01	6	1	1988-12-31	26	4	http://www.tandfonline.com/openurl?genre=journal&stitle=bfsn19		openurl?genre=journal&stitle=bfsn19		fulltext			serial										0099-0248		
Risk, Decision and Policy	1357-5309		2003-01-01	8	1	2004-12-31	9	4	http://www.tandfonline.com/openurl?genre=journal&stitle=brdp20		openurl?genre=journal&stitle=brdp20		fulltext	Ceased: 2005		serial										1357-5309		
C R C Critical Reviews in Solid State Sciences	0011-085X		1970-01-01	1	1	1976-12-31	6	4	http://www.tandfonline.com/openurl?genre=journal&stitle=bsms19		openurl?genre=journal&stitle=bsms19		fulltext			serial										0011-085X		
AIDS Care	0954-0121	1360-0451	1997-01-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caic20		openurl?genre=journal&stitle=caic20		fulltext			serial										0954-0121	1360-0451	
Politics	0032-3268		1966-01-01	1	1	1989-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cajp19		openurl?genre=journal&stitle=cajp19		fulltext			serial										0032-3268		
Singapore Journal of Education	0129-4776		1978-01-01	1	1	1995-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cape19		openurl?genre=journal&stitle=cape19		fulltext			serial										0129-4776		
South Pacific Journal of Teacher Education	0311-2136		1973-01-01	1	1	1995-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=capj19		openurl?genre=journal&stitle=capj19		fulltext			serial										0311-2136		
Bantu Studies	0256-1751		1921-01-01	1	1	1941-12-31	15	1	http://www.tandfonline.com/openurl?genre=journal&stitle=cast19		openurl?genre=journal&stitle=cast19		fulltext			serial										0256-1751		
British Educational Research Journal	0141-1926	1469-3518	1978-01-01	4	1	2012-12-31	38	6	http://www.tandfonline.com/openurl?genre=journal&stitle=cber20		openurl?genre=journal&stitle=cber20		fulltext	transfer out (2013): Wiley. Previously: Research Intelligence (1975-1977)		serial									10.1002/(ISSN)1469-3518	0141-1926	1469-3518	
Bulletin (British Society for Middle Eastern Studies)	0305-6139		1974-01-01	1	1	1991-12-31	18	2	http://www.tandfonline.com/openurl?genre=journal&stitle=cbjm19		openurl?genre=journal&stitle=cbjm19		fulltext			serial										0305-6139		
British Poultry Abstracts	1746-6202	1746-6210	2005-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbpa20		openurl?genre=journal&stitle=cbpa20		fulltext			serial										1746-6202	1746-6210	
Religion in Education		1941-7268	1934-01-01	1	1	1961-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cbre18		openurl?genre=journal&stitle=cbre18		fulltext														1941-7268	
