publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
American Industrial Hygiene Association Journal	0002-8894		1997-01-01	58	1	1999-01-01	60	6	http://www.tandfonline.com/openurl?genre=journal&stitle=aiha20		aiha20		fulltext	Became AIHAJ then AIHA Journal. Currently Journal of Occupational and Environmental Hygiene		serial										0002-8894					
C R C Critical Reviews in Analytical Chemistry	0007-8980		1970-01-01	1	1	1989-12-31	20	6	http://www.tandfonline.com/openurl?genre=journal&stitle=batc19		batc19		fulltext			serial										0007-8980					
Critical Reviews in Analytical Chemistry	1040-8347	1547-6510	1989-01-01	21	1				http://www.tandfonline.com/openurl?genre=journal&stitle=batc20		batc20		fulltext			serial										1040-8347	1547-6510				
Bioremediation Journal	1088-9868	1547-6529	1997-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bbrm20		bbrm20		fulltext			serial										1088-9868	1547-6529				
Environmental Claims Journal	1040-6026	1547-657X	1988-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=becj20		becj20		fulltext			serial										1040-6026	1547-657X				
C R C Critical Reviews in Environmental Control	0007-8999		1970-01-01	1	01-Apr	1984-12-31	13	4	http://www.tandfonline.com/openurl?genre=journal&stitle=best18		best18		fulltext	Now: Critical Reviews in Environmental Science and Technology. Continues: Critical Reviews in Environmental Control (1984-1992)		serial										0007-8999					
Critical Reviews in Environmental Control	1040-838X		1984-01-01	14	1	1984-12-31	14	4	http://www.tandfonline.com/openurl?genre=journal&stitle=best19		best19		fulltext	Now: Critical Reviews in Environmental Science and Technology. Previously: C R C Critical Reviews in Environmental Control (1970-1984)		serial										1040-838X					
Critical Reviews in Environmental Science and Technology	1064-3389	1547-6537	1993-01-01	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=best20		best20		fulltext	Previously: Critical Reviews in Environmental Control (1984-1992), C R C Critical Reviews in Environmental Control (1970-1984)		serial										1064-3389	1547-6537				
C R C Critical Reviews in Food Technology	0007-9006		1970-01-01	1	1	1975-12-31	5	4	http://www.tandfonline.com/openurl?genre=journal&stitle=bfsn18		bfsn18		fulltext	Now: Critical Reviews in Food Science and Nutrition. Continues: C R C Critical Reviews in Food Science and Nutrition (1975-1988)		serial										0007-9006					
C R C Critical Reviews in Food Science and Nutrition	0099-0248		1975-01-01	6	1	1988-12-31	26	4	http://www.tandfonline.com/openurl?genre=journal&stitle=bfsn19		bfsn19		fulltext	Now: Critical Reviews in Food Science and Nutrition. Previously: C R C Critical Reviews in Food Technology (1970-1975)		serial										0099-0248					
Critical Reviews in Food Science and Nutrition	1040-8398	1549-7852	1988-01-01	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bfsn20		bfsn20		fulltext			serial										1040-8398	1549-7852				
Human and Ecological Risk Assessment: An International Journal	1080-7039	1549-7860	1995-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bher20		bher20		fulltext			serial										1080-7039	1549-7860				
International Journal of Phytoremediation	1522-6514	1549-7879	1999-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bijp20		bijp20		fulltext			serial										1522-6514	1549-7879				
Ozone: Science & Engineering	0191-9512	1547-6545	1979-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bose20		bose20		fulltext			serial										0191-9512	1547-6545				
Critical Reviews in Plant Sciences	0735-2689	1549-7836	1983-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bpts20		bpts20		fulltext			serial										0735-2689	1549-7836				
Risk, Decision and Policy	1357-5309		2003-01-01	8	1	2004-12-31	9	4	http://www.tandfonline.com/openurl?genre=journal&stitle=brdp20		brdp20		fulltext	Ceased: 2005		serial										1357-5309					
Reviews in Fisheries Science & Aquaculture	2330-8249	2330-8257	2014-01-01	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=brfs20		brfs20		fulltext	previously: Reviews in Fisheries Science		serial										2330-8249	2330-8257				
C R C Critical Reviews in Solid State Sciences	0011-085X		1970-01-01	1	1	1976-12-31	6	4	http://www.tandfonline.com/openurl?genre=journal&stitle=bsms19		bsms19		fulltext	Now: Critical Reviews in Solid State and Materials Sciences		serial										0011-085X					
Critical Reviews in Solid State and Materials Sciences	1040-8436	1547-6561	1977-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bsms20		bsms20		fulltext			serial										1040-8436	1547-6561				
Journal of Soil Contamination	1058-8337		1992-01-01	1	1	2000-01-01	9	6	http://www.tandfonline.com/openurl?genre=journal&stitle=bssc19		bssc19		fulltext	now: Soil and Sediment Contamination: An International Journal (2001 - )		serial										1058-8337					
Soil and Sediment Contamination: An International Journal	1532-0383	1549-7887	2001-01-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bssc20		bssc20		fulltext	previously: Journal of Soil Contamination (1992 - 2000)		serial										1532-0383	1549-7887				
Assessment & Evaluation in Higher Education	0260-2938	1469-297X	1975-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caeh20		caeh20		fulltext			serial										0260-2938	1469-297X				
Asian Ethnicity	1463-1369	1469-2953	2000-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caet20		caet20		fulltext			serial										1463-1369	1469-2953				
African Identities	1472-5843	1472-5851	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cafi20		cafi20		fulltext			serial										1472-5843	1472-5851				
Australian Feminist Studies	0816-4649	1465-3303	1985-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cafs20		cafs20		fulltext			serial										0816-4649	1465-3303				
Australian Geographer	0004-9182	1465-3311	1928-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cage20		cage20		fulltext			serial										0004-9182	1465-3311				
AIDS Care	0954-0121	1360-0451	1989-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caic20		caic20		fulltext			serial										0954-0121	1360-0451				
Assessment in Education: Principles, Policy & Practice	0969-594X	1465-329X	1994-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caie20		caie20		fulltext			serial										0969-594X	1465-329X				
Australian Journal of International Affairs	1035-7718	1465-332X	1990-01-01	44	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caji20		caji20		fulltext	Previously: Australian Outlook (1947-1989)		serial										1035-7718	1465-332X				
Australian Journal of Linguistics	0726-8602	1469-2996	1981-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cajl20		cajl20		fulltext			serial										0726-8602	1469-2996				
Politics	0032-3268		1966-01-01	1	1	1989-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cajp19		cajp19		fulltext			serial										0032-3268					
Australian Journal of Political Science	1036-1146	1363-030X	1990-01-01	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cajp20		cajp20		fulltext			serial										1036-1146	1363-030X				
Al-Masaq	0950-3110	1473-348X	2002-01-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=calm20		calm20		fulltext			serial										0950-3110	1473-348X				
Action Learning: Research and Practice	1476-7333	1476-7341	2004-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=calr20		calr20		fulltext			serial										1476-7333	1476-7341				
Arabic & Middle Eastern Literature	1366-6169	1469-2929	1998-01-01	1	1	2001-01-01	4	2	http://www.tandfonline.com/openurl?genre=journal&stitle=came19		came19		fulltext	Currently Middle Eastern Literatures		serial										1366-6169	1469-2929				
Middle Eastern Literatures	1475-262X	1475-2638	2002-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=came20		came20		fulltext	previously: Edebiyat: Journal of M.E. Literatures		serial										1475-262X	1475-2638				
Aging & Mental Health	1360-7863	1364-6915	1997-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=camh20		camh20		fulltext			serial										1360-7863	1364-6915				
Anthropological Forum	0066-4677	1469-2902	1997-01-01	7	4				http://www.tandfonline.com/openurl?genre=journal&stitle=canf20		canf20		fulltext			serial										0066-4677	1469-2902				
Angelaki	0969-725X	1469-2899	1997-01-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cang20		cang20		fulltext			serial										0969-725X	1469-2899				
Anthropology & Medicine	1364-8470	1469-2910	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=canm20		canm20		fulltext			serial										1364-8470	1469-2910				
Singapore Journal of Education	0129-4776		1978-01-01	1	1	1995-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cape19		cape19		fulltext			serial										0129-4776					
Asia Pacific Journal of Education	0218-8791	1742-6855	1978-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cape20		cape20		fulltext			serial										0218-8791	1742-6855				
South Pacific Journal of Teacher Education	0311-2136		1973-01-01	1	1	1995-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=capj19		capj19		fulltext			serial										0311-2136					
Asia-Pacific Journal of Teacher Education	1359-866X	1469-2945	1973-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=capj20		capj20		fulltext			serial										1359-866X	1469-2945				
Asia-Pacific Review	1343-9006	1469-2937	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=capr20		capr20		fulltext			serial										1343-9006	1469-2937				
Asian Philosophy	0955-2367	1469-2961	1997-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=casp20		casp20		fulltext			serial										0955-2367	1469-2961				
Asian Studies Review	1035-7823	1467-8403	1997-01-01	20	3				http://www.tandfonline.com/openurl?genre=journal&stitle=casr20		casr20		fulltext			serial										1035-7823	1467-8403				
Bantu Studies	0256-1751		1921-01-01	1	1	1941-12-31	15	1	http://www.tandfonline.com/openurl?genre=journal&stitle=cast19		cast19		fulltext			serial										0256-1751					
African Studies	0002-0184	1469-2872	1997-01-01	56	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cast20		cast20		fulltext			serial										0002-0184	1469-2872				
Avian Pathology	0307-9457	1465-3338	1972-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cavp20		cavp20		fulltext			serial										0307-9457	1465-3338				
British Educational Research Journal	0141-1926	1469-3518	1978-01-01	4	1	2012-12-31	38	6	http://www.tandfonline.com/openurl?genre=journal&stitle=cber20		cber20		fulltext	transfer out (2013): Wiley. Previously: Research Intelligence (1975-1977)		serial									10.1002/(ISSN)1469-3518	0141-1926	1469-3518				
Bulletin of Hispanic Studies	0007-490X		1949-01-01	26	101	2001-01-01	78	Supp 001	http://www.tandfonline.com/openurl?genre=journal&stitle=cbhs19		cbhs19		fulltext	now: Bulletin of Spanish Studies		serial										0007-490X					
Bulletin of Spanish Studies	1475-3820	1478-3428	1923-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbhs20		cbhs20		fulltext	previously: Bulletin of Hispanic Studies		serial										1475-3820	1478-3428				
Bulletin of Indonesian Economic Studies	0007-4918	1472-7234	1965-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbie20		cbie20		fulltext			serial										0007-4918	1472-7234				
British Journal of Guidance & Counselling	0306-9885	1469-3534	1973-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbjg20		cbjg20		fulltext			serial										0306-9885	1469-3534				
Bulletin (British Society for Middle Eastern Studies)	0305-6139		1974-01-01	1	1	1991-12-31	18	2	http://www.tandfonline.com/openurl?genre=journal&stitle=cbjm19		cbjm19		fulltext	Now: British Journal of Middle Eastern Studies		serial										0305-6139					
British Journal of Middle Eastern Studies	1353-0194	1469-3542	1992-01-01	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbjm20		cbjm20		fulltext			serial										1353-0194	1469-3542				
British Poultry Abstracts	1746-6202	1746-6210	2005-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbpa20		cbpa20		fulltext			serial										1746-6202	1746-6210				
British Poultry Science	0007-1668	1466-1799	1960-01-01	1	01-Mar				http://www.tandfonline.com/openurl?genre=journal&stitle=cbps20		cbps20		fulltext			serial										0007-1668	1466-1799				
Religion in Education		1941-7268	1934-01-01	1	1	1961-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=cbre18		cbre18		fulltext	Now: British Journal of Religious Education (1978 -). Continues: Learning for Living (1961-1978)		serial											1941-7268				
Learning for Living	0023-9704		1961-01-01	1	1	1978-12-31	17	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cbre19		cbre19		fulltext	Now: British Journal of Religious Education		serial										0023-9704					
British Journal of Religious Education	0141-6200	1740-7931	1978-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbre20		cbre20		fulltext	previously: Learning for Living (1961 - 1978)		serial										0141-6200	1740-7931				
