publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status		coverage_notes
Geografiska Annaler Series B: Human Geography	0435-3684	1468-0467							http://www.tandfonline.com/		1371		fulltext	transfer in (2017):Wiley		serial									10.1111/(ISSN)1468-0467	0435-3684	1468-0467			2017-12-01		Expected		
Journal of Urban Affairs	0735-2166	1467-9906							http://taylorandfrancis.com/journals		1514		fulltext	transfer in (2017): Wiley. content not yet available		serial									10.1111/(ISSN)1467-9906	0735-2166	1467-9906			2017-12-31		Expected		
Journal of European CME		2161-4083							http://www.tandfonline.com/		19153		fulltext	Transfer out (2014): Co-Action Publishing. Content not longer available on TFO		serial											2161-4083					Current		
Acta Cardiologica	0001-5385								http://www.tandfonline.com/		30615		fulltext	Transfer in (2017) - content not yet available		serial										0001-5385				2017-12-01		Expected		
NACLA Report on the Americas	0149-1598		1977-09-01	11	7	1991-01-01	24	4	Now: NACLA Report on the Americas (1993). Conintues: Report on the Americas (1991-1993). Previously: NACLA's Latin America and Empire Report (1972-1977), NACLA Newsletter (1967-1971)		43504		fulltext	http://www.tandfonline.com/openurl?genre=journal&stitle=rnac20		serial										0149-1598						Current		
Environmental Practice	1466-0466	1466-0474							http://www.tandfonline.com/		4580		fulltext	transfer in (2017): Cambridge University Press. Content not yet avilable		serial										1466-0466	1466-0474			2017-12-31		Expected		
London Review of Education	1474-8460	1474-8479	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=clre20		clre20		fulltext	open access		serial										1474-8460	1474-8479					Current		
Nationalities Papers	0090-5992	1465-3923	1972-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cnap20		cnap20		fulltext			serial										0090-5992	1465-3923					Current		
Prometheus	0810-9028	1470-1030	1983-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cpro20		cpro20		fulltext			serial										0810-9028	1470-1030					Current		
Microbial Ecology in Health and Disease	0891-060X	1651-2235	1988-01-01	1	1	2009-12-31	21	3-4	http://www.tandfonline.com/openurl?genre=journal&stitle=imdi20		imdi20		fulltext	Ceased:2009		serial										0891-060X	1651-2235			2015-08-01		Current		
Cell Adhesion and Migration	1933-6918	1933-6926	2007-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kcam20		kcam20		fulltext	transfer in (2015): Landes		serial										1933-6918	1933-6926			2015-01-01		Current		
Islets	1938-2014	1938-2022	2009-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kisl20		kisl20		fulltext	transfer in (2015): Landes		serial										1938-2014	1938-2022			2015-01-01		Current		
mAbs	1942-0862	1942-0870	2009-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kmab20		kmab20		fulltext	transfer in (2015): Landes		serial										1942-0862	1942-0870			2015-01-01		Current		
Prion	1933-6896	1933-690X	2007-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kprn20		kprn20		fulltext	transfer in (2015): Landes		serial										1933-6896	1933-690X			2015-01-01		Current		
International Journal of Culture and Mental Health	1754-2863	1754-2871	2008-01-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rccm20		rccm20		fulltext			serial										1754-2863	1754-2871					Current		
Contemporary Nurse	1037-6178		1992-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=RCNJ		RCNJ		fulltext	transfer in (2015): Econtent Management		serial										1037-6178				2015-01-01		Current		
Danish Journal of Archaeology	2166-2282	2166-2290	2012-01-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdja20		rdja20		fulltext	previously: Journal of Danish Archaeology (1982 - 2011)		serial										2166-2282	2166-2290					Current		
Dramatherapy	0263-0672	2157-1430	1977-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdrt20		rdrt20		fulltext			serial										0263-0672	2157-1430					Current		
Global Discourse	2326-9995	2043-7897	2010-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgld20		rgld20		fulltext	New to Routledge for 2013.		serial										2326-9995	2043-7897					Current		
Health Sociology Review	1446-1242		2001-01-01	10	2				http://www.tandfonline.com/openurl?genre=journal&stitle=RHSR		RHSR		fulltext	transfer in (2015): Econtent Management.previously: Annual Review of Health Social Science (1991 - 2000) 		serial										1446-1242				2015-01-01		Current		
International Journal of Jungian Studies	1940-9052	1940-9060	2009-01-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rijj20		rijj20		fulltext			serial										1940-9052	1940-9060					Current		
Jewish Quarterly	0449-010X	2326-2516	1953-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjeq20		rjeq20		fulltext			serial										0449-010X	2326-2516					Current		
Journal of Peacebuilding & Development	1542-3166	2165-7440	2002-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjpd20		rjpd20		fulltext			serial										1542-3166	2165-7440					Current		
Journal of Transatlantic Studies	1479-4012	1754-1018	2003-01-01	1	Supp 1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjts20		rjts20		fulltext			serial										1479-4012	1754-1018					Current		
Journal of the Royal Musical Association	0269-0403	1471-6933	1987-01-01	112	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rrma20		rrma20		fulltext	previously: Proceedings of the Royal Musical Association (1944-1984), Proceedings of the Musical Association (1874-1943)		serial										0269-0403	1471-6933					Current		
Royal Musical Association Research Chronicle	1472-3808	2167-4027	1961-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rrmc20		rrmc20		fulltext	New to Routledge for 2013		serial										1472-3808	2167-4027					Current		
Regional Studies, Regional Science		2168-1376	2014-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsrs		rsrs		fulltext	Open Access		serial								F			2168-1376					Current		
