publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Production de la levure de panification par biotechnologie									https://www.techniques-ingenieur.fr/base-documentaire/procedes-chimie-bio-agro-th2/biotech-pour-les-systemes-agricoles-et-alimentaires-42700210/production-de-la-levure-de-panification-par-biotechnologie-j6013/	Loïez	production-de-la-levure-de-panification-par-biotechnologie-j6013		fulltext	https://doi.org/10.51257/a-v1-j6013	Editions T.I.	monograph		2003				biotech-pour-les-systemes-agricoles-et-alimentaires-42700210		P	
Lignes aériennes : échauffements et efforts électrodynamiques									https://www.techniques-ingenieur.fr/base-documentaire/energies-th4/problematiques-communes-des-reseaux-electriques-ingenierie-42267210/lignes-aeriennes-echauffements-et-efforts-electrodynamiques-d4439/	Gaudry	lignes-aeriennes-echauffements-et-efforts-electrodynamiques-d4439		fulltext	https://doi.org/10.51257/a-v1-d4439	Editions T.I.	monograph		1997				problematiques-communes-des-reseaux-electriques-ingenierie-42267210		P	
Tableaux et armoires									https://www.techniques-ingenieur.fr/base-documentaire/energies-th4/reseaux-electriques-industriels-et-tertiaires-42265210/tableaux-et-armoires-d5160/	Auber	tableaux-et-armoires-d5160		fulltext	https://doi.org/10.51257/a-v1-d5160	Editions T.I.	monograph		1997				reseaux-electriques-industriels-et-tertiaires-42265210		P	
Couches minces et nanostructures magnétiques (partie 1)									https://www.techniques-ingenieur.fr/base-documentaire/innovation-th10/nanotechnologies-pour-l-electronique-l-optique-et-la-photonique-42198210/couches-minces-et-nanostructures-magnetiques-partie-1-nm1201/	Fruchart	couches-minces-et-nanostructures-magnetiques-partie-1-nm1201		fulltext	https://doi.org/10.51257/a-v1-nm1201	Editions T.I.	monograph		2007				nanotechnologies-pour-l-electronique-l-optique-et-la-photonique-42198210		P	
Électrothermie industrielle - Tube à passage de courant									https://www.techniques-ingenieur.fr/base-documentaire/energies-th4/electrothermie-industrielle-42270210/electrothermie-industrielle-d5950/	Deschamps	electrothermie-industrielle-d5950		fulltext	https://doi.org/10.51257/a-v1-d5950	Editions T.I.	monograph		2002				electrothermie-industrielle-42270210		P	
Protection contre les perturbations - Composants de protection									https://www.techniques-ingenieur.fr/base-documentaire/energies-th4/reseaux-electriques-industriels-et-tertiaires-42265210/protection-contre-les-perturbations-d5171/	Graciet	protection-contre-les-perturbations-d5171		fulltext	https://doi.org/10.51257/a-v1-d5171	Editions T.I.	monograph		1998				reseaux-electriques-industriels-et-tertiaires-42265210		P	
Équilibrage des réseaux de distribution									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-ressources-energetiques-et-stockage-tiabeb/archive-1/equilibrage-des-reseaux-de-distribution-be9200/	Fridmann	archive-1/equilibrage-des-reseaux-de-distribution-be9200		fulltext	https://doi.org/10.51257/a-v1-be9200	Editions T.I.	monograph		1999						P	
Nanoparticules magnétiques en oncologie									https://www.techniques-ingenieur.fr/base-documentaire/biomedical-pharma-th15/nanotechnologies-et-biotechnologies-pour-la-sante-42608210/nanoparticules-magnetiques-en-oncologie-n4960/	Frayssinet	nanoparticules-magnetiques-en-oncologie-n4960		fulltext	https://doi.org/10.51257/a-v1-n4960	Editions T.I.	monograph		2013				nanotechnologies-et-biotechnologies-pour-la-sante-42608210		P	
Composants métalliques fléchis - Description et schématisation									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-les-superstructures-du-batiment-tiacd/archive-2/composants-metalliques-flechis-c2552/	Vercellino	archive-2/composants-metalliques-flechis-c2552		fulltext	https://doi.org/10.51257/a-v2-c2552	Editions T.I.	monograph		2003						P	
Eaux de distribution - Filières de traitement									https://www.techniques-ingenieur.fr/base-documentaire/environnement-securite-th5/procedes-de-traitement-des-eaux-potables-industrielles-et-urbaines-42318210/eaux-de-distribution-w5510/	Legube	eaux-de-distribution-w5510		fulltext	https://doi.org/10.51257/a-v1-w5510	Editions T.I.	monograph		2010				procedes-de-traitement-des-eaux-potables-industrielles-et-urbaines-42318210		P	
