publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Academic Emergency Medicine	1069-6563	1553-2712	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712		10.1111/(ISSN)1553-2712		fulltext		Wiley	serial								P
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576		10.1111/(ISSN)1399-6576		fulltext		Wiley	serial								P
Acta Neurologica Scandinavica	0001-6314	1600-0404	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404		10.1111/(ISSN)1600-0404		fulltext		Wiley	serial								P
Acta Obstetricia Et Gynecologica Scandinavica	0001-6349	1600-0412	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412		10.1111/(ISSN)1600-0412		fulltext		Wiley	serial								P
Acta Ophthalmologica Scandinavica	1395-3907	1600-0420	1997			2007			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-3768		10.1111/(ISSN)1755-3768		fulltext		Wiley	serial								P
Acta Paediatrica	0803-5253	1651-2227	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227		10.1111/(ISSN)1651-2227		fulltext		Wiley	serial								P
Acta Physiologica	1748-1708	1748-1716	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716		10.1111/(ISSN)1748-1716		fulltext		Wiley	serial								P
Acta Psychiatrica Scandinavica	0001-690X	1600-0447	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447		10.1111/(ISSN)1600-0447		fulltext		Wiley	serial								P
Addiction	0965-2140	1360-0443	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443		10.1111/(ISSN)1360-0443		fulltext		Wiley	serial								P
Addiction Biology	1355-6215	1369-1600	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600		10.1111/(ISSN)1369-1600		fulltext		Wiley	serial								P
Alcoholism: Clinical And Experimental Research	0145-6008	1530-0277	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277		10.1111/(ISSN)1530-0277		fulltext		Wiley	serial								P
Alimentary Pharmacology & Therapeutics	0269-2813	1365-2036	1997	11					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2036		10.1111/(ISSN)1365-2036		fulltext		Wiley	serial								P
Allergy	0105-4538	1398-9995	1997	52					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995		10.1111/(ISSN)1398-9995		fulltext		Wiley	serial								P
American Journal Of Hematology	0361-8609	1096-8652	1996	51					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652		10.1002/(ISSN)1096-8652		fulltext		Wiley	serial								P
American Journal Of Industrial Medicine	0271-3586	1097-0274	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274		10.1002/(ISSN)1097-0274		fulltext		Wiley	serial								P
American Journal Of Reproductive Immunology	1046-7408	1600-0897	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897		10.1111/(ISSN)1600-0897		fulltext		Wiley	serial								P
American Journal Of Transplantation	1600-6135	1600-6143	2001	1					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143		10.1111/(ISSN)1600-6143		fulltext		Wiley	serial								P
Anaesthesia	0003-2409	1365-2044	1997	52					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044		10.1111/(ISSN)1365-2044		fulltext		Wiley	serial								P
Andrologia	0303-4569		2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0272/issues		10.1111/(ISSN)1439-0272		fulltext		Wiley	serial								P
Andrology	2047-2919	2047-2927	2013	1					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2047-2927		10.1111/(ISSN)2047-2927		fulltext		Wiley	serial								P
Animal Genetics	0268-9146	1365-2052	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2052		10.1111/(ISSN)1365-2052		fulltext		Wiley	serial								P
Annals Of Human Genetics	0003-4800	1469-1809	2012						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1809		10.1111/(ISSN)1469-1809		fulltext		Wiley	serial								P
Annals Of Neurology	0364-5134	1531-8249	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249		10.1002/(ISSN)1531-8249		fulltext		Wiley	serial								P
Annals Of Noninvasive Electrocardiology	1082-720X	1542-474X	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-474X		10.1111/(ISSN)1542-474X		fulltext		Wiley	serial								P
Anz Journal Of Surgery	1445-1433	1445-2197	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1445-2197		10.1111/(ISSN)1445-2197		fulltext		Wiley	serial								P
Apmis	0903-4641	1600-0463	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463		10.1111/(ISSN)1600-0463		fulltext		Wiley	serial								P
Arthritis And Rheumatism	0004-3591	1529-0131	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1529-0131		10.1002/(ISSN)1529-0131		fulltext		Wiley	serial								P
Arthritis Care And Research	2151-464X	2151-4658	1999						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2151-4658		10.1002/(ISSN)2151-4658		fulltext		Wiley	serial								P
Artificial Organs	0160-564X	1525-1594	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-1594		10.1111/(ISSN)1525-1594		fulltext		Wiley	serial								P
Asia-pacific Journal Of Clinical Oncology	1743-7555	1743-7563	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1743-7563		10.1111/(ISSN)1743-7563		fulltext		Wiley	serial								P
Asian Journal Of Endoscopic Surgery	1758-5902	1758-5910	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-5910		10.1111/(ISSN)1758-5910		fulltext		Wiley	serial								P
Australasian Journal Of Dermatology	0004-8380	1440-0960	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-0960		10.1111/(ISSN)1440-0960		fulltext		Wiley	serial								P
Australasian Journal Of Ultrasound In Medicine	1836-6864	2205-0140	2009	12					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2205-0140		10.1002/(ISSN)2205-0140		fulltext		Wiley	serial								P
Australasian Journal On Ageing	1440-6381	1741-6612	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-6612		10.1111/(ISSN)1741-6612		fulltext		Wiley	serial								P
Australian And New Zealand Journal Of Obstetrics And Gynaecology	0004-8666	1479-828X	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1479-828X		10.1111/(ISSN)1479-828X		fulltext		Wiley	serial								P
Australian Journal Of Rural Health	1038-5282	1440-1584	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1584		10.1111/(ISSN)1440-1584		fulltext		Wiley	serial								P
