publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Abacus	0001-3072	1467-6281	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281		10.1111/(ISSN)1467-6281		fulltext		Wiley	serial								P
About Campus	1086-4822	1536-0687	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687/issues		10.1002/(ISSN)1536-0687		fulltext		Wiley	serial								P
Accounting & Finance	0810-5391	1467-629X	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X		10.1111/(ISSN)1467-629X		fulltext		Wiley	serial								P
Accounting Perspectives	1911-382X	1911-3838	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838		10.1111/(ISSN)1911-3838		fulltext		Wiley	serial								P
Acta Archaeologica	0065-101X	1600-0390	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390		10.1111/(ISSN)1600-0390		fulltext		Wiley	serial								P
Adultspan Journal	1524-6817	2161-0029	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-0029		10.1002/(ISSN)2161-0029		fulltext		Wiley	serial								P
Africa Research Bulletin: Economic, Financial And Technical Series	0001-9852		2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6346/issues		10.1111/(ISSN)1467-6346		fulltext		Wiley	serial								P
Africa Research Bulletin: Political, Social And Cultural Series	0001-9844	1467-825X	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-825X		10.1111/(ISSN)1467-825X		fulltext		Wiley	serial								P
African Development Review	1017-6772	1467-8268	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8268		10.1111/(ISSN)1467-8268		fulltext		Wiley	serial								P
Agribusiness	0742-4477	1520-6297	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297		10.1002/(ISSN)1520-6297		fulltext		Wiley	serial								P
Agricultural Economics	0169-5150	1574-0862	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-0862		10.1111/(ISSN)1574-0862		fulltext		Wiley	serial								P
Alcoholism & Drug Abuse Weekly	1042-1394	1556-7591	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-7591		10.1002/(ISSN)1556-7591		fulltext		Wiley	serial								P
Alternatives To The High Cost Of Litigation	1549-4373	1549-4381	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381		10.1002/(ISSN)1549-4381		fulltext		Wiley	serial								P
American Anthropologist	0002-7294	1548-1433	1997	99					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433		10.1111/(ISSN)1548-1433		fulltext		Wiley	serial								P
American Business Law Journal	0002-7766	1744-1714	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1714		10.1111/(ISSN)1744-1714		fulltext		Wiley	serial								P
American Ethnologist	0094-0496	1548-1425	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1425		10.1111/(ISSN)1548-1425		fulltext		Wiley	serial								P
American Journal Of Community Psychology	0091-0562	1573-2770	1997	39					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1573-2770		10.1002/(ISSN)1573-2770		fulltext		Wiley	serial								P
American Journal Of Economics And Sociology	0002-9246	1536-7150	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150/issues		10.1111/(ISSN)1536-7150		fulltext		Wiley	serial								P
American Journal Of Political Science	0092-5853	1540-5907	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907		10.1111/(ISSN)1540-5907		fulltext		Wiley	serial								P
Analyses Of Social Issues And Public Policy	1529-7489	1530-2415	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-2415		10.1111/(ISSN)1530-2415		fulltext		Wiley	serial								P
Analytic Philosophy	2153-9596	2153-960X	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2153-960X		10.1111/(ISSN)2153-960X		fulltext		Wiley	serial								P
Annals Of Anthropological Practice	2153-957X	2153-9588	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2153-9588		10.1111/(ISSN)2153-9588		fulltext		Wiley	serial								P
Annals Of Public And Cooperative Economics	1370-4788	1467-8292	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8292		10.1111/(ISSN)1467-8292		fulltext		Wiley	serial								P
Anthropology & Education Quarterly	0161-7761	1548-1492	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1492		10.1111/(ISSN)1548-1492		fulltext		Wiley	serial								P
Anthropology And Humanism	1559-9167	1548-1409	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1409		10.1111/(ISSN)1548-1409		fulltext		Wiley	serial								P
Anthropology Of Consciousness	1053-4202	1556-3537	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-3537		10.1111/(ISSN)1556-3537		fulltext		Wiley	serial								P
Anthropology Of Work Review	0883-024X	1548-1417	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1417		10.1111/(ISSN)1548-1417		fulltext		Wiley	serial								P
Anthropology Today	0268-540X	1467-8322	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8322		10.1111/(ISSN)1467-8322		fulltext		Wiley	serial								P
Antipode	0066-4812	1467-8330	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8330		10.1111/(ISSN)1467-8330		fulltext		Wiley	serial								P
Applied Cognitive Psychology	0888-4080	1099-0720	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0720		10.1002/(ISSN)1099-0720		fulltext		Wiley	serial								P
Applied Psychology	0269-994X	1464-0597	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1464-0597		10.1111/(ISSN)1464-0597		fulltext		Wiley	serial								P
Applied Psychology: Health And Well-being	1758-0846	1758-0854	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-0854		10.1111/(ISSN)1758-0854		fulltext		Wiley	serial								P
Arabian Archaeology And Epigraphy	0905-7196	1600-0471	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0471		10.1111/(ISSN)1600-0471		fulltext		Wiley	serial								P
Archaeology In Oceania	0728-4896	1834-4453	2012						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1834-4453/issues		10.1002/(ISSN)1834-4453		fulltext		Wiley	serial								P
Archaeometry	0003-813X	1475-4754	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4754		10.1111/(ISSN)1475-4754		fulltext		Wiley	serial								P
Archeological Papers Of The American Anthropological Association	1551-823X	1551-8248	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-8248		10.1111/(ISSN)1551-8248		fulltext		Wiley	serial								P
Architectural Design	0003-8504	1554-2769	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-2769		10.1002/(ISSN)1554-2769		fulltext		Wiley	serial								P
Area	0004-0894	1475-4762	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4762		10.1111/(ISSN)1475-4762		fulltext		Wiley	serial								P
Art History	0141-6790	1467-8365	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8365		10.1111/(ISSN)1467-8365		fulltext		Wiley	serial								P
Asia Pacific Journal Of Human Resources	1038-4111	1744-7941	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7941		10.1111/(ISSN)1744-7941		fulltext		Wiley	serial								P
Asia Pacific Viewpoint	1360-7456	1467-8373	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8373		10.1111/(ISSN)1467-8373		fulltext		Wiley	serial								P
Asia-pacific Journal Of Financial Studies	2041-9945	2041-6156	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2041-6156		10.1111/(ISSN)2041-6156		fulltext		Wiley	serial								P
Asian Economic Journal	1351-3958	1467-8381	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8381		10.1111/(ISSN)1467-8381		fulltext		Wiley	serial								P
Asian Economic Policy Review	1832-8105	1748-3131	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-3131		10.1111/(ISSN)1748-3131		fulltext		Wiley	serial								P
Asian Journal Of Social Psychology	1367-2223	1467-839X	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-839X		10.1111/(ISSN)1467-839X		fulltext		Wiley	serial								P
Asian Politics & Policy	1943-0779	1943-0787	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1943-0787		10.1111/(ISSN)1943-0787		fulltext		Wiley	serial								P
Asian Social Work And Policy Review	1753-1403	1753-1411	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-1411		10.1111/(ISSN)1753-1411		fulltext		Wiley	serial								P
Asian-pacific Economic Literature	0818-9935	1467-8411	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8411		10.1111/(ISSN)1467-8411		fulltext		Wiley	serial								P
Assessment Update	1041-6099	1536-0725	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0725		10.1002/(ISSN)1536-0725		fulltext		Wiley	serial								P
Australian Accounting Review	1035-6908	1835-2561	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1835-2561		10.1111/(ISSN)1835-2561		fulltext		Wiley	serial								P
Australian And New Zealand Journal Of Family Therapy	0814-723X		2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1467-8438/issues		10.1002/(ISSN)1467-8438		fulltext		Wiley	serial								P
Australian Economic History Review	0004-8992	1467-8446	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8446		10.1111/(ISSN)1467-8446		fulltext		Wiley	serial								P
Australian Economic Papers	0004-900X	1467-8454	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8454		10.1111/(ISSN)1467-8454		fulltext		Wiley	serial								P
Australian Economic Review	0004-9018	1467-8462	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8462		10.1111/(ISSN)1467-8462		fulltext		Wiley	serial								P
Australian Journal Of Agricultural & Resource Economics	1364-985X	1467-8489	1997	41					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8489		10.1111/(ISSN)1467-8489		fulltext		Wiley	serial								P
Australian Journal Of Politics & History	0004-9522	1467-8497	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8497		10.1111/(ISSN)1467-8497		fulltext		Wiley	serial								P
Australian Journal Of Psychology	0004-9530	1742-9536	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9536		10.1111/(ISSN)1742-9536		fulltext		Wiley	serial								P
Australian Journal Of Public Administration	0313-6647	1467-8500	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8500		10.1111/(ISSN)1467-8500		fulltext		Wiley	serial								P
Australian Journal Of Social Issues		1839-4655	1997						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1839-4655		10.1002/(ISSN)1839-4655		fulltext		Wiley	serial								P
Australian Psychologist	0005-0067		2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9544/issues		10.1111/(ISSN)1742-9544		fulltext		Wiley	serial								P
Behavioral Interventions	1072-0847	1099-078X	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-078X		10.1002/(ISSN)1099-078X		fulltext		Wiley	serial								P
