publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Acta Crystallographica Section A, Foundations Of Crystallography	0108-7673	1600-5724	2013						http://onlinelibrary.wiley.com/journal/10.1107/S20532733/issues		10.1107/S20532733		fulltext		Wiley	serial								P
Acta Crystallographica Section C	0108-2701	1600-5759	2013						http://onlinelibrary.wiley.com/journal/10.1107/S20532296/issues		10.1107/S20532296		fulltext		Wiley	serial								P
Acta Crystallographica Section F		1744-3091	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091		10.1111/(ISSN)1744-3091		fulltext		Wiley	serial								P
Acta Crystallographica. Section B, Structural Science	0108-7681	1600-5740	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5740		10.1111/(ISSN)1600-5740		fulltext		Wiley	serial								P
Acta Crystallographica. Section D, Biological Crystallography.	0907-4449	1399-0047	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047		10.1111/(ISSN)1399-0047		fulltext		Wiley	serial								P
Acta Geologica Sinica - English Edition	1000-9515	1755-6724	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724		10.1111/(ISSN)1755-6724		fulltext		Wiley	serial								P
Acta Zoologica	0001-7272	1463-6395	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395		10.1111/(ISSN)1463-6395		fulltext		Wiley	serial								P
Advanced Engineering Materials	1438-1656	1527-2648	1999	1					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-2648		10.1002/(ISSN)1527-2648		fulltext		Wiley	serial								P
Advanced Materials	0935-9648	1521-4095	1998	10					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095		10.1002/(ISSN)1521-4095		fulltext		Wiley	serial								P
Advanced Materials For Optics And Electronics	1057-9257	1099-0712	1997			2000			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028		10.1002/(ISSN)1616-3028		fulltext		Wiley	serial								P
Advances In Polymer Technology	0730-6679	1098-2329	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329		10.1002/(ISSN)1098-2329		fulltext		Wiley	serial								P
Aggressive Behavior	0096-140X	1098-2337	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337		10.1002/(ISSN)1098-2337		fulltext		Wiley	serial								P
Agricultural And Forest Entomology	1461-9555	1461-9563	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-9563		10.1111/(ISSN)1461-9563		fulltext		Wiley	serial								P
Aiche Journal	0001-1541	1547-5905	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905		10.1002/(ISSN)1547-5905		fulltext		Wiley	serial								P
American Journal Of Human Biology	1042-0533	1520-6300	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300		10.1002/(ISSN)1520-6300		fulltext		Wiley	serial								P
American Journal Of Medical Genetics Part A	1552-4825	1552-4833	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4833		10.1002/(ISSN)1552-4833		fulltext		Wiley	serial								P
American Journal Of Medical Genetics Part B: Neuropsychiatric Genetics	1552-4841	1552-485X	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-485X		10.1002/(ISSN)1552-485X		fulltext		Wiley	serial								P
American Journal Of Medical Genetics Part C: Seminars In Medical Genetics	1552-4868	1552-4876	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876		10.1002/(ISSN)1552-4876		fulltext		Wiley	serial								P
American Journal Of Physical Anthropology	0002-9483	1096-8644	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644		10.1002/(ISSN)1096-8644		fulltext		Wiley	serial								P
American Journal Of Primatology	0275-2565	1098-2345	2013						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345		10.1002/(ISSN)1098-2345		fulltext		Wiley	serial								P
Anatomia, Histologia, Embryologia	0340-2096	1439-0264	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0264		10.1111/(ISSN)1439-0264		fulltext		Wiley	serial								P
Angewandte Chemie	0044-8249	1521-3757	1997	110					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757		10.1002/(ISSN)1521-3757		fulltext		Wiley	serial								P
Angewandte Chemie International Edition	1433-7851	1521-3773	1997						http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773		10.1002/(ISSN)1521-3773		fulltext		Wiley	serial								P
Animal Conservation	1367-9430	1469-1795	2013						http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1795		10.1111/(ISSN)1469-1795		fulltext		Wiley	serial								P
