publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Advanced Engineering Materials	1438-1656	1527-2648	1999			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-2648/issues		adem		fulltext		Wiley	serial								P
Advanced Functional Materials	1616-301X	1616-3028	2001			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028/issues		adfm		fulltext		Wiley	serial								P
Advanced Materials	0935-9648	1521-4095	1989			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095/issues		adma		fulltext		Wiley	serial								P
Advanced Synthesis & Catalysis	1615-4150	1615-4169	2001			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-4169/issues		adsc		fulltext		Wiley	serial								P
Advanced Energy Materials	1614-6832	1614-6840	2011			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840/issues		aenm		fulltext		Wiley	serial								P
Annalen der Physik	0003-3804	1521-3889	1799			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889/issues		andp		fulltext		Wiley	serial								P
Angewandte Chemie	0044-8249	1521-3757	1949			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757/issues		ange		fulltext		Wiley	serial								P
Angewandte Chemie International Edition	1433-7851	1521-3773	1998			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773/issues		anie		fulltext		Wiley	serial								P
Archiv der Pharmazie	0365-6233	1521-4184	1972			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4184/issues		ardp		fulltext		Wiley	serial								P
Chemistry – An Asian Journal	1861-4728	1861-471X	2006			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1861-471X/issues		asia		fulltext		Wiley	serial								P
Astronomische Nachrichten	0004-6337	1521-3994	1823			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3994/issues		asna		fulltext		Wiley	serial								P
Bauphysik	0171-5445	1437-0980	2001			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-0980/issues		bapi		fulltext		Wiley	serial								P
Bautechnik	0932-8351	1437-0999	1998			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-0999/issues		bate		fulltext		Wiley	serial								P
Birth Defects Research Part B: Developmental and Reproductive Toxicology	1542-9733	1542-9741	2003			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-9741/issues		bdrb		fulltext		Wiley	serial								P
Birth Defects Research Part C: Embryo Today: Reviews	1542-975X	1542-9768	2003			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-9768/issues		bdrc		fulltext		Wiley	serial								P
Beton- und Stahlbetonbau	0005-9900	1437-1006	1975			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1006/issues		best		fulltext		Wiley	serial								P
Berichte zur Wissenschaftsgeschichte	0170-6233	1522-2365	1978			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2365/issues		bewi		fulltext		Wiley	serial								P
Biometrical Journal	0323-3847	1521-4036	1977			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4036/issues		bimj		fulltext		Wiley	serial								P
Biotechnology Journal	1860-6768	1860-7314	2006			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7314/issues		biot		fulltext		Wiley	serial								P
Biologie in unserer Zeit	0045-205X	1521-415X	1971			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-415X/issues		biuz		fulltext		Wiley	serial								P
Chemistry & Biodiversity	1612-1872	1612-1880	2004			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-1880/issues		cbdv		fulltext		Wiley	serial								P
ChemBioChem	1439-4227	1439-7633	2000			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7633/issues		cbic		fulltext		Wiley	serial								P
ChemCatChem	1867-3880	1867-3899	2009			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1867-3899/issues		cctc		fulltext		Wiley	serial								P
Chemical Engineering & Technology	0930-7516	1521-4125	1987			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4125/issues		ceat		fulltext		Wiley	serial								P
Chemistry - A European Journal	0947-6539	1521-3765	1995			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3765/issues		chem		fulltext		Wiley	serial								P
ChemInform	0931-7597	1522-2667	1991			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2667/issues		chin		fulltext		Wiley	serial								P
Chemie Ingenieur Technik	0009-286X	1522-2640	1949			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2640/issues		cite		fulltext		Wiley	serial								P
Chemie in unserer Zeit	0009-2851	1521-3781	1967			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3781/issues		ciuz		fulltext		Wiley	serial								P
Acta Chimica Sinica English Edition			1983			1985			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-7065/issues		cjoc		fulltext		Wiley	serial								P
CHEMKON	0944-5846	1521-3730	1994			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3730/issues		ckon		fulltext		Wiley	serial								P
Acta hydrochimica et hydrobiologica	0323-4320		1973			2006			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-0669/issues		clen		fulltext		Wiley	serial								P
ChemMedChem	1860-7179	1860-7187	2006			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7187/issues		cmdc		fulltext		Wiley	serial								P
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering	1552-5031	1552-504X	2003			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-504X/issues		cmrb		fulltext		Wiley	serial								P
ChemPhysChem	1439-4235	1439-7641	2000			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7641/issues		cphc		fulltext		Wiley	serial								P
Crystal Research and Technology	0232-1300	1521-4079	1981			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4079/issues		crat		fulltext		Wiley	serial								P
ChemSusChem	1864-5631	1864-564X	2008			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1864-564X/issues		cssc		fulltext		Wiley	serial								P
Beiträge aus der Plasmaphysik	0005-8025		1960			1984			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3986/issues		ctpp		fulltext		Wiley	serial								P
Chemical Vapor Deposition	0948-1907	1521-3862	1995			2011			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3862/issues		cvde		fulltext		Wiley	serial								P
