publication_title	print_identifier	online_identifier	date_first_issue_online	date_last_issue_online	title_url	title_id	coverage_depth	publisher_name	publication_type	access_type
Angewandte Chemie	0044-8249	1521-3757	1949	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757/issues	2001	fulltext	Wiley	serial	P
Angewandte Chemie International Edition	1433-7851	1521-3773	1998	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773/issues	2002	fulltext	Wiley	serial	P
Chemie Ingenieur Technik	0009-286X	1522-2640	1949	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2640/issues	2004	fulltext	Wiley	serial	P
Berichte der deutschen chemischen Gesellschaft	0365-9496		1868	1918	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0682c/issues	2005	fulltext	Wiley	serial	P
Chemie in unserer Zeit	0009-2851	1521-3781	1967	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3781/issues	2006	fulltext	Wiley	serial	P
Physik in unserer Zeit	0031-9252	1521-3943	1970	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3943/issues	2007	fulltext	Wiley	serial	P
Biologie in unserer Zeit	0045-205X	1521-415X	1971	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-415X/issues	2008	fulltext	Wiley	serial	P
Pharmazie in unserer Zeit	0048-3664	1615-1003	1972	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-1003/issues	2009	fulltext	Wiley	serial	P
Materials and Corrosion	0947-5117	1521-4176	1995	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4176/issues	2010	fulltext	Wiley	serial	P
Materialwissenschaft und Werkstofftechnik	0933-5137	1521-4052	1988	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4052/issues	2012	fulltext	Wiley	serial	P
Propellants and explosives	0340-7462		1976	1981	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4087/issues	2014	fulltext	Wiley	serial	P
Berichte der Bunsengesellschaft für physikalische Chemie	0005-9021		1963	1990	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)0005-9021e/issues	2018	fulltext	Wiley	serial	P
Archiv der Pharmazie	0365-6233	1521-4184	1972	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4184/issues	2019	fulltext	Wiley	serial	P
Molecular Informatics	1868-1743	1868-1751	2010	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751/issues	2022	fulltext	Wiley	serial	P
ELECTROPHORESIS	0173-0835	1522-2683	1980	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2683/issues	2027	fulltext	Wiley	serial	P
Berichte zur Wissenschaftsgeschichte	0170-6233	1522-2365	1978	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2365/issues	2031	fulltext	Wiley	serial	P
Vakuum in Forschung und Praxis	0947-076X	1522-2454	1995	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2454/issues	2035	fulltext	Wiley	serial	P
Starch (Weinheim. 2007. Print)	2192-4236	1521-379X	2007	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-379X/issues	2041	fulltext	Wiley	serial	P
Chemical Engineering & Technology	0930-7516	1521-4125	1987	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4125/issues	2044	fulltext	Wiley	serial	P
Bodenkunde und Pflanzenernährung	0366-2136		1936	1945	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2624/issues	2045	fulltext	Wiley	serial	P
Annalen der Pharmacie	0365-5490		1832	1839	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0690/issues	2046	fulltext	Wiley	serial	P
Acta hydrochimica et hydrobiologica	0323-4320		1973	2006	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-0669/issues	2047	fulltext	Wiley	serial	P
Electroanalysis	1040-0397	1521-4109	1989	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4109/issues	2049	fulltext	Wiley	serial	P
Physikalische Blätter	0031-9279	1521-3722	1944	2001	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3722/issues	2050	fulltext	Wiley	serial	P
Particle & Particle Systems Characterization	0934-0866	1521-4117	1988	2010	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4117/issues	2056	fulltext	Wiley	serial	P
Forschung	0172-1518	1619-8166	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2357/issues	2057	fulltext	Wiley	serial	P
German Research	0172-1526	1619-8174	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2322/issues	2058	fulltext	Wiley	serial	P
ChemInform	0931-7597	1522-2667	1991	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2667/issues	2073	fulltext	Wiley	serial	P
Sensors Update	1432-2404	1616-8984	1996	2003	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-8984/issues	2081	fulltext	Wiley	serial	P
Structural Concrete	1464-4177		2011	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1751-7648/issues	2084	fulltext	Wiley	serial	P
Advanced Materials	0935-9648	1521-4095	1989	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095/issues	2089	fulltext	Wiley	serial	P
Lebensmittelchemie	0937-1478	1521-3811	2010	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3811/issues	2090	fulltext	Wiley	serial	P
Bautechnik	0932-8351	1437-0999	1998	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-0999/issues	2091	fulltext	Wiley	serial	P
Stahlbau	0038-9145	1437-1049	1998	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1049/issues	2092	fulltext	Wiley	serial	P
Beton- und Stahlbetonbau	0005-9900	1437-1006	1975	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1006/issues	2093	fulltext	Wiley	serial	P
Bauphysik	0171-5445	1437-0980	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-0980/issues	2094	fulltext	Wiley	serial	P
DIBt Mitteilungen	1438-7778	1437-1030	2004	2011	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1030/issues	2095	fulltext	Wiley	serial	P
CHEMKON	0944-5846	1521-3730	1994	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3730/issues	2106	fulltext	Wiley	serial	P
