publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
AAHE-ERIC/Higher Education Research Report	0737-1764	2374-7161	1974	3	1	1982	13	10	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-6306/issues		22335		fulltext		Wiley	serial								P
AIChE Journal	0001-1541	1547-5905	1955	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905		754		fulltext		Wiley	serial								P
ANZ Journal of Surgery	1445-1433	1445-2197	2001	71	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1445-2197		439		fulltext		Wiley	serial								P
APLAR Journal of Rheumatology	0219-0494	1479-8077	2002	5		2007	10		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-185X/issues		9642		fulltext		Wiley	serial								P
APMIS	0903-4641	1600-0463	1988	96		2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463		440		fulltext		Wiley	serial								P
ARN Journal	0362-3505	2375-0812	1975	1	1	1980	2	5	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2048-7940/issues		15217		fulltext		Wiley	serial								P
ASHE Higher Education Report	1551-6970	1554-6306	2005	30	5	2014			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-6306		1215		fulltext		Wiley	serial								P
ASHE-ERIC higher education report	0884-0040	1536-0709	1985	14	1	2004	30	4	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-6306/issues		9644		fulltext		Wiley	serial								P
ASHE-ERIC/Higher Education Research Report	0737-1292	2375-107X	1983	12	1	1984	13	10	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-6306/issues		22334		fulltext		Wiley	serial								P
AT&T Bell Laboratories Technical Journal	0748-612X	2376-7162	1984	63	1	1984	63	10	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1538-7305/issues		22337		fulltext		Wiley	serial								P
AT&T Technical Journal	8756-2324	2376-676X	1985	64	1	1995	74	6	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1538-7305/issues		22338		fulltext		Wiley	serial								P
AUSTRALIAN DENTAL JOURNAL	0045-0421	1834-7819	1956	1	1	2012			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1834-7819		451		fulltext		Wiley	serial								P
AWHONN Lifelines	1091-5923	1552-6356	1997	1	1	2006	10	1	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1552-6356		9652		fulltext		Wiley	serial								P
Abacus	0001-3072	1467-6281	1965	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281		1175		fulltext		Wiley	serial								P
About Campus	1086-4822	1536-0687	1997	1		2014			http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687/issues		1176		fulltext		Wiley	serial								P
Academic Review	1554-1142		2000	1		2002	2		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1948-7177/issues		9632		fulltext		Wiley	serial								P
Academic emergency medicine	1069-6563	1553-2712	1994	1	2	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712		410		fulltext		Wiley	serial								P
Accounting & Finance	0810-5391	1467-629X	1979	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X		1177		fulltext		Wiley	serial								P
Accounting Perspectives	1911-382X	1911-3838	2007	6	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838		1178		fulltext		Wiley	serial								P
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	1957	1		2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576		411		fulltext		Wiley	serial								P
Acta Archaeologica	0065-101X	1600-0390	2000	71		2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390		1179		fulltext		Wiley	serial								P
Acta Biotechnologica	0138-4988	1521-3846	1980	16		2003	23		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1521-3846		15178		fulltext		Wiley	serial								P
Acta Botanica Neerlandica	0044-5983	1365-2001	1952	1	1	1996	45	4	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1438-8677		22331		fulltext		Wiley	serial								P
Acta Chimica Sinica English Edition	0256-7660		1983	1	1	1989	7	6	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-7065/issues		15179		fulltext		Wiley	serial								P
Acta Crystallographica	0365-110X	1600-8642	1948	1	1	1967	23	6	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)0365-110X/issues		15181		fulltext		Wiley	serial								P
Acta Crystallographica Section A	0567-7394	1600-8596	1968	24	1	1982	38	6	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2053-2733/issues		33102		fulltext		Wiley	serial								P
Acta Crystallographica Section A, Foundations of crystallography	0108-7673	1600-5724	1983	39	1	2013	69	6	http://onlinelibrary.wiley.com/journal/10.1107/S20532733/issues		412		fulltext		Wiley	serial								P
Acta Crystallographica Section B	0567-7408	1600-8650	1968	24	1	1982	38	12	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2052-5206/issues		33100		fulltext		Wiley	serial								P
Acta Crystallographica Section C	0108-2701	1600-5759	1983	39	1	2013	69	12	http://onlinelibrary.wiley.com/journal/10.1107/S20532296/issues		414		fulltext		Wiley	serial								P
Acta Crystallographica Section F		1744-3091	2005	61	1	2014	69	12	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091		952		fulltext		Wiley	serial								P
Acta Geologica Sinica - English Edition	1000-9515	1755-6724	1988	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724		416		fulltext		Wiley	serial								P
Acta Geologica Sinica-English	0001-5717		1986			1987			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724/issues		ACGS		fulltext		Wiley	serial								P
Acta Neurologica Scandinavica	0001-6314	1600-0404	1961	37	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404		417		fulltext		Wiley	serial								P
Acta Neuropsychiatrica	0924-2708	1601-5215	2002	14	1	2012	24	6	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1601-5215		899		fulltext		Wiley	serial								P
Acta Obstetricia et Gynecologica Scandinavica	0001-6349	1600-0412	1921	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412		418		fulltext		Wiley	serial								P
Acta Paediatrica	0803-5253	1651-2227	1921	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227		420		fulltext		Wiley	serial								P
Acta Paediatrica Japonica Overseas Edition	0374-5600		1959	1	1	1998	40	6	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-200X/issues		25421		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica	0365-5555		1924	1	1	1969	77	4	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15185		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Section A Pathology	0365-4184		1970	78A	1	1981	89A		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15186		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Section B Microbiology	0304-131X		1975	83B	1	1981	89B		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15187		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology	0365-5563		1970	78B	1	1974	82B	6	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15188		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Section C Immunology	0304-1328		1975	83C	1	1981	89C		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15189		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Series A :Pathology	0108-0164		1982	90A		1987	95A		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15190		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Series B: Microbiology	0108-0180		1982	90B		1987	95B		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15191		fulltext		Wiley	serial								P
Acta Pathologica Microbiologica Scandinavica Series C: Immunology	0108-0202		1982	90C		1987	96C		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463/issues		15192		fulltext		Wiley	serial								P
Acta Physiologica	1748-1708	1748-1716	2006	186	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716		421		fulltext		Wiley	serial								P
Acta Physiologica Scandinavica	0001-6772	1365-201X	1940	1	1	2005	185	4	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-201X		9635		fulltext		Wiley	serial								P
Acta Polymerica	0323-7648	1521-4044	1979	30	1	1999	50		http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4044		15194		fulltext		Wiley	serial								P
Acta Psychiatrica Scandinavica	0001-690X	1600-0447	1926	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447		422		fulltext		Wiley	serial								P
Acta Zoologica	0001-7272	1463-6395	1920	1	1	2014			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395		423		fulltext		Wiley	serial								P
Acta allergologica	0001-5148		1948			1977			http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995		ALL		fulltext		Wiley	serial								P
