publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
In Defense of Dolphins	9781405157780	9780470694152							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470694152	White	10.1002/9780470694152		fulltext		John Wiley & Sons, Inc.	monograph	2007	2008		1	Croft, W. (UK)	2357		P	
Municipal Solid Waste to Energy Conversion Processes; Economic, Technical, and Renewable Comparisons	9780470539675	9780470608616							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470608616	Young	10.1002/9780470608616		fulltext		John Wiley & Sons, Inc.	monograph	2010	2010		1	Scholl, S. (US3)			P	
Phytopharmacy - an Evidence-Based Guide to Herbal Medical Products	9781118543566	9781118543436							https://onlinelibrary.wiley.com/doi/book/10.1002/9781118543436	Edwards	10.1002/9781118543436		fulltext		John Wiley & Sons, Inc.	monograph	2015	2015		1	Weinreich, F. (UK)			P	204693330
Pre-Hospital Paediatric Life Support - A PracticalApproach to Emergencies 3rd Edition	9781118339763	9781118339725							https://onlinelibrary.wiley.com/doi/book/10.1002/9781118339725	ALSG	10.1002/9781118339725		fulltext		John Wiley & Sons, Inc.	monograph	2017	2017		3	Bradwell, S. (UK3)	7717		P	
What Makes Business Rock: Building the World's Largest Global Networks	9781118004760	9781119202363							https://onlinelibrary.wiley.com/doi/book/10.1002/9781119202363	Roedy	10.1002/9781119202363		fulltext		John Wiley & Sons, Inc.	monograph	2011	2015		1	Falloon, B.			P	
ACA Cyberbullying: What Counselors Need to Know	9781556202940	9781119221685							https://onlinelibrary.wiley.com/doi/book/10.1002/9781119221685	Bauman	10.1002/9781119221685		fulltext		John Wiley & Sons, Inc.	monograph	2015	2015		1	Lalonde, D. PD Psych			P	
ACA The Ecological Perspective in Counseling	9781556202872	9781119222743							https://onlinelibrary.wiley.com/doi/book/10.1002/9781119222743	Cook	10.1002/9781119222743		fulltext		John Wiley & Sons, Inc.	monograph	2015	2015		1	Lalonde, D. PD Psych			P	
Applied Coatings - Chemistry, Formulation, and Performance	9781394211173	9781394211203							https://onlinelibrary.wiley.com/doi/book/10.1002/9781394211203	Lee	10.1002/9781394211203		fulltext		John Wiley & Sons, Inc.	monograph	2024	2024		1	Rose, J.			P	
Sicherung Guter Wissenschaftlicher Praxis - Empfehlungen der Kommission Selbstkontrolle in der Wissenschft	9783527337033	9783527679188							https://onlinelibrary.wiley.com/doi/book/10.1002/9783527679188	Deutsche Forsch	10.1002/9783527679188		fulltext		John Wiley & Sons, Inc.	monograph		2013		1	VCH (Weinheim)	3021		P	
Funding Atlas 2015 Key Indicators for Publicly Funded Research in Germany - Key Indicators for Publicly Funded Research in Germany	9783527343324	9783527809738							https://onlinelibrary.wiley.com/doi/book/10.1002/9783527809738	Deutsche Forsch	10.1002/9783527809738		fulltext		John Wiley & Sons, Inc.	monograph	2017	2016		1	VCH (Weinheim)			P	
