publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Abacus	0001-3072	1467-6281	1965	1	1				https://onlinelibrary.wiley.com/journal/14676281		14676281		fulltext			serial								P	058286942
About Campus	1086-4822	1536-0687	1997	1		2018	22	6	https://onlinelibrary.wiley.com/journal/15360687		15360687		fulltext	transfer out (2018): SAGE		serial								P	122281551
Academic Emergency Medicine	1069-6563	1553-2712	1994	1	2				https://onlinelibrary.wiley.com/journal/15532712		15532712		fulltext			serial								P	111805198
Accounting and Finance	0810-5391	1467-629X	1979	1	1				https://onlinelibrary.wiley.com/journal/1467629X		1467629X		fulltext			serial								P	058286950
Accounting Forum	0155-9982	1467-6303	1999	23		2003	27		https://onlinelibrary.wiley.com/journal/14676303		14676303		fulltext	transfer: Elsevier 2004		serial								P	058286969
ACR Open Rheumatology		2578-5745	2019	1	1				https://onlinelibrary.wiley.com/journal/25785745		25785745		fulltext	New for 2019. Open Access		serial								F	236087851
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	1957	1					https://onlinelibrary.wiley.com/journal/13996576		13996576		fulltext			serial								P	090127757
Acta Archaeologica	0065-101X	1600-0390	2000	71		2020	91	2	https://onlinelibrary.wiley.com/journal/16000390		16000390		fulltext	Transfer out (2021)		serial								P	083811893
Acta Biochimica et Biophysica Sinica	1672-9145	1745-7270	2005	37		2008	40		https://onlinelibrary.wiley.com/journal/17457270		17457270		fulltext	transfer: Oxford University Press 2009		serial								P	104562226
Acta Biotechnologica	0138-4988	1521-3846	1996	16		2003	23		https://onlinelibrary.wiley.com/journal/15213846		15213846		fulltext	merged: Engineering in Life Sciences		serial								P	11624402X
Acta Chirurgica Austriaca	0001-544X	1563-2563	2000	32		2001	33		https://onlinelibrary.wiley.com/journal/15632563		15632563		fulltext	now: European Surgery		serial								P	060303956
Acta Crystallographica	0365-110X	1600-8642	1948	1	1	1967	23	6	https://onlinelibrary.wiley.com/journal/S0365110X		S0365110X		fulltext	split: sections A+B (1968)		serial								P	074989928
