publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Japan Architectural Review		2475-8876	2018	1	1				https://onlinelibrary.wiley.com/loi/24758876		10.1002/(ISSN)2475-8876		fulltext		Wiley	serial								F	22933685X
Journal of the Agricultural and Applied Economics Association		2769-2485	2022	1	1				https://onlinelibrary.wiley.com/loi/27692485		10.1002/(ISSN)2769-2485		fulltext		Wiley	serial								F	264036972
Journal of the American Heart Association Cardiovascular and Cerebrovascular Disease	2047-9980	2047-9980	2012	1	1				http://jaha.ahajournals.org/content/by/year		10.1002/(ISSN)2047-9980		fulltext		Wiley	serial								F	163389993
Journal of the International AIDS Society		1758-2652	2024	1	2004				https://onlinelibrary.wiley.com/loi/17582652		10.1002/(ISSN)1758-2652		fulltext		Wiley	serial								F	131763768
Journal of the World Aquaculture Society	0893-8849	1749-7345	1997	28	1				https://onlinelibrary.wiley.com/loi/17497345		10.1111/(ISSN)1749-7345		fulltext		Wiley	serial							1749-7345	F	112894879
Journal of Advanced Transportation	0197-6729	2042-3195	1997	31	1	2016	50	7	https://onlinelibrary.wiley.com/loi/20423195		10.1002/(ISSN)2042-3195		fulltext		Wiley	serial								F	162245963
Journal of Advances in Modeling Earth Systems	1942-2466	1942-2466	2009	1	1				https://agupubs.onlinelibrary.wiley.com/loi/19422466		10.1002/(ISSN)1942-2466		fulltext		Wiley	serial								F	16436496X
Journal of Applied Clinical Medical Physics	1526-9914	1526-9914	2000	1	1				https://aapm.onlinelibrary.wiley.com/loi/15269914		10.1002/(ISSN)1526-9914		fulltext		Wiley	serial								F	059182148
Journal of Applied Ichthyology	0175-8659	1439-0426	1997	13	1				https://onlinelibrary.wiley.com/loi/14390426		10.1111/(ISSN)1439-0426		fulltext		Wiley	serial								F	120653990
Journal of Arrhythmia		1883-2148	2005	21	3				https://onlinelibrary.wiley.com/loi/18832148		10.1002/(ISSN)1883-2148		fulltext		Wiley	serial								F	180442600
Journal of Avian Biology	0908-8857	1600-048X	2000	31	1				https://onlinelibrary.wiley.com/loi/1600048X		10.1111/(ISSN)1600-048X		fulltext		Wiley	serial								F	110325699
Journal of Cachexia, Sarcopenia and Muscle	2190-5991	2190-6009	2010	1	1				https://onlinelibrary.wiley.com/loi/1353921906009		10.1007/13539.2190-6009		fulltext		Wiley	serial								F	151984727
Reproductive Medicine and Biology	1445-5781	1447-0578	2002	1	1				https://onlinelibrary.wiley.com/loi/14470578		10.1111/(ISSN)1447-0578		fulltext		Wiley	serial								F	120421194
Reproductive, Female and Child Health		2768-7228	2022	1	1				https://onlinelibrary.wiley.com/loi/27687228		10.1002/(ISSN)2768-7228		fulltext		Wiley	serial								F	267733445
Respirology Case Reports	2051-3380	2051-3380	2013	1	1				https://onlinelibrary.wiley.com/loi/20513380		10.1002/(ISSN)2051-3380		fulltext		Wiley	serial								F	180712241
Responsive Materials	2834-894X	2834-8966	2023	1	1				https://onlinelibrary.wiley.com/loi/28348966		10.1002/(ISSN)2834-8966		fulltext		Wiley	serial								F	272949124
Rheumatology & Autoimmunity	2767-1410	2767-1429	2021	1	1				https://onlinelibrary.wiley.com/loi/27671429		10.1002/(ISSN)2767-1429		fulltext		Wiley	serial								F	261661728
River		2750-4867	2022	1	1				https://onlinelibrary.wiley.com/loi/27504867		10.1002/(ISSN)2750-4867		fulltext		Wiley	serial								F	265188601
Security and Communication Networks	1939-0114	1939-0122	2008	1	1	2016	9	17	https://onlinelibrary.wiley.com/loi/19390122		10.1002/(ISSN)1939-0122		fulltext		Wiley	serial								F	128400706
Sensory Neuroscience		2997-8874	2025	1	1				https://onlinelibrary.wiley.com/loi/29978874		10.1002/(ISSN)2997-8874		fulltext		Wiley	serial								F	
Skin Research and Technology	0909-752X	1600-0846	1997	3	1				https://onlinelibrary.wiley.com/loi/16000846		10.1111/(ISSN)1600-0846		fulltext		Wiley	serial								F	111046904
Sleep Research	2994-4147	2994-4155	2024	1	1				https://onlinelibrary.wiley.com/loi/29944155		10.1002/(ISSN)2994-4155		fulltext		Wiley	serial								F	
Small Science		2688-4046	2020	1	1				https://onlinelibrary.wiley.com/loi/26884046		10.1002/(ISSN)2688-4046		fulltext		Wiley	serial								F	25228304X
Small Structures		2688-4062	2020	1	1				https://onlinelibrary.wiley.com/loi/26884062		10.1002/(ISSN)2688-4062		fulltext		Wiley	serial								F	252283058
Smart Medicine	2751-1863	2751-1871	2022	1	1				https://onlinelibrary.wiley.com/loi/27511871		10.1002/(ISSN)2751-1871		fulltext		Wiley	serial								F	26774658X
Smart Molecules	2751-4587	2751-4595	2023	1	1				https://onlinelibrary.wiley.com/loi/27514595		10.1002/(ISSN)2751-4595		fulltext		Wiley	serial								F	
SmartMat	2766-8525	2688-819X	2020	1	1				https://onlinelibrary.wiley.com/loi/2688819X		10.1002/(ISSN)2688-819X		fulltext		Wiley	serial								F	253393205
Space Weather	1542-7390	1542-7390	2003	1	1				https://agupubs.onlinelibrary.wiley.com/loi/15427390		10.1002/(ISSN)1542-7390		fulltext		Wiley	serial								F	083136088
Concepts in Magnetic Resonance: Part A	1546-6086	1552-5023	2003	16A	1	2018	47A	2	https://onlinelibrary.wiley.com/loi/15525023		10.1002/(ISSN)1552-5023		fulltext		Wiley	serial							1099-0534	F	094933480
Conservation Letters	1755-263X	1755-263X	2008	1	1				https://conbio.onlinelibrary.wiley.com/loi/1755263X		10.1111/(ISSN)1755-263X		fulltext		Wiley	serial								F	131763407
Conservation Science and Practice		2578-4854	2019	1	1				https://conbio.onlinelibrary.wiley.com/loi/25784854		10.1111/(ISSN)2578-4854		fulltext		Wiley	serial								F	236449419
Contemporary European Politics		2833-0188	2023	1	1				https://onlinelibrary.wiley.com/loi/28330188		10.1002/(ISSN)2833-0188		fulltext		Wiley	serial								F	264093321
CA: A Cancer Journal for Clinicians	0007-9235	1542-4863	1997	47	1				https://onlinelibrary.wiley.com/loi/15424863		10.3322/(ISSN)1542-4863		fulltext		Wiley	serial								F	076873552
Journal of Cardiac Surgery	0886-0440	1540-8191	1997	12	1				https://onlinelibrary.wiley.com/loi/15408191		10.1111/(ISSN)1540-8191		fulltext		Wiley	serial								F	102213380
Journal of Cell Communication and Signaling	1873-9601	1873-961X	2024	18	1				https://onlinelibrary.wiley.com/journal/1873961X		10.1002/(ISSN)1873-961X		fulltext		Wiley	serial								F	148654347
Journal of Cellular and Molecular Medicine	1582-1838	1582-4934	2000	4	3				https://onlinelibrary.wiley.com/loi/15824934		10.1111/(ISSN)1582-4934		fulltext		Wiley	serial								F	059187646
Journal of Clinical Laboratory Analysis	0887-8013	1098-2825	1996	10	1				https://onlinelibrary.wiley.com/loi/10982825		10.1002/(ISSN)1098-2825		fulltext		Wiley	serial								F	040632849
Journal of Clinical Pharmacy and Therapeutics	0269-4727	1365-2710	1997	22	1				https://onlinelibrary.wiley.com/loi/13652710		10.1111/(ISSN)1365-2710		fulltext		Wiley	serial								F	050928139
Journal of Cosmetic Dermatology	1473-2130	1473-2165	2002	1	1				https://onlinelibrary.wiley.com/loi/14732165		10.1111/(ISSN)1473-2165		fulltext		Wiley	serial								F	068677650
Journal of Diabetes	1753-0393	1753-0407	2009	1	1				https://onlinelibrary.wiley.com/loi/17530407		10.1111/(ISSN)1753-0407		fulltext		Wiley	serial								F	133945138
Journal of Diabetes Investigation	2040-1116	2040-1124	2010	1	1-2				https://onlinelibrary.wiley.com/loi/20401124		10.1111/(ISSN)2040-1124		fulltext		Wiley	serial								F	14629730X
Journal of Experimental Orthopaedics		2197-1153	2014	1	1				https://onlinelibrary.wiley.com/loi/21971153		10.1002/(ISSN)2197-1153		fulltext		Wiley	serial								F	175788626
Journal of Extracellular Biology		2768-2811	2021	1	1				https://onlinelibrary.wiley.com/loi/27682811		10.1002/(ISSN)2768-2811		fulltext		Wiley	serial								F	263316874
Stroke: Vascular and Interventional Neurology		2694-5746	2021	1	1				https://onlinelibrary.wiley.com/loi/26945746		10.1161/(ISSN)2694-5746		fulltext		Wiley	serial								F	260052159
Structural Control and Health Monitoring	1545-2255	1545-2263	2004	11	1				https://onlinelibrary.wiley.com/loi/15452263		10.1002/(ISSN)1545-2263		fulltext		Wiley	serial							1528-2716	F	099117150
Sustainable Food Proteins		2771-9693	2023	1	1				https://onlinelibrary.wiley.com/loi/27719693		10.1002/(ISSN)2771-9693		fulltext		Wiley	serial								F	270720332
SusMat	2766-8479	2692-4552	2021	1	1				https://onlinelibrary.wiley.com/loi/26924552		10.1002/(ISSN)2692-4552		fulltext		Wiley	serial								F	254898211
SCI Sustainability		2997-6286	2025	1	1				https://onlinelibrary.wiley.com/loi/29976286		10.1002/(ISSN)2997-6286		fulltext		Wiley	serial								F	
SPE Polymers		2690-3857	2020	1	1				https://onlinelibrary.wiley.com/loi/26903857		10.1002/(ISSN)2690-3857		fulltext		Wiley	serial								F	263534529
The Breast Journal	1075-122X	1524-4741	1997	3	1	2021	27	12	https://onlinelibrary.wiley.com/loi/15244741		10.1111/(ISSN)1524-4741		fulltext		Wiley	serial								F	120757885
The Bulletin of the Ecological Society of America	2327-6096	2327-6096	1997	78	1				https://esajournals.onlinelibrary.wiley.com/loi/23276096		10.1002/(ISSN)2327-6096		fulltext		Wiley	serial								F	169437159
The Clinical Respiratory Journal	1752-6981	1752-699X	2007	1	1				https://onlinelibrary.wiley.com/loi/1752699X		10.1111/(ISSN)1752-699X		fulltext		Wiley	serial								F	116985747
The Depositional Record	2055-4877	2055-4877	2015	1	1				https://onlinelibrary.wiley.com/loi/20554877		10.1002/(ISSN)2055-4877		fulltext		Wiley	serial								F	195121287
The Journal of Clinical Hypertension	1524-6175	1751-7176	2001	3	1				https://onlinelibrary.wiley.com/loi/17517176		10.1111/(ISSN)1751-7176		fulltext		Wiley	serial							1559-4572	F	116269111
cMat		3006-2691	2024	1	1				https://onlinelibrary.wiley.com/loi/30062691		10.1002/(ISSN)3006-2691		fulltext		Wiley	serial								F	
CAAI Transactions on Intelligence Technology	2468-6557	2468-2322	2017	2	2				https://onlinelibrary.wiley.com/loi/24682322		10.1049/(ISSN)2468-2322		fulltext		Wiley	serial								F	198309651
CNS Drug Reviews	1080-563X	1527-3458	1997	3	1	2007	13	4	https://onlinelibrary.wiley.com/loi/15273458		10.1111/(ISSN)1527-3458		fulltext		Wiley	serial								F	117458457
CNS Neuroscience & Therapeutics	1755-5930	1755-5949	2008	14	1				https://onlinelibrary.wiley.com/loi/17555949		10.1111/(ISSN)1755-5949		fulltext		Wiley	serial							1527-3458	F	124092101
CPT: Pharmacometrics & Systems Pharmacology	2163-8306	2163-8306	2012	1	9				https://ascpt.onlinelibrary.wiley.com/loi/21638306		10.1002/(ISSN)2163-8306		fulltext		Wiley	serial								F	170348555
Deep Underground Science and Engineering		2770-1328	2022	1	1				https://onlinelibrary.wiley.com/loi/27701328		10.1002/(ISSN)2770-1328		fulltext		Wiley	serial								F	264090071
