publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Encyclopedia of Genetics, Genomics, Proteomics and Bioinformatics	9780470849743	9780470011539							https://onlinelibrary.wiley.com/doi/book/10.1002/047001153X	Dunn	10.1002/047001153X		fulltext		John Wiley & Sons, Inc.	monograph	2005	2006		1	Squarr, J.			P	137733763
Encyclopedia of Biostatistics 2e 8V Set	9780470849071	9780470011812							https://onlinelibrary.wiley.com/doi/book/10.1002/0470011815	Armitage	10.1002/0470011815		fulltext		John Wiley & Sons, Inc.	monograph	2005	2006		2	Chichester			P	
Encyclopedia of Actuarial Science 3V Set	9780470846766	9780470012505							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470012505	Teugels	10.1002/9780470012505		fulltext		John Wiley & Sons, Inc.	monograph	2004	2007		1	Chichester			P	
Encyclopedia of Statistics in Behavioural Science	9780470860809	9780470013199							https://onlinelibrary.wiley.com/doi/book/10.1002/0470013192	Everitt	10.1002/0470013192		fulltext		John Wiley & Sons, Inc.	monograph	2005	2006		1	Chichester			P	
Encyclopedia of Life Sciences	9780470016176	9780470015902							https://onlinelibrary.wiley.com/doi/book/10.1002/047001590X	Wiley	10.1002/047001590X		fulltext		John Wiley & Sons, Inc.	monograph	2005	2005		1	Mellor, S. (US)			P	148432476
Encyclopedia of Cognitive Science 4V Set	9780470016190	9780470018866							https://onlinelibrary.wiley.com/doi/book/10.1002/0470018860	Nadel	10.1002/0470018860		fulltext		John Wiley & Sons, Inc.	monograph	2005	2006		1	Chichester			P	
Handbook of Magnetism and Advanced Magnetic Materials 5VSet	9780470022177	9780470022184							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470022184	Kronmüller	10.1002/9780470022184		fulltext		John Wiley & Sons, Inc.	monograph	2007	2007		1	Preuss, M. (UK)			P	
Handbook of Statistical Genetics 2V Set 2e	9780470848296	9780470022627							https://onlinelibrary.wiley.com/doi/book/10.1002/0470022620	Balding	10.1002/0470022620		fulltext		John Wiley & Sons, Inc.	monograph	2003	2006		2	Chichester			P	
The Cancer Handbook 2V Set	9780470025062	9780470025079							https://onlinelibrary.wiley.com/doi/book/10.1002/0470025077	Alison	10.1002/0470025077		fulltext		John Wiley & Sons, Inc.	monograph	2004	2006		1	Chichester			P	
Handbook of Vibrational Spectroscopy 5V Set	9780471988472	9780470027325							https://onlinelibrary.wiley.com/doi/book/10.1002/0470027320	Chalmers	10.1002/0470027320		fulltext		John Wiley & Sons, Inc.	monograph	2002	2006		1	Higginbotham, S.			P	
eMagRes Online		9780470034590							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470034590	Harris	10.1002/9780470034590		fulltext		John Wiley & Sons, Inc.	monograph		2007		2	Higginbotham, S.			P	143490834
Wiley Handbook of Current and Emerging Drug Therapies, Online	9780470040980	9780470041000							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470041000	Wiley	10.1002/9780470041000		fulltext		John Wiley & Sons, Inc.	monograph	2006	2006		1	Pidgeon, S.			P	
Wiley Encyclopedia of Chemical Biology (online)	9780471754770	9780470048672							https://onlinelibrary.wiley.com/doi/book/10.1002/9780470048672	Begley	10.1002/9780470048672		fulltext		John Wiley & Sons, Inc.	monograph	2008	2008	1	1	Ley, C. (US)			P	
