publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	pkb-pidurltoc	pkb-subjectcategory	pkb-primarysubectarea	pkb-originalcompany	pkb-media
ABACUS	1467-6281	1467-6281							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281		ABAC					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281/issues	Business, Economics, Finance and Accounting    	General & Introductory Accounting	Blackwell	Print & Online
ABOUT CAMPUS	1536-0687	1536-0687							http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687		ABC					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687/issues	Education	Higher Education General	Wiley	Print & Online
ACADEMIC EMERGENCY MEDICINE	1553-2712	1553-2712							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712		ACEM					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712/issues	Medical, Veterinary and Health Sciences	Emergency Medicine & Trauma	Blackwell	Print & Online
ACCOUNTING & FINANCE	1467-629X	1467-629X							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X		ACFI					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X/issues	Business, Economics, Finance and Accounting    	General & Introductory Accounting	Blackwell	Print & Online
ACCOUNTING PERSPECTIVES	1911-3838	1911-3838							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838		APR					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838/issues	Business, Economics, Finance and Accounting	Financial Accounting	Wiley	Print & Online
ACEP NOW											ACEN					undefined	undefined	Emergency Medicine & Trauma	Wiley	Print
ACTA ANAESTHESIOLOGICA SCANDINAVICA	1399-6576	1399-6576							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576		AAS					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576/issues	Medical, Veterinary and Health Sciences	Anesthesia & Pain Management	Blackwell	Print & Online
ACTA ARCHAEOLOGICA	1600-0390	1600-0390							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390		AAR					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390/issues	Humanities and Social Sciences	European Archaeology	Blackwell	Print & Online
ACTA CRYSTALLOGRAPHICA SECTION A (ELECTRONIC)	1600-5724	1600-5724							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724		AYA					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724/issues	Chemistry   	Crystallography	Blackwell	Online
ACTA CRYSTALLOGRAPHICA SECTION B (ELECTRONIC)	2052-5206	2052-5206							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2052-5206		AYB					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2052-5206/issues	Chemistry   	Crystallography	Blackwell	Online
ACTA CRYSTALLOGRAPHICA SECTION C (ELECTRONIC)	1600-5759	1600-5759							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759		AYC					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759/issues	Chemistry   	Crystallography	Blackwell	Online
ACTA CRYSTALLOGRAPHICA SECTION D (ELECTRONIC)	1399-0047	1399-0047							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047		AYD					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047/issues	Chemistry   	Crystallography	Blackwell	Online
ACTA CRYSTALLOGRAPHICA SECTION F (ELECTRONIC)	1744-3091	1744-3091							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091		AYF2					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091/issues	Chemistry   	Crystallography	Blackwell	Online
ACTA GEOLOGICA SINICA (ENGLISH EDITION)	1755-6724	1755-6724							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724		ACGS					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724/issues	Earth and Environmental Science	General & Introductory Earth Sciences	Blackwell	Print & Online
ACTA NEUROLOGICA SCANDINAVICA	1600-0404	1600-0404							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404		ANE					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404/issues	Medical, Veterinary and Health Sciences	Neurology	Blackwell	Print & Online
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	1600-0412	1600-0412							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412		AOGS					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412/issues	Medical, Veterinary and Health Sciences	Obstetrics & Gynecology	Blackwell	Print & Online
